text,html_label,docling_label,similarity,html_index,pdf_index,document
"'Social justice' is everywhere in public law. Scholars and activists are calling for racial justice, climate justice, and health justice, among other claims. When commentators speak about multiple different social justice claims, it is often through an intersectional lens that views these claims as co-constitutive with one another, such as, 'There is no climate justice without racial justice.' These justice claims are important and long overdue.",body_text,text,0.9910913140311804,0,2,california_law_review_social-justice-conflicts
"* Associate Professor of Law, George Washington University Law School. Ph.D., Political Theory, Harvard; J.D., Harvard Law. A significant portion of work on this Article was completed while I was an Assistant Professor of Law at Penn State Dickinson Law. I am grateful for their generous support. For helpful comments, I thank Ash Ahmed, Aziza Ahmed, Jack Beermann, Aiden Calvelli, Caroline Cecot, Madison Condon, Erin Delaney, Bridget Dooling, Blake Emerson, Richard Fallon, Alison Gocke, Jon Gould, Hiba Hafiz, Michael Herz, Sharon Jacobs, Olati Johnson, Yuvraj Joshi, Alex Klass, Josh Macey, Veena Manikulam, Lev Menand, Joy Milligan, Martha Minow, Jamelia Morgan, Jennifer Nou, Adam Orford, Sabeel Rahman, Aziz Rana, Cristina Rodríguez, Ezra Rosser, Noah Rosenblum, Bijal Shah, Jodi Short, Jed Shugerman, Ganesh Sitaraman, Kevin Stack, Rory Van Loo, Dan Walters, Bill Watson, Shelley Welton, Hannah Wiseman, and participants at the Yale LPE Administering a Democratic Economy Conference, National Conference of Constitutional Law Scholars, Administrative Law New Scholarship Roundtable, Berkeley/Penn Energy Law Scholars Workshop, Critical Approaches to Public Law Workshop, BU Law Faculty Workshop, and George Washington Law Faculty Workshop. I am grateful to Paige Barker, Jake Toth, and Andriana Vega for their invaluable research assistance, as well as Marian Avila Breach, Noosha Aliabadi, Navdeep Bal, Simran Deokule, Danielle Dyson, Iman Eslami, Max Friend, Jackson Lone, and Abby Smith at the California Law Review for their time and effort to shepherd this Article to publication.",body_text,text,0.9875930521091811,172,5,california_law_review_social-justice-conflicts
"This Article argues that political institutions should embrace 'mid-level justice principles' to analyze justice conflicts. Mid-level justice principles are justice principles that apply across different policy areas and provide standing moral reasons to justify certain policy outcomes. Until now, public law has mostly embraced only procedural justice principles, such as consultation requirements and regulatory impact analyses. While helpful, these procedural measures do not provide substantive guidance about how to actually resolve justice conflicts. Mid-level justice principles fill this gap.",body_text,text,0.9966722129783694,2,6,california_law_review_social-justice-conflicts
"While political institutions have implicitly adopted some midlevel justice principles in an uneven fashion, this Article provides avenues for Congress, the President, and agencies to explicitly and consistently institutionalize mid-level justice principles. These proposals will improve policymaking and provide a mechanism to transparently analyze nonquantifiable normative values, which has thus far perplexed regulators, as well as both proponents and skeptics of costbenefit analysis. While the Supreme Court has increasingly inserted itself as the institutional arbiter of social justice claims, the Court's assertion of its primacy to evaluate justice conflicts should be resisted on democratic and epistemic grounds. Instead, 'democratic policymaking,' which occurs via Congress, the President, and administrative agencies, should be the primary site to resolve justice conflicts in our society.",body_text,text,0.9955703211517165,3,7,california_law_review_social-justice-conflicts
"In the early 2000s, the Navajo Nation petitioned the U.S. Environmental Protection Agency (EPA) for an air quality permit needed to build a new coal power plant in northeast Arizona. 1 The Clean Air Act (CAA) treats Native nations similar to states, so the EPA has authority to review any petition from Native nations for new pollution sources to ensure they fall within CAA emission standards. 2 The Navajo historically rely on coal for economic resources. Currently, the mining, production, and use of coal accounts for 42 percent of revenue in the Navajo Nation's General Fund. 3 The Navajo have also historically embraced their coal resources to promote their own sovereignty within the overarching colonial and capitalist structures they have been subjected to for most of America's history. 4 Coal-related economic activity provides thousands of well-paying jobs for Navajo members living on or near their reservation, 5 which has a 48.5 percent unemployment rate. 6 Navajo political leaders argued that the new plant, called Desert Rock, would serve a vital role in stabilizing their economy given plans to phase out existing power plants in the coming decades. 7",body_text,text,0.9893481039625053,5,11,california_law_review_social-justice-conflicts
"1. Laura Paskus, The Life and Death of Desert Rock , H IGH C OUNTRY N EWS (Aug. 13, 2010), https://www.hcn.org/articles/the-life-and-death-of-desert-rock [https://perma.cc/8ULK-3BSW]. For indepth discussion of the Desert Rock saga, see D ANA E. P OWELL , L ANDSCAPES OF P OWER 113-229 (2018).",body_text,footnote,0.8304498269896193,173,12,california_law_review_social-justice-conflicts
"2. 42 U.S.C. § 7601(d); Indian Tribes: Air Quality Planning and Management, 63 Fed. Reg. 7254 (Feb. 12, 1998) (to be codified at 40 C.F.R. pts. 9, 35, 49, 50, 81).",body_text,footnote,0.9939024390243902,174,13,california_law_review_social-justice-conflicts
"5. Jariel Arvin, After Decades of Activism, the Navajo Coal Plant Has Been Demolished , V OX (Dec. 19, 2020), https://www.vox.com/2020/12/19/22189046/navajo-coal-generating-stationsmokestacks-demolished [https://perma.cc/V3T9-CQUS].",body_text,footnote,0.9806451612903225,177,16,california_law_review_social-justice-conflicts
"7. Benjamin Storrow & E&E News, Coal's Days in Navajo Country Are Numbered , S CI . A M . (Apr. 8, 2019), https://www.scientificamerican.com/article/coals-days-in-navajo-country-arenumbered/ [https://perma.cc/R3SH-9K3N] (discussing the closure plans of existing power plants in or adjacent to the Navajo Nation).",body_text,footnote,0.9742765273311897,179,18,california_law_review_social-justice-conflicts
"In July 2008, the Bush Administration's EPA approved the Nation's airquality permit for Desert Rock. 8 The State of New Mexico and environmental groups, including Earthjustice, appealed the EPA's approval, arguing the EPA failed to perform certain procedural requirements, including consulting with other agencies and considering how the plant would affect nearby national parks. 9 In early 2009, the EPA, now under the Obama Administration, announced that it would reconsider the permit, and then later reversed and withdrew the permit. 10 Desert Rock's fate then sat in limbo while the EPA, states, environmental groups, and the Navajo Nation continued to debate its merits. Desert Rock was finally cancelled in March 2011. 11 The Navajo Nation, EPA, and environmental groups have continued to clash in recent years as the Navajo have sought to construct new pollution sources and upgrade existing sources related to their coal activities. 12",body_text,text,0.9820485744456178,6,19,california_law_review_social-justice-conflicts
"If one was a well-meaning EPA Administrator who cared about social justice, how should they have decided the Navajo Nation's pollution permit for Desert Rock? On one hand, the new plant would provide vital economic resources to the Nation and its citizens, who have long suffered from corporate mistreatment, racism, and colonial practices, 13 as well as promote the Nation's self-determination in setting its own socioeconomic policies. 14 On the other hand, as the effects of climate change become more pronounced, a massive new coal plant would only exacerbate local and national issues related to climate change. 15",body_text,text,0.9895245769540693,7,20,california_law_review_social-justice-conflicts
"8. EPA Issues Air Permit for Desert Rock Energy Facility , EPA (July 31, 2008), https://www.epa.gov/archive/epapages/newsroom_archive/newsreleases/8331e0972492f17c85257497 005a37fb.html [https://perma.cc/DKY2-43G5].",body_text,footnote,0.986046511627907,180,21,california_law_review_social-justice-conflicts
"9. Groups Challenge EPA Over Desert Rock Air Permit , E ARTHJUSTICE (Aug. 14, 2008), https://earthjustice.org/press/2008/groups-challenge-epa-over-desert-rock-air-permit [https://perma.cc/2HJC-QTAD].",body_text,footnote,0.9346733668341709,181,22,california_law_review_social-justice-conflicts
"10. Timothy Gardner, EPA Withdraws Permit for Navajo Coal Plant , R EUTERS (Apr. 28, 2009), https://www.reuters.com/article/idUSTRE53R4FL/ [https://perma.cc/8FSN-8BTX].",body_text,footnote,0.9523809523809523,182,23,california_law_review_social-justice-conflicts
"11. Coal-Fired Power Plants , D INÉ C.A.R.E., https://www.dine-care.org/coal-fired-powerplants [https://perma.cc/XV6C-5JQP].",body_text,footnote,0.9558232931726908,183,24,california_law_review_social-justice-conflicts
"12. See, e.g. , Curley, supra note 4, at 10-11; Keith Goldberg, EPA Appeals Board Won't Review Navajo Coal Plant Permit , L AW 360 (Aug. 31, 2016), https://www.law360.com/environmental/articles/835060/epa-appeals-board-won-t-review-navajocoal-plant-permit [https://perma.cc/U9VG-WY72].",body_text,footnote,0.9736379613356766,184,25,california_law_review_social-justice-conflicts
"14. Curley, supra note 4 (discussing how control over its carbon resources allowed the Navajo Nation to expand its self-determination). The principle of self-determination is often considered part of the concept of justice. See also A LLEN B UCHANAN , J USTICE , L EGITIMACY , AND S ELF -D ETERMINATION 5 (2007) (arguing that the principle of self-determination is part of the concept of justice); Iris Marion Young, Self-Determination as Principle of Justice , 11 P HIL . F. 30, 30 (1979) (same).",body_text,text,0.8708036622583927,186,27,california_law_review_social-justice-conflicts
"The Nation's permit saga raised multiple distinct types of social justice claims, including racial, economic, environmental, energy, and climate justice. In philosophical literature, each of these justice claims, such as racial justice or environmental justice, is known as an 'applied justice' claim because the claim of what a group is owed is restricted to a specific policy domain. 16 For example, environmental justice pertains to the demands of justice only within the domain of environmental policy. In recent years, scholars and activists have created a number of different types of various applied justice claims. It is now commonplace to see calls for racial, gender, reproductive, economic, labor, health, environmental, climate, energy, and disability justice, among other applied justice claims. 17",body_text,text,0.9741379310344828,8,29,california_law_review_social-justice-conflicts
"The Desert Rock example illustrates that specific policy issues can involve multiple applied justice claims. As scholars pointed out early in the environmental justice movement, environmental policy often concerns issues of racial justice, gender justice, and economic justice, among other claims. 18 When scholars and activists speak about policy issues that pertain to multiple applied justice claims, it is often through an intersectional lens that views the different applied justice claims as congruent with one another. 19 This intersectional lens is typified by phrases such as, 'There is no climate justice without racial",body_text,text,0.7989789406509253,9,30,california_law_review_social-justice-conflicts
"16. See infra Part II.A. The terms 'social justice' and 'justice' will be used synonymously because the Article does not consider non-social forms of justice. There is a longstanding debate regarding the domain of justice. See generally M ICHAEL J. S ANDEL , L IBERALISM AND THE L IMITS OF J USTICE (1982) (discussing the view that justice does not extend to interpersonal relations). But see generally S USAN M OLLER O KIN , J USTICE , G ENDER , AND THE F AMILY (1989) (critiquing this view and extending justice into family relations).",body_text,text,0.8049010367577757,188,32,california_law_review_social-justice-conflicts
"18. D AVID E. C AMACHO , E NVIRONMENTAL I NJUSTICES , P OLITICAL S TRUGGLES 1 (1998) ('Much of the success of the environmental justice movement has come from the intersection of race, gender, and class groupings.'); Benjamin A. Goldman, What is the Future of Environmental Justice? , 28 A NTIPODE 122, 126 (1996) ('[The environmental justice movement] took up where the anti-toxics movement left off: focusing attention on the injustice of pollution among urban and rural working people. It reached across race and gender lines, with many of its local and national leaders being women and people of color.').",body_text,text,0.8859504132231405,190,34,california_law_review_social-justice-conflicts
"19. It is debatable whether those adopting intersectionality always use the concept in a manner intended by Kimberlé Crenshaw in her initial formulation of the concept, whereby intersectionality refers to a mode of analysis that is sensitive to the unique and overlapping forms of oppression that are experienced by some groups in society. See infra Part I.B.",body_text,text,0.9972222222222222,191,35,california_law_review_social-justice-conflicts
"But 'justice conflicts' between these different applied justice claims are inevitable during policymaking on concrete policy issues. Justice conflicts arise when the various social justice claims involved in a policy issue point towards conflicting policy outcomes. 23 In the Desert Rock example, the permit acquisition process pitted racial and economic justice, which pointed towards granting the permit, against climate, environmental, and energy justice, which pointed towards denying the permit. 24 While scholars have recently mentioned the possibility of tension among social justice claims, few have attempted to evaluate the nature of the conflict in question or pose a framework to solve such conflicts. 25 Some scholars who have pointed out the potential for such tension",body_text,text,0.9157336476134355,10,37,california_law_review_social-justice-conflicts
"21. See, e.g. , Dominique Derbigny Sims, Georgia's Abortion Ban Threatens Violence and Economic Insecurity for Black Women , G A . B UDGET & P OL ' Y I NST . (Aug. 23, 2022), https://gbpi.org/georgias-abortion-ban-threatens-violence-and-economic-insecurity-for-black-women/ [https://perma.cc/8C5R-D6YF] ('Banning abortion perpetuates violence, impinges self-determination and economic opportunities for women and childbearing people, and worsens outcomes for Black women and children.'); Josephine Kalipeni, The Need for Paid Family Leave Didn't Start with Overturning ' Roe, ' R EWIRE N EWS G RP . (Aug. 22, 2022), https://rewirenewsgroup.com/2022/08/22/theneed-for-paid-family-leave-didnt-start-with-overturning-roe/ [https://perma.cc/EX8Y-RVZA] ('Cherry-picking paid family leave while ignoring the larger socioeconomic and reproductive justice implications of the Court ruling is naive at best.').",body_text,text,0.9547233091112354,193,40,california_law_review_social-justice-conflicts
"22. See Devon W. Carbado & Cheryl I. Harris, Intersectionality at 30: Mapping the Margins of Anti-Essentialism, Intersectionality, and Dominance Theory , 132 H ARV . L. R EV . 2193, 2197 (2019) (stating that intersectionality, among other theories, 'tak[es] the ideas of women seriously and facilitat[es] the production of knowledge in areas that the legal academy has historically marginalized').",body_text,text,0.9557522123893806,194,41,california_law_review_social-justice-conflicts
"23. In a recent article, legal scholar Ruhan Nagra has pointed to the possibility of a 'justice paradox,' which occurs when different considerations within the same justice claim leads to different outcomes. See generally Ruhan Sidhu Nagra, Relocating Justice , 74 D UKE L.J. 441 (2024). A justice conflict differs from Nagra's concept of a justice paradox because a justice conflict occurs between different types of social justice claims (for example, between racial justice and climate justice), whereas a justice paradox occurs among different considerations within a single justice claim.",body_text,text,0.9865092748735245,195,42,california_law_review_social-justice-conflicts
"24. This list is not exhaustive of the applied justice claims involved in this particular justice conflict. On the tensions between the Navajo and environmentalist groups in response to the proposed coal power plant, see Felicity Barringer, Navajos and Environmentalists Split on Power Plant , N.Y. T IMES (July 27, 2007), https://www.nytimes.com/2007/07/27/us/27navajo.html [https://perma.cc/432TWQJF].",body_text,text,0.9838909541511772,196,43,california_law_review_social-justice-conflicts
"This Article opens a conversation on whether there are principles of justice that public law can apply when grappling with how to resolve justice conflicts. In the wake of John Rawls publishing his groundbreaking A Theory of Justice in 1971, 27 public law scholars spent the next few decades trying to institutionalize 'basic justice' principles, which attempt to establish the overall structures to distribute goods, benefits, or services within society. 28 As opposed to applied justice principles, which cover only one policy area, basic justice principles attempt to cover the entirety of social justice itself. However, given increased levels of moral pluralism and political polarization in America, by the end of the twentieth century, many scholars no longer believed that a consensus on basic justice principles was possible. 29",body_text,text,0.9922480620155039,11,46,california_law_review_social-justice-conflicts
"R EV . 1045, 1080 nn.192-93 (2022); Tseming Yang, Melding Civil Rights and Environmentalism: Finding Environmental Justice's Place in Environmental Regulation , 26 H ARV . E NV ' T L. R EV . 1, 27 (2002) (noting the potential for 'fundamental value conflict' between environmentalism and race). This is one area in which scholarship has historically lagged behind practice, as social organizing in the 1980s began to notice the blindness of environmental policy to its complex relationship with racial justice. KSue Park, This Land Is Not Our Land , 87 U. C HI . L. R EV . 1977, 2018-20 (2020). For articles that describe a justice conflict in a specific policy area without using the term itself, see generally Rosser, supra note 13 (advocating that racial and economic justice claims of Native Tribes should be prioritized over environmental justice concerns); Richard J. Lazarus, Pursuing Environment Justice: The Distributional Effects of Environmental Protection , 87 N W . U. L. R EV . 787 (1993) (discussing how environmental protection goals can create economic and racial justice problems).",body_text,list_item,0.8582214765100671,197,47,california_law_review_social-justice-conflicts
