text,html_label,docling_label,similarity,html_index,pdf_index,document
"This Note explores the idea of paying Americans to cast their ballots as a mechanism to increase electoral participation among lower income voters and rebalance the influence that wealthy Americans have on policy outcomes. The Note begins by exploring the rationale behind the idea, drawing on political science, economic, and legal literature to argue that subsidizing the franchise could help rebalance elected officials' perception of the 'median voter' away from the wealthy. The Note hypothesizes that a small dollar incentive, perhaps no more than $20, paid in a municipal election would have a greater incentivizing effect on low-propensity, low-income voters than it would on higher-income voters. Next, the Note explores the legality and constitutionality of paying the voter. When President Johnson signed the Voting Rights Act, vote buying became illegal across the United States. Nevertheless, this Note argues that, based on the legislative history of the Act, a government program to incentivize voting would be legal under federal law. Further, neither the First nor the Fourteenth Amendment poses a barrier to such a program, and a local government in California could enact such a program without violating state law. Finally, the Note explores policy design, proposing that policymakers should begin in a local government, provide direct and highly visible subsidies, and allow voters who cast blank ballots to collect a subsidy.",body_text,text,0.9896337249481686,0,2,california_law_review_voter-pay
"* J.D. & M.P.P., 2024, University of California, Berkeley, School of Law & Goldman School of Public Policy; Judicial Law Clerk, United States District Court for the Northern District of California, 2024-2025, United States Court of Appeals for the Ninth Circuit, 2025-2026. I am deeply grateful to my professors who lent their time, encouragement, and feedback to my work. My sincere thanks to Professor Jonathan Gould for sponsoring this Note and providing thoughtful guidance through my many drafts. Thank you to Common Cause, California for giving me the space to discover this idea. The California Law Review team made this piece shine. Finally, thank you to my husband Jake for his endless patience with me and support in all that I do.",body_text,footnote,0.9775429326287979,127,4,california_law_review_voter-pay
"If I promise to give you $20, and all you need to do in return is vote in the next election, would you do it? Your answer to that question likely depends on several considerations. For example, when was the last time you voted? How far could you stretch that $20? Would you get the money today, in two weeks, or in six months? Would it be illegal for you to accept the money, or for me to give it to you? Unfortunately for you, the answer to that last pair of questions is 'yes.' But what if instead, the government offered you $20 for casting a ballot? This Note explores that question by detailing the participatory, economic, and legal considerations that would arise were the government to implement a voter incentive program.",body_text,text,0.9972602739726028,2,7,california_law_review_voter-pay
"I stumbled across this idea while authoring a paper about campaign finance reform. Citizens United outlawed many critical policies aimed at staunching the distorting effects that wealth-and the influence that follows it-has on our political system. As a result of both Citizens United and socio-economic imbalances in voter participation, American policy outcomes tend to favor the wealthy.",body_text,text,0.9102564102564102,3,8,california_law_review_voter-pay
"So, how would paying voters address this concern? The theory behind a voter incentive program proceeds as follows: Incentives influence behavior. A program that pays people to cast a ballot would increase participation, and offering a relatively small size of the payment would incentivize turnout in lower-income communities at higher rates than in wealthier ones. Seeing new activity from historically low-propensity voters, campaigns and lawmakers behind those campaigns would turn their organizing efforts, policy proposals, and attention away from the wealthy and towards the lower-income and underrepresented segments of the electorate.",body_text,text,1.0,4,9,california_law_review_voter-pay
"Scholars, advocates, and lawmakers have proposed (and enacted) excellent policies that would do much to increase participation. Indeed, American democracy would likely be better off if lawmakers implemented ideas like sameday voter registration, universal vote by mail, compulsory voting, a federal holiday for election day, and consolidated local elections. Yet the focus of this Note-a policy I refer to as a 'voter incentive program'-operates in a liminal space between campaign finance and participation. It seeks to level the influence playing field by increasing participation.",body_text,text,0.9922879177377892,5,10,california_law_review_voter-pay
"To date, proposals to incentivize voting have received scant academic attention. In my research, I came across only one article that seriously addressed the topic. And as I discuss below, that article considered the policy from a purely economic lens. Otherwise, the idea of paying people to vote appears in a handful of white papers on the broader topic of incentivizing participation, but authors typically give the policy no more than a paragraph of thought.",body_text,text,1.0,6,11,california_law_review_voter-pay
This Note argues that a voter incentive program is worth deeper consideration. Paying people to vote could achieve many of the participatory goals as the policies noted above in a much more direct fashion while also checking wealth influence. Local governments would be well positioned to implement such a policy and would face few legal barriers in doing so.,body_text,text,1.0,7,12,california_law_review_voter-pay
"This Note proceeds in three parts. Part I discusses the logic of a voter incentive program, drawing upon political science, campaign finance, and economic literature. Part I concludes by addressing policy counterarguments. Part II analyzes the program's legality. America outlawed vote buying in 1965 with the passage of the Voting Rights Act; this Note explores that history and argues that a voter incentive program would nevertheless be statutorily and constitutionally permissible. Finally, in Part III, this Note gets into the weeds of policy implementation, proposing that lawmakers begin with a test case: a smalldollar incentive for any voter who casts a completed or blank ballot in a purely",body_text,text,0.8967286722257858,8,13,california_law_review_voter-pay
"I am sure many who pick up this Note may think that there are bigger fish to fry-or perhaps bigger DOGEs to leash. So why this, now? Unfortunately, democratic erosion has become a norm rather than an aberration in the United States. Stricter voting laws, partisan gerrymandering, and a hollowing out of campaign finance law, to name but a few, have all weakened once-robust political institutions. So, in the face of democratic backsliding, those committed to the project of representative and multiracial democracy must continue advancing policies and reforms that push back against these recent trends and bring the vision of representative democracy closer to fruition. This Note contributes to that effort by proposing a new and simple idea: Pay Americans for casting their ballots.",body_text,text,0.9987277353689568,9,15,california_law_review_voter-pay
