text,html_label,docling_label,similarity,html_index,pdf_index,document
"The San Francisco Standard reported that Chris's fifteen-yearold daughter has a new way of getting around: Waymo robotaxis. Chris and his wife describe it as the 'best thing that's ever happened' to them: 'It was instantly awesome,' remarked Chris, who used only his first name so that his Waymo account would not be banned. 'We don't have to worry about her getting home, ever.'",body_text,text,0.9354413702239789,1,5,chicago_law_review_children-and-cars-watch-them
"* Acting Professor of Law (tenure track), UC Davis School of Law. The author thanks Khalid Albutairi, Elizabeth Brandt, Simone Montgomery, Madeline Reed, and Lauren Yi for their assistance.",body_text,footnote,0.7884615384615384,0,7,chicago_law_review_children-and-cars-watch-them
"1 ""Passengers 17 and under can ride as your guests. For our little passengers under 8 years old, you'll need to bring a car or booster seat and secure it in the back seat according to the manufacturer's installation instructions. Children under the age of 8 cannot sit in the front. Learn more in our Help Center.""",footnote,footnote,0.9904458598726115,0,8,chicago_law_review_children-and-cars-watch-them
"autonomous vehicles (AVs) to public transportation, feeling a robot chauffeur is safer. Many parents like that they can track its location at all times. Additionally, robotaxis have cameras inside to record what is happening at all times, and Waymo support staff sometimes intervene when they see unsafe behavior. These cameras address a key concern for parents: Parents generally support AV use by their children, with a caveat. They want video surveillance that they can access at all times. While minors are not yet permitted to travel alone in Waymo vehicles, that policy is likely to change in the near future. Waymo has just announced the launch of a program for teen passengers, and there are parents who would welcome Waymo allowing even younger passengers.",body_text,text,0.8864426419466975,2,9,chicago_law_review_children-and-cars-watch-them
"This Essay considers the unique privacy issues that emerge based on the normalization of child ridership in AVs. As many scholars have argued, cars are not simply cars. They are used as spaces to have conversations, to engage in intimate activities, and even as homes. Cars are especially important as private spaces for adolescents as they develop their identities.",body_text,text,1.0,3,10,chicago_law_review_children-and-cars-watch-them
"Cars are also not simply cars in an additional way: They are a computer on wheels, collecting highly revealing location information. Following Dobbs v. Jackson Women's Health Organization (2021), minors face unprecedented restrictions on reproductive and genderaffirming healthcare access, car trips to access care could now carry potential criminal implications. In this environment, aggregating location information to clinics and medical facilities raises the danger of prosecutions. As the Supreme Court articulated in Carpenter v. United States (2017), knowledge of an individual's movements over 'public thoroughfares and into private residences, doctor's offices, political headquarters, and other potentially revealing locales' can paint an extraordinarily detailed and intimate picture of their lives. The Court was talking about cell site location data, but today's vehicles can provide much of the same.",body_text,text,0.9743028977583379,4,11,chicago_law_review_children-and-cars-watch-them
"Data collection is ubiquitous, and children are at particular risk. AVs (and smart vehicles in general) can collect and retain massive amounts of data, subjecting children to 'dataveillance' without their knowledge. This information-the child's location, actions, statements, imagery, and videos, can be shared with various parties, including law enforcement. AVs are part of a larger story of 'always-on' devices that constantly collect data from users, often without their knowledge or consent. The relentless data collection raises concerns about equity. Not all children will be subjected to privacy risks equally-those from marginalized communities with fewer transportation choices may suffer disproportionate surveillance.",body_text,text,0.9780521262002744,5,12,chicago_law_review_children-and-cars-watch-them
"These two failures reveal that meaningful privacy protection for children cannot be achieved through procedural reforms to notice-andchoice mechanisms. Instead, such protections require substantive legal safeguards that operate independently of parental authorization. By examining how AV surveillance systems threaten children's privacy, this work develops principles with broad applicability across various technologies that collect children's data.",body_text,text,0.9966777408637874,8,15,chicago_law_review_children-and-cars-watch-them
"Self-driving cars have long captivated the world's imagination. They were the stuff of dreams, but they are now a reality. Vehicles with some level of automation, namely some basic safety features like cruise control, have been available for the last fifty years. But higher levels of automation are a new phenomenon. SAE International, formerly the Society of Automotive Engineers, has created a taxonomy for defining these various levels of automation, from level 0 (no driving automation) up to level 5 (full driving automation). Only recently have manufacturers been able to make level 3 and 4 vehicles. Level 4, exemplified by Waymo, allows for something closer to full autonomy.",body_text,text,0.9985380116959064,11,21,chicago_law_review_children-and-cars-watch-them
"Advanced automation means much higher amounts of data collection and storage by AVs. AVs rely on more than a dozen cameras and sensors strategically positioned around the car. Today's AVs collect approximately one hundred times more data than a personal smartphone. While the primary purpose of this data collection is to enable safe and efficient autonomous driving, it inevitably captures personal information about individuals in the vehicle's vicinity. Cameras can potentially record identifiable faces, license plates, and even activities inside nearby buildings or homes. This footage could be placed through facial recognition software and could also be stored in perpetuity.",body_text,text,0.998533724340176,12,22,chicago_law_review_children-and-cars-watch-them
