text,html_label,docling_label,similarity,html_index,pdf_index,document
"Antidemocratic forces rely on intimidation tactics to silence criticism and opposition. Recall how J. Edgar Hoover's FBI warned civil rights leader Dr. Martin Luther King that secret recordings of his extramarital affairs would be made public unless he committed suicide. 1 In the digital age, online abuse is a go-to intimidation tactic for authoritarians and their allies. For instance, pro-Kremlin trolls targeted Finnish journalist Jessikka Aro after she reported on proRussian online influence campaigns. 2 Posters doxed Aro and published her private health information; they accused her of being an American spy and a NATO lobbyist; she received threats via email and text. 3",body_text,text,0.9955882352941177,1,1,chicago_law_review_digital-authoritarianism
"Today's intimidation playbook follows a two-step pattern. In the first step, as in Aro's case, authoritarian forces target critics with online abuse. In the second step, critics are falsely accused of engaging in online abuse. These false accusations allow the authoritarian to claim the mantle of victimhood. The second step represents a strategic escalation: by transforming victims into alleged perpetrators, authoritarians invite further online abuse against victims, compounding the harm. Under both steps, the real victims are critics of the powerful, who first experience harassment and then face gaslighting that incites additional abuse.",body_text,text,0.9969040247678018,2,2,chicago_law_review_digital-authoritarianism
"* Special thanks to Mario Barnes, Courtney Douglas, Paul Gowder, Deborah Turkheimer, to the audience at Northwestern Law's Julian Rosenthal Lecture, and to Miranda Coombe, Sam Hallam, Caroline Kassir, and Danielle O'Connell for superb editing. Adeleine Lee and Alex Wilfert provided excellent research assistance. The authors contributed equally to this essay.",body_text,footnote,0.9916434540389972,0,3,chicago_law_review_digital-authoritarianism
"This two-step strategy echoes longstanding behavioral patterns in social and political life, including among both perpetrators of intimate partner violence and conservative legal movements. Attacking critics and co-opting the language and mechanisms of resistance silences dissent, punishes disobedience, and maintains traditional hierarchies of power. Today's would-be authoritarians are pursuing this two-step strategy to muzzle critics and undermine prodemocracy efforts.",body_text,text,0.9968387776606955,3,9,chicago_law_review_digital-authoritarianism
"And their strategy is working. Politicians have softened or changed their positions to forestall further attacks; journalists and researchers have withdrawn from public life. 4 False accusations of online abuse are not only psychologically devastating and destabilizing but also create a version of what Bobby Chesney and one of us (Citron) have called the 'liar's dividend': when everyone is a harasser, no one is. These tactics produce fear that compels conformity and silence.",body_text,text,0.9634273772204807,4,10,chicago_law_review_digital-authoritarianism
"Elon Musk, the richest man in the world and a senior advisor to President Trump, has embraced the two-step approach. Before his inauguration, President-elect Donald Trump announced that Musk, owner of the social media platform X, would play a role in his administration by recommending cuts to the federal government. Musk shared posts naming four women working in climate-related government positions with dismissive comments suggesting their roles were unnecessary. In one post, Musk declared, 'So many fake jobs.' Predictably, some of his more than two hundred million followers then attacked the four women, posting abusive statements like 'Sorry Ashley Thomas. Gravy Train is over.' Everett Kelley, President of the American Federation of Government Employees, underscored that Musk's 'tactics are aimed at sowing terror and fear' and federal employees are 'afraid to speak up.' Unsurprisingly, one of the four women deleted her social media accounts.",body_text,text,0.9152719665271967,5,11,chicago_law_review_digital-authoritarianism
"The second step began when an X user identified six employees working at Musk's so-called Department of Government Efficiency (DOGE) and a journalist discussed their credentials in a Wired article. 5 Musk accused the poster of 'commit[ing] a crime' and called for the journalist's firing. A wave of online abuse followed. Edward Martin, Jr., then the interim United States Attorney for the District of Columbia, wrote to Musk on X, saying his office would not 'tolerate threats against DOGE' and would investigate anyone targeting DOGE",body_text,text,0.7586206896551724,6,12,chicago_law_review_digital-authoritarianism
"5 In federal law, a 'department' is a term of art. The DOGE is an advisory body in the executive branch with no formal legal authority to call itself a 'department.'",footnote,footnote,0.9726443768996961,3,14,chicago_law_review_digital-authoritarianism
"Of course, Elon Musk is not the only perpetrator of the authoritarian two-step online-he has forerunners in the Duterte regime in the Philippines. After Maria Ressa, founder of the news site Rappler, criticized extrajudicial killings associated with then-President Duterte's drug war, hundreds of pro-Duterte accounts targeted her with online abuse. Ressa received graphic rape and death threats under coordinated hashtags like #ArrestMariaRessa and #BringHerDown. Pro-government influencers amplified the abuse, publishing Ressa's home address and falsely claiming that she was a U.S. citizen trying to undermine Philippine sovereignty. The second step followed shortly thereafter: The Duterte administration cast Ressa as the perpetrator, accusing her of 'cyber libel' and criminal behavior. Officials filed criminal charges against her, all in service of protecting the authoritarian regime.",body_text,text,0.9944071588366891,7,16,chicago_law_review_digital-authoritarianism
"In this Essay, we examine these developments' broader implications for democracy. We must recognize the authoritarian twostep playbook as part of a coordinated attack on public engagement. We surface these tactics so their costs to public discourse and civic engagement can be fully understood. We show how the misappropriation of the concept of online abuse has parallels in other efforts at conceptual diversion that dampen democratic guarantees. Democracy's survival requires creative solutions. Politicians and government workers must be able to operate free from intimidation. Journalists and researchers must be able to freely investigate governmental overreach and foreign malign influence campaigns that threaten the democratic process. Surfacing the two-step strategy is a critical start to combating it.",body_text,text,0.9969268592501537,8,17,chicago_law_review_digital-authoritarianism
