text,html_label,docling_label,similarity,html_index,pdf_index,document
"Search costs matter and are reflected in many areas of law. For example, most disclosure requirements economize on search costs. A homeowner who must disclose the presence of termites saves a potential buyer, and perhaps many such buyers, from spending money to search, or inspect, the property. Similarly, requirements to reveal expected miles per gallon, or risks posed by a drug, economize on search costs. But these examples point to simple strategies and costs that can be minimized or entirely avoided with some legal intervention. Law can do better and take account of more subtle things once sophisticated search strategies are understood. This Essay introduces such search strategies and their implications for law.",body_text,text,1.0,0,4,chicago_law_review_search-strategy-sampling-and-competition-law
"High search costs make for more monopolies, but how bad are a monopolist's high prices? How does one search for a job? How many options should law want a corporate fiduciary to seek before agreeing to a merger? At present, these and many other questions tend to be resolved without thinking about the costs of searching for better options. Law needs to take search costs into account, plus the strategies that can be used to minimize these costs, far more than it does at present. This Essay will introduce important ideas about search costs by exploring several search strategies and a variety of their applications. This broad-brush approach leaves open, perhaps for future work, the task of digging down into particular industries. The goal is to convince the reader, and the legal (and law and economics) community more generally, that search costs deserve more attention.",body_text,text,0.9988584474885844,1,5,chicago_law_review_search-strategy-sampling-and-competition-law
"to the best option that was (but is by assumption no longer) available in the sample set. Admittedly, this requires the decision-maker to know the size of the field. It might be determined by nature, by reasonable deadlines for applicants, or by the cost of inspecting alternatives. A key insight concerns determining the optimal size of the sample set. An interviewer offered eight prospects should inspect three (1/e of the available group to be precise 2 ) and then stop when observing the first subsequent interviewee who is better than the best in that sample of three. The decision-maker is thus limited to pairwise comparisons, a feature that may be convenient to decision-makers who have trouble keeping many things in mind at once. This strategy avoids cycling if there are three or more decision-makers because the choice is between just two options in any one step. Moreover, there is no returning to options passed by, just as rules against reconsideration avoid evidence of cycling and indeterminacy in deliberative groups governed by the usual rules of order.",body_text,text,0.7948051948051948,2,8,chicago_law_review_search-strategy-sampling-and-competition-law
"In a set with eight options, ABCDEFGH, A is compared to B, the winner is then compared to C, and then the best of that sample group is kept in mind. If the next option, D, is inferior to the best of the sample, then D is dismissed, and we move on to E. If E beats the best of the sample, then E is chosen, and the search ends. The goal is to find the best in the A-H group of eight. Given the assumptions, this strategy is superior to any other in finding the best choice. The strategy fails when the best is in the ABC sample group, and it is also likely to fail when the best applicant is found late in the group. Thus, G might be the best, but it was dismissed once E was discovered to be better than any in the ABC group. Note, with some relief and some relaxation of the stated goal of finding the very best in the available group, that E is quite likely to be the second best if it is not the very best. It is apparent that the method does not take the costs of these one-on-one inspections, or comparisons, into account. These search costs are of the kind that drive the discussion in this Essay.",body_text,text,0.99909338168631,3,9,chicago_law_review_search-strategy-sampling-and-competition-law
"2 1/e = 1 / 2.71828 . . , or roughly .37. In the practical world of sampling this is often referred to as the 37% rule.",footnote,footnote,0.9873417721518988,0,11,chicago_law_review_search-strategy-sampling-and-competition-law
"Economists, beginning with Peter Diamond, have observed that consumer search costs raise prices, but much of the focus has been on sellers' incentives to obfuscate, raise search costs once a buyer is within reach, and then raise prices. 3 A seller can be expected to charge a bit more once it recognizes that a roving buyer will accept a price that is somewhat higher than one likely to be available elsewhere because the seller knows that the buyer will take its search costs into account. On the other hand, higher prices will discourage searchwhich is to say purchases and the costs undertaken to make these purchases-in the first place.",body_text,text,0.7616766467065869,4,12,chicago_law_review_search-strategy-sampling-and-competition-law
"One aim of this Essay is to examine how these two theoriesoptimal stopping and Diamond-price-adjustments-affect prices. In turn, the insights are likely to shed light on legal interventions in the interest of consumer welfare. This Essay begins by sidelining optimal stopping in Part I. Optimal stopping theory is reintroduced in Part V after some discussion of Diamond-price-adjustments in Part II as well as search costs more generally, and particularly the disinclination of a first mover to be disadvantaged by a kind of free riding that this Essay will call 'uncompensated sampling.' For example, an interviewer who has no intention of hiring the first two candidates but uses them to sample the available pool and then follow the optimal stopping strategy is imposing costs on the candidates in the sample. Eventually, this Essay expands these ideas by considering two-sided search problems in Part V; a buyer might be searching for better prices, while the seller is also searching for a buyer that will produce the greatest profit. This two-sided inspection of search costs is new to law and economics. The examination of search and price adjustments offers serious implications for antitrust and other law. An incorporation of optimal stopping theory does yet more. The idea is to see competition through a lens that incorporates multiple approaches that are not normally thought of in one exercise and that, even alone, have rarely",body_text,text,0.9423328964613368,5,13,chicago_law_review_search-strategy-sampling-and-competition-law
"3 See Glenn Ellison & Alexander Wolitzky, A Search Cost Model of Obfuscation , 43 RAND J. E CON . 391, 417 (2012). For related analyses, see Peter Diamond, A Model of Price Adjustment , 3 J. E CON . T HEORY 109, 156-68 (1971). See also Michael Baye, John Morgan & Patrick Scholten, Information, Search, and Price Dispersion , I ND . U NIV . (Dec. 2006), https://perma.cc/LZ4AK83P. Once search costs are 'dispersed,' things become more complicated, and high search costs can lead to lower prices because higher costs reduce demand. See Jose L. Moraga-Gonzalez, Zsolt Sandor & Matthijs R. Wildenbeest, Do Higher Search Costs Make the Markets Less Competitive? , I ND . U NIV . (Mar. 2013), https://perma.cc/ZMD5-URUM.",footnote,footnote,0.9370134465675867,1,14,chicago_law_review_search-strategy-sampling-and-competition-law
"Setting optimal stopping strategies aside allows us to concentrate on other insights from search theory. The analysis here begins with a buyer's search strategy, as if the seller is not also searching among potential bidders, or buyers. Put differently, most transactions involve two-sided search processes; the buyer searches for the best price (not to mention other features), and the seller evaluates buyers to set prices and decide when to accept offers. Still, it will be useful at the outset to view search costs from just one perspective. When optimal stopping is incorporated late in this Essay, along with a two-sided analysis, the number of balls in the air is greatly increased, and conclusions are hazy. This may be why the existing literature generally treats the problem as one-sided. In the case of understanding a firm's hiring process, for example-a typical application of optimal stopping-the focus has been on the employer's decision in hiring from a set of applicants who can be interviewed. The analysis here does the same, at least at first, ignoring the idea that the typical applicant is also choosing how many employers to consider and when to accept an offer rather than continue searching. Similarly, as we will see in the context of competition law, it is a leap (and a goal here) to think about buyers' choosing how many sellers to consider, but a further (usually ignored) leap would consider a seller's shopping strategy with multiple potential buyers-even if it is only to 'interview' them as to the price they would pay. The reader can already see that this Essay will leave room for further work. A largely one-sided analysis is sufficiently novel and complex.",body_text,text,0.9203069657615112,6,16,chicago_law_review_search-strategy-sampling-and-competition-law
"Even choosing a law school to attend can involve search costs. An applicant can discover rankings quite easily, but it requires effort to discover post-scholarship prices. A significant percentage of entering students will pay the sticker price, but many will bargain for better prices if they have attractive offers from competing schools. These are very different markets, and yet all involve costly searching by many buyers. To add to the fun, most of these markets reflect a degree of two-sided searching. The applicant searches for a better price from competing schools, and the schools search for applicants of various types. Similarly, a high school football star searches among universities to attend, while a given university in search of a talented football quarterback does not need to pay for many of these. It is a twosided search process. In sum, this Essay is about the relationship between search costs and competition, and its message is that law should look at competition through the lens of search costs. Prices and even hints of collusion may be less important than is commonly thought.",body_text,text,0.999548532731377,8,19,chicago_law_review_search-strategy-sampling-and-competition-law
