text,html_label,docling_label,similarity,html_index,pdf_index,document
"O.C.G. is a gay man who fled his home in Guatemala because of private death threats and official persecution. The Department of Homeland Security (DHS) rejected his petition for asylum and deported him back to Guatemala, from which O.C.G. fled to Mexico, where he was raped and held hostage. O.C.G. re-entered the United States; DHS officers issued a reinstatement-of-removal order against him, again designating Guatemala as the country of removal. On February 19, 2025, an Immigration Judge (IJ) granted his application for withholding of removal to Guatemala because his life would be at risk and for similar reasons refused to designate Mexico as a country of removal. Nonetheless, DHS put O.C.G. on a bus to Mexico, whose authorities sent him back to Guatemala .",body_text,text,0.9980430528375733,0,4,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"Invoking the immigration statute and constitutional due process, O.C.G. and three detained immigrants brought a class action lawsuit for declaratory judgment that DHS must provide notice when it proposes a third country for removal and a meaningful hearing for the immigrant to raise asylum and/or risk-of-torture arguments against such country. On March 28, 2025, District Judge Brian Murphy granted a temporary restraining order (TRO), barring DHS from summary disregard of countries identified in removal orders. The next day, DHS promulgated a new policy: If a country made any 'credible' assurance that deported immigrants would not be 'persecuted or tortured,' then DHS will remove the immigrant to that country without notice. Without such assurances, the new policy assured immigrants of notice of the new country, but not of their rights to raise reasonable fear of torture or persecution, nor of sufficient time to prepare for a hearing if they asked for one.",body_text,text,0.9958720330237358,1,5,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"Welcome to the Supreme Court's emergency docket. Like the Twilight Zone, the emergency docket is 'the middle ground between light and shadow,' and hence is the core of the so-called 'shadow docket.' Commentators have criticized the Court's shadow-docket interventions: summary orders shirk the Court's responsibility to resolve important legal issues in reasoned opinions informed by complete briefing and oral argument, are unwise because they risk premature decisionmaking before issues percolate in the lower courts, provide insufficient or confusing direction for lower courts, and undermine the Court's legitimacy because of their 'shadowy' deliberation. Some critics suggest that the shadow docket is a sneaky way for conservative Justices named by Republican presidents to carry out their regime-change agenda without creating too much publicity. 2 My big problem is that shadow-docket stays deeply (not just technically) undermine the rule of law and violently affect the lives of people like O.C.G. without sufficient legal justification.",body_text,text,0.9541547277936963,3,9,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"Notwithstanding these criticisms, shadow-docket grants skyrocketed after President Obama left office. The first Trump Administration (Trump 1.0) sought forty-one emergency staystwenty-eight of which were granted by the Supreme Court, including stays of lower court judgments blocking Trump 1.0's rerouting of military appropriations to pay for work on a Mexican border wall, exclusion of transgender persons from military service, and imposition of a broad travel ban for nationals of five Muslim and two other countries. The Biden Administration sought fewer emergency stays, but the Court granted emergency relief blocking workplace COVID rules adopted by Biden's Occupational Safety and Health Administration and tenant-protection rules adopted by Biden's Department of Health and Human Services.",body_text,text,0.9956222639149468,4,10,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"2 But see Pablo Das, Lee Epstein & Mitu Gulati, Deep in the Shadows: The Facts About the Emergency Docket , 109 V A . L. R EV . O NLINE 73 (2023) (acknowledging that many pundits criticize the Roberts Court shadow docket orders as implementing a stealth agenda, but finding no empirical support for such a claim).",footnote,footnote,0.962843295638126,0,12,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"seventeen cases, including O.C.G.'s case. 3 The shadow docket after January 20, 2025, was both quantitatively and qualitatively different from the much-criticized docket before Trump 2.0. An obvious difference is that the Solicitor General is asking the Court for a lot more emergency stays in order to push pause on an unprecedented number of district court injunctions blocking Trump 2.0 initiatives. Unlike its shadow docket veto of several important Biden Administration measures responding to the genuine COVID emergency, the Court in 2025 entered stays allowing important measures to go forward, notwithstanding legality problems and trumped-up claims of 'emergency.' Unprecedented in the history of the Supreme Court, divisions in major emergency stay cases in this decade are usually by strict party lines, with six Republican-appointed Justices in the majority and three Democratic-appointed Justices in dissent. Accordingly, the new shadow docket is a super-partisan mechanism to whip skeptical judges into conformity with Trump 2.0's massive party-line regime change.",body_text,text,0.9187339606501284,5,13,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"Another important feature of the new shadow docket is that it has become a mechanism that often has the effect of rendering statutory schemes irrelevant and of revising or fudging statutory texts in ways that empower the presidency. A third feature is potentially the most concerning: Emergency stays of lower court injunctions protecting immigrants, government workers, and administrators against unlawful removal create law-free zones that allow or encourage the worst impulses of Trump 2.0 lawyers and that undermine the rule of law itself. The new shadow docket has made clear that the Roberts Court is aligning the judiciary with a coercive, sometimes violent government-and it is doing so with none of the justifications that must accompany a judicial ratification of presidential efforts to silence critics, cleanse the body politic, and upend lawful statutory regimes.",body_text,text,0.9988584474885844,6,14,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"3 Data regarding the 2024 Term's emergency docket are taken from the 113 orders listed in Emergency Docket 2024-25 , SCOTUSblog (viewed July 26, 2025). As this article goes to press on September 23, I have added Trump v. Boyle , NIH v. Am. Pub. Health Ass'n, Noem v Vasquez Perdomo , and Trump v. Slaughter to that list.",footnote,footnote,0.9842767295597484,1,16,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"The most striking feature of the 2024 Term's shadow docket is its strongly pro-presidential tilt that became a slam after January 2025. Almost half of the emergency stay petitions were made during the Biden Administration. Biden's Solicitor General sought or supported emergency stays in five cases, and the Court granted stays in two cases where the conservative Fifth Circuit had declined to stay injunctions against enforcement of the Corporate Transparency Act and the Horseracing Integrity & Safety Act of 2020. In one order, the 5-4 Court denied two applications to stay preliminary injunctions against controversial Department of Education rules protecting transgender students. In twenty-three cases, companies and trade associations unsuccessfully challenging EPA and other agency rules in lower courts sought emergency stays; Biden's Solicitor General successfully opposed every one of them. The Court rejected applications from former President Trump for emergency stays to veto a gag order and to delay sentencing in federal criminal proceedings against him. The Court rejected all thirty-six applications by deathrow inmates for stays of execution in the 2024 Term.",body_text,text,0.9961815867628341,9,19,chicago_law_review_trump-20-removal-cases-new-shadow-docket
"Starting on January 20, 2025, Trump 2.0 issued a blizzard of executive orders, and his appointees followed with similar policy initiatives. The dominant theme was regime change upending landmark statutory schemes and longstanding and mostly bipartisan policies. The primary mechanism was removal : the removal of undocumented immigrants such as O.C.G. to either their home countries or, increasingly, last-minute third countries; the removal of tens of thousands of federal employees through reduction-in-force discharges; and removal of agency officials whose jobs were guaranteed by statutory for-cause protections.",body_text,text,0.9991889699918897,10,20,chicago_law_review_trump-20-removal-cases-new-shadow-docket
