text,html_label,docling_label,similarity,html_index,pdf_index,document
"The Takings Clause of the Fifth Amendment provides that when the government takes private property for a public purpose, it must compensate the property owner. 1 One exception to this rule, the 'background principles' exception, establishes that 'the government does not take a property interest when it merely asserts a 'pre-existing limitation upon the land owner's title.'' 2 For instance, if a landowner is creating a nuisance on his property, the government owes him no compensation for forcing him to stop, 'because he never had the right to engage in the nuisance in the first place.' 3 The concept is simple: One cannot lose what was never his. 4",body_text,text,0.9831288343558282,0,1,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"Background principles are a strong medicine. 5 When a court analyzes a takings claim, it must first identify the property interest at issue before deciding the more complex, discretionary question of whether that property was 'taken.' 6 Background principles are 'logically antecedent' to this analysis, 7 meaning that they can foreclose an aggrieved property owner's claim before the first step. 8 If the court determines that, pursuant to a background principle, a plaintiff had no property interest to begin with, the government will completely evade takings liability for its interference with the plaintiff's property. 9 Judges, too, can use background principles to avoid difficult legal and factual questions that may arise later in the takings analysis. 10",body_text,text,0.961892247043364,1,2,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
1 U.S. CONST. amend. V.,footnote,footnote,0.782608695652174,0,5,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"3 Id. (citing Lucas , 505 U.S. at 1029 -30 ).",footnote,footnote,0.9195402298850575,2,6,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"2 Cedar Point Nursery v. Hassid, 141 S. Ct. 2063 , 2079 ( 2021 ) (quoting Lucas v. S.C. Coastal Council, 505 U.S. 1003 , 1028 -29 ( 1992 )).",footnote,footnote,0.9597069597069597,1,7,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"4 Cf. James L. Huffman, Background Principles and the Rule of Law: Fifteen Years After Lucas, 35 ECOLOGY L.Q. 1 , 19 ( 2008 ) (arguing that '[t]here is nothing innovative or surprising about' the background principles exception).",footnote,footnote,0.9538461538461539,3,8,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"6 See infra section I.A, pp. 2074 -77 .",footnote,footnote,0.9210526315789473,5,9,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"5 See Robert Meltz, Takings Law Today: A Primer for the Perplexed , 34 ECOLOGY L.Q. 307 , 329 ( 2007 ) (characterizing background principles as 'a big exception' to an otherwise 'categorical takings rule[]').",footnote,footnote,0.9368932038834952,4,10,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"7 Lucas , 505 U.S. at 1027 .",footnote,footnote,0.9259259259259259,6,11,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"9 See, e.g. , Lucas , 505 U.S. at 1030 (citing, inter alia, Bd. of Regents of State Colls. v. Roth, 408 U.S. 564 , 577 ( 1972 )).",footnote,footnote,0.9723320158102767,8,12,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"8 Meltz, supra note 5 , at 353 ('The stakes are high: as a threshold issue, finding that a government restriction merely embodies a background principle ends the taking analysis then and there.'); see also David A. Dana, 'Background Principles' in the Law of Takings , 73 AM. U. L. REV. 1789 , 1812 ( 2024 ) (observing that 'state and lower federal cases' provide 'very little explanation . . . as to why the court accept[ed] or reject[ed] a . . . source as creating a background limitation').",footnote,footnote,0.9520897043832823,7,13,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"10 See Michael C. Blumm & Lucus Ritchie, Lucas 's Unlikely Legacy: The Rise of Background Principles as Categorical Takings Defenses , 29 HARV. ENV'T L. REV. 321 , 328 ( 2005 ) ('The rise of categorical background principles defenses seems to have appealed to lower courts, perhaps because it allows judges to resolve cases without having to employ detailed factual analysis.').",footnote,footnote,0.9386666666666666,9,14,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"the Takings Clause with widely understood principles of property law. 11 Indeed, the case that introduced the background principles exception Lucas v. South Carolina Coastal Council 12 featured prominently the notion that property owners are on notice of background limitations . 13 In Lucas , Justice Scalia explained that background principles, like all property rights under the Takings Clause, are rooted in state-specific law. 14 By locating background principles in state law, Lucas ensured that takings law reflects property owners' actual expectations. 15",body_text,text,0.8816521048451151,2,15,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"But despite its potential, background principles jurisprudence has long remained underdetermined. 16 Scholars and courts have struggled with questions as basic as what counts as a background principle 17 and what rationale justifies the exception. 18 Notwithstanding these open questions, one deeply rooted feature of takings law has provided some degree of determinacy for the exception over the last several decades: the courts' consistent use of state-specific law to define property interests. 19 But recently, even this fixture has come into flux.",body_text,text,0.9945454545454545,3,16,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"11 See, e.g. , Dana, supra note 8 , at 1808 ('Justice Scalia's plurality opinion in Lucas hints at the idea that citizens' actual or constructive notice of background limitations is what makes them legitimate restrictions on private property rights.').",footnote,footnote,0.9740518962075848,10,19,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"13 See, e.g. , Dana, supra note 8 , at 1808 (quoting Lucas , 505 U.S. at 1027 ).",footnote,footnote,0.9548387096774194,12,20,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
12 505 U.S. 1003 ( 1992 ).,footnote,footnote,0.8979591836734694,11,21,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"14 Lucas , 505 U.S. at 1027 (quoting Pa. Coal Co. v. Mahon, 260 U.S. 393 , 413 ( 1922 )).",footnote,footnote,0.9595375722543352,13,22,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"15 See id. (noting that 'the property owner necessarily expects' the state to occasionally impose limitations on 'the uses of his property' through the 'legitimate exercise of its police powers'); cf. Maureen E. Brady, The Illusory Promise of General Property Law , 132 YALE L.J.F. 1010 , 1048 -49 ( 2023 ) (criticizing the 'unpredictability of a general-law approach' that deems litigants to be 'on notice,' id. at 1048 , of property interests in 'every jurisdiction's law,' id. at 1049 ).",footnote,footnote,0.8004115226337448,14,23,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"17 See, e.g. , Meltz, supra note 5 , at 353 ('Much ink has been spilled over what qualifies as a background principle, beyond the certainty that common law nuisance is included.'); Dana, supra note 8 , at 1856 (criticizing 'the courts' and especially the U.S. Supreme Court's failure to explain how they have decided and will decide questions regarding background limitations on title').",footnote,footnote,0.9431524547803618,16,24,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"16 See, e.g. , Dana, supra note 8 , at 1806 -07 ('The problem . . . is that the Supreme Court and other courts have done little to clarify what is and is not a valid background limitation.'); Michael C. Blumm & Rachel G. Wolfard, Revisiting Background Principles in Takings Litigation , 71 FLA. L. REV. 1165 , 1169 ( 2019 ) ('What constitutes a valid background principles defense has proved to be a contentious and unsettled question over a quarter-century later.'); Meltz, supra note 5 , at 354 ('The Supreme Court has not spoken at length on the meaning of background principles since Lucas .').",footnote,footnote,0.9662731871838112,15,25,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"18 See generally, e.g. , Dana, supra note 8 (identifying 'three possible rationales for the background principles exception,' id. at 1789 ).",footnote,footnote,0.9675090252707581,17,26,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"20 Brady, supra note 15 , at 1014 (emphasis omitted).",footnote,footnote,0.9615384615384616,19,27,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
19 See sources cited infra note 80 .,footnote,footnote,0.9428571428571428,18,28,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
21 Id. at 1010 ; see also id. at 1015 (observing that the Supreme Court has increasingly 'relied on something approximating a general law of property in conducting takings analyses').,footnote,footnote,0.978021978021978,20,29,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"shift. 22 Some have argued that the recent general law cases 'make[] a considerable amount of sense normatively and practically' 23 because, among other things, they show that the Court systematically departs from state-specific law to prevent states from circumventing the Takings Clause by simply extinguishing a property interest. 24 This argument trades on the tendency for general law interventions in an anticircumvention posture to protect, rather than undercut, property rights.",body_text,text,0.7671232876712328,4,30,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"But that is only part of the story. A full examination of the ascent of general property law must also account for the recent emergence of general law background principles. Background principles found in the general law, rather than in state-specific law, complicate the dialogue around general property law because they serve as a basis for denials of otherwise viable takings claims. Yet many discussions of the sea change in constitutional property overlook the potentially problematic interaction between general property law and background principles. 25",body_text,text,0.9991063449508489,5,31,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"This Note fills that gap by demonstrating that the collision of ascendant general property law and the background principles exception could ultimately cause the Takings Clause to underprotect property interests. Part I provides background on the law of takings and describes the development of background principles jurisprudence. Next, Part II tracks the Court's recent shift toward a general law approach to property. Finally, Part III challenges the intuition that federal courts primarily apply general law to protect property rights, for example by preventing a state from 'extinguish[ing] a property interest . . . to avoid paying just compensation.' 26 To do so, it examines two recent cases 27 in the federal circuit courts that denied takings claims based on general law background principles. The general law approach may systematically underprotect property rights by increasing the level of generality",body_text,text,0.8885630498533724,6,32,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"22 See id. at 1015 . See generally Eric R. Claeys, Takings and Choice of Law After Tyler v. Hennepin County, 20 J.L. ECON. & POL'Y (forthcoming 2025 ), https://ssrn.com/abstract= 5084825 [https://perma.cc/ 4 X 4 H7 H 6 Q].",footnote,footnote,0.9354838709677419,21,34,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"24 See id. (manuscript at 3) (quoting Tyler v. Hennepin County, 143 S. Ct. 1369 , 1375 ( 2023 )).",footnote,footnote,0.968421052631579,23,35,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"23 Claeys, supra note 22 (manuscript at 2).",footnote,footnote,0.9647058823529412,22,36,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"25 This Note engages with a few recent treatments of the background principles exception and its intersection with general property law. See Brady, supra note 15 , at 1047-48 (noting that cases involving general-law background principles 'illustrate the unpredictability of a general-law approach,' id. at 1048 , and 'elide the question' of what counts as a background principle, id. at 1047 ); Timothy M. Mulvaney, Reconceptualizing 'Background Principles' in Takings Law , 109 MINN. L. REV. 689 , 735 ( 2024 ) (arguing that the ascendant general law approach to statutory background principles serves to 'conceal . . . decidedly moral judgments'); Dana, supra note 8 , at 1814-49 (developing three conceptions of background principles).",footnote,footnote,0.8548057259713702,24,37,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"27 Slaybaugh v. Rutherford County, 114 F. 4 th 593 ( 6 th Cir. 2024 ); Baker v. City of McKinney, 84 F. 4 th 378 ( 5 th Cir. 2023 ).",footnote,footnote,0.9486166007905138,26,38,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
