text,html_label,docling_label,similarity,html_index,pdf_index,document
"International investment law provides stability for investors, helps capital flow across the globe, and can be a critical tool for sustainable development. This regime, however, has become increasingly controversial, in part due to its inability to reconcile investor obligations with competing human rights obligations. International investment treaties provide substantive guarantees to investors, including submission to binding arbitration in the event of breach. When found in breach of one of these guarantees, international investment arbitral tribunal awards are often in the hundreds of millions of dollars, potentially creating 'regulatory chill' for states that may otherwise take affirmative action to protect human rights out of concern that regulation may run afoul of their treaties' international investment provisions.",body_text,text,0.9964071856287425,1,21,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"Some legal scholars have posited a fiduciary theory of statehood, whereby a state owes a fiduciary duty to its people, much like that in domestic corporate law. This Note proposes looking to the fiduciary theory of statehood for a path forward. It then advocates for its implementation through three approaches: (1) the contractual approach (treaty drafting), (2) the judicial approach (interpretative methods for existing treaties), and (3) the atmospheric approach (norm diffusion among stakeholders). The fiduciary theory not only provides a principled method to prioritize human rights but also enhances the legitimacy of the international investment legal regime. This framework offers a timely, pragmatic solution as the international community actively reconsiders the balance between investor protection and state sovereignty.",body_text,text,1.0,2,22,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"* J.D. Candidate, May 2026, University of Michigan Law School. Thank you to Professor Steven Ratner for invaluable feedback on numerous drafts of this piece and to Professor Julian Arato for first introducing me to international investment law. I am grateful to the Vol. 124 Notes team-Luke Pomrenke, Suji Kim, Jacob C. León, Ruben M. Piñuelas, Haley M. Rogers, and Dustin R. Smith-for their excellent edits and improvements. To my family (Mom, Dad, Clay, and Uncle Si) and friends, thank you for all your love and support. Finally, to my grandfather, Dennis Britt, thank you for inspiring my love for the law. All errors are my own.",body_text,footnote,0.9960536700868192,92,25,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"In addition to being resource-rich, the area held cultural significance for the Indigenous Aymara people. 3 When approving the environmental and social impact assessment, the Peruvian authorities instructed Bear Creek to set up community participation mechanisms. 4 Of the more than thirty distinct communities that the project would impact, Bear Creek worked with only four. 5 Bear Creek 'did not understand the Aymaras and . . . their communal relations.' 6 Experts believed that the Aymara people who participated in the outreach program were forced to attend and 'offer tacit approval.' 7 Furthermore, all community outreach programs were conducted in Spanish, and not the Aymara community's native language. 8",body_text,text,0.8268551236749117,4,28,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"1. Bear Creek Mining Corp. v. Republic of Perú, ICSID Case No. ARB/14/21, Award, ¶ 149 (Nov. 30, 2017), https://icsidfiles.worldbank.org/icsid/ICSIDBLOBS/OnlineAwards/ C3745/DS10808_En.pdf [perma.cc/3MUJ-D844]; Stefanie Schacherer, Bear Creek v. Peru , IISD (Oct. 18, 2018), https://www.iisd.org/itn/2018/10/18/bear-creek-v-peru [perma.cc/DZ4HQ3BM]. A mining concession is a kind of permit or license given by a government to a company that allows for the exploration and perhaps eventual resource extraction of a mine. Mining Concessions , LAND PORTAL, https://landportal.org/es/taxonomy/term/8906 [perma.cc/S9HASTGC].",footnote,footnote,0.9813765182186235,0,29,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"Bear Creek Mining Corp. , ICSID Case No. ARB/14/21, Award, ¶¶ 168, 291.",footnote,list_item,0.9929078014184397,1,30,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"5. Bear Creek Mining Corp. v. Republic of Peru, ICSID Case No. ARB/14/21, Partial Dissenting Opinion, ¶¶ 24-26 (Nov. 30, 2017), https://icsidfiles.worldbank.org/icsid/ICSIDBLOBS/OnlineAwards/C3745/DS10808_En.pdf [perma.cc/3MUJ-D844].",footnote,footnote,0.9892008639308856,2,33,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"Bear Creek Mining Corp. , ICSID Case No. ARB/14/21, Award, ¶ 155.",footnote,list_item,0.9922480620155039,3,37,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"10. Bear Creek Mining Corp. v. Republic of Perú, ICSID Case No. ARB/14/21, Respondent's Counter-Memorial on the Merits and Memorial on Jurisdiction, ¶ 7 (Oct. 6, 2015), https://icsidfiles.worldbank.org/icsid/ICSIDBLOBS/OnlineAwards/C3745/DC6978_En.pdf [perma.cc/849D-78S3].",footnote,footnote,0.988929889298893,4,38,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
"Bear Creek Mining Corp. , ICSID Case No. ARB/14/21, Award, ¶¶ 195, 202.",footnote,list_item,0.9929078014184397,5,39,michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law
