text,html_label,docling_label,similarity,html_index,pdf_index,document
"Notice and comment is a public participation process, first articulated in the Administrative Procedure Act (APA), that was heralded at the time as a critical innovation to engage the general population in the administrative agency rulemaking process. It has been crippled in the past fifty years, first by a series of cases-primarily at the circuit court level-which imposed new procedural requirements on agencies outside the text of the APA itself, and then by technological advancements that have enabled sophisticated parties to game the system while boxing others out. Rather than creating a democratic open-door process, notice and comment has become inequitable, inaccessible, and ineffective. Procedural requirements imposed not by statute but by judges have created both a resource management problem and a litigation trap for administrative agencies, at times preventing them from achieving the actual governance that rules and regulations are meant to advance.",body_text,text,0.9979423868312757,1,21,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"This Note offers agencies a solution already enshrined in the APA that would not require the exceedingly impracticable legislative action many proposed solutions rely on. The existing statutory tool-the good cause exception to notice and comment in section 553 of the APA-should be paired with a series of public engagement tools that are already available to agencies. Unlike notice and comment, these engagement methods are minimally resource-intensive and adapted to existing twenty-first century technologies. This approach preserves meaningful public participation in the rulemaking process while addressing many of the problems apparent in notice and comment without introducing new legislation, explicitly overruling any Supreme Court jurisprudence, or imposing new resource challenges on agencies.",body_text,text,0.9975155279503105,2,22,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"* J.D. Candidate, May 2026, University of Michigan Law School. Thank you to Professor Nicholas Bagley and Professor Nina Mendelson for their invaluable feedback on this Note and my ideas. This Note would not be possible without the smart and thoughtful edits from the Vol. 124 Notes Office: Luke Pomrenke, Haley Rogers, Dustin Smith, Ruben Piñuelas, Jacob León, and Suji Kim. I would not be here without the support (read: willingness to listen to me rant about niche admin law musings at all hours) of Heather Foster, Henry Evans, Nathan Pitock, Daniel Kaylor, and Madeline Guth, as well as my mom, my dad, and my sister. Finally, although the views expressed in this publication do not reflect those of anyone else who worked at the U.S. Department of Commerce during my time there, I would not have made it to Michigan Law, let alone published this piece, without the brilliant minds I met in the Biden Administration, most of all former Deputy Secretary Don Graves.",body_text,footnote,1.0,62,23,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
No administrator in Washington turns to full-scale notice-and-comment rulemaking when she is genuinely interested in obtaining input from interested parties. Notice-and-comment rulemaking is to public participation as Japanese Kabuki theater is to human passions-a highly stylized process for displaying in a formal way the essence of something which in real life takes place in other venues. 1,body_text,text,0.9001148105625718,3,25,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"E. Donald Elliott, Comment, Re-Inventing Rulemaking , 41 DUKE L.J. 1490, 1492 (1992).",footnote,list_item,0.9585798816568047,0,27,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"Informal rulemaking refers to a technical distinction between two types of rulemaking described in the APA. Most rulemaking is 'informal,' due partly to the narrowing of formal rulemaking by the Supreme Court in United States v. Florida East Coast Railway Company, 410 U.S. 224 (1973). See MAEVE P. CAREY, CONG. RSCH. SERV., RL32240, THE FEDERAL RULEMAKING PROCESS: AN OVERVIEW 5 (2013) ('Informal rulemaking, also known as 'notice and comment' rulemaking, is used much more frequently . . . .').",footnote,list_item,0.8104838709677419,1,28,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"Administrative Procedure Act, 5 U.S.C. § 552(a)(4)(A)(i). This is the first appearance of the phrase 'notice and receipt of public comment' in the APA. That phrase appears five times in the statute before a transition to the phrase 'notice and opportunity for public comment' in § 552a(v)(1). It is not until § 563(a)(7), added in a later amendment to the APA, that the exact phrase 'notice and comment' first appears, and it does so only twice, both in the context of a 'negotiated rulemaking committee,' which allows '[a]n agency [to] establish a negotiated rulemaking committee to negotiate and develop a proposed rule, if the head of the agency determines that the use of the negotiated rulemaking procedure is in the public interest.' 5 U.S.C. § 563-564. The original text of the APA, 5 U.S.C. §§ 551-559, never uses the exact phrase 'notice and comment,' as used by judges and legal scholars. The phrase only emerges in later amendments such as § 563.",footnote,list_item,0.9665621734587252,2,29,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"See Ronald A. Cass, Rulemaking Then and Now: From Management to Lawmaking , 28 GEO. MASON L. REV. 683, 700 (2021) ('[T]he APA's notice-and-comment process in its original formulation (unchanged in the text of the law today) required only a spare form of notification as to the subject of a contemplated rule, virtually any form of opportunity for public input, and a bare-bones explanation of why the ultimately adopted rule was chosen. Nothing in the APA as written required specific steps to assure that comments were received from an extensive group of interested parties, that they were carefully considered by the agency, or that the agency addressed major comments in laying out the reasons behind the final rule.' (emphasis omitted)).",footnote,list_item,0.9844699527346388,3,30,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"See, e.g. , United States v. Nova Scotia Food Prods. Corp., 568 F.2d 240 (2d Cir. 1977); Portland Cement Ass'n v. Ruckelshaus, 486 F.2d 375 (D.C. Cir. 1973); Fla. E. Coast Ry. , 410 U.S. 224; Vt. Yankee Nuclear Power Corp. v. Nat. Res. Def. Council, Inc., 435 U.S. 519 (1978); Motor Vehicle Mfrs. Ass'n v. State Farm Mut. Auto. Ins. Co., 463 U.S. 29 (1983).",footnote,list_item,0.9915730337078652,4,31,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"6. 5 U.S.C. § 706(2)(A) ('The reviewing court shall . . . (2) hold unlawful and set aside agency action, findings, and conclusions found to be(A) arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law.').",footnote,footnote,0.9723991507430998,5,34,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
