text,html_label,docling_label,similarity,html_index,pdf_index,document
"You can't question a secret you haven't been told. The criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. If police can use claims of secrecy to systematically thwart criminal defendants' access to evidence, judicial review will fail. And yet that is exactly what is happening under a common-law doctrine called the 'law enforcement privilege.' The privilege empowers police and prosecutors to rely on the results of secret investigative methods while withholding information from the defense about how those methods work. It risks perpetuating unconstitutional conduct, enabling wrongful convictions, and rendering Fourth Amendment, Sixth Amendment, Brady , and statutory discovery laws moot. At the same time, it has a non-frivolous policy rationale. If all police investigative methods were public information, then more people committing crimes could evade detection.",body_text,text,0.9943093636833937,1,18,michigan_law_review_law_enforcement_privilege
"How can a better balance be struck? This Article argues that current law enforcement privilege doctrine creates a dangerously boundless police secrecy power because of a subtle conceptual collapse: The policy rationale itself is mistakenly used as the test for assessing claims of privilege. The Article recommends that courts instead evaluate privilege claims by reference to the marginal risk of leaking posed by in-court disclosure. Specifically, judges should demand to know what conditions law enforcement previously imposed on access to the information. The answer to that question can be adjudicated publicly without jeopardizing a legitimate privilege claim and will help judges detect mistaken, exaggerated, pretextual, or fraudulent claims to the privilege. Further, even when law enforcement has taken care with the information, if a court-ordered protective order can match or exceed the safeguards that law enforcement itself previously maintained, then judges should default to ordering disclosure. The Article concludes by suggesting a theory of the role of confidentiality in privilege law.",body_text,text,1.0,2,19,michigan_law_review_law_enforcement_privilege
"* Professor of Law, Columbia Law School. Thank you to Elena Chachko, Edward Cheng, Colleen Chien, Bryan Choi, Catherine Crump, Judge Jeremy Fogel, Mark Gergen, Aziz Huq, Edward Imwinkelried, Orin Kerr, Christina Koningisor, Ronald Lee, Anna Lvovsky, Erin Murphy, Ngozi Okidegbe, Neil Richards, Daniel Richman, Andrea Roth, Pam Samuelson, Paul Schwartz, Elisabeth Semel, Jonathan Shaub, Jonathan Simon, Maneka Sinha, Judge Stephen Smith, Molly Van Houweling, Rory Van Loo, Charles Weisselberg, and Ben Wizner for helpful comments on prior drafts. This Article benefited greatly from presentations at Berkeley, Columbia, Denver, Fordham, Irvine, Pennsylvania, Vanderbilt, and Yale Law Schools, as well as the Privacy Law Scholar's Conference and the Decarceration Scholar's Workshop. Thank you to my wonderful team of research assistants, Alexa Daugherty, Izzy Simon, Cheyenne Smith, Tyler Takemoto, and Daniela Wertheimer; to Gilad Edelman for invaluable editorial guidance; and to the editors of the Michigan Law Review for their careful and insightful editorial input.",body_text,footnote,0.9981290926099158,126,20,michigan_law_review_law_enforcement_privilege
"In Mapp v. Ohio , police used a fake warrant to search a home. 1 In Katz v. United States , police wiretapped a phone booth without getting a warrant. 2 In Riley v. California , police warrantlessly searched a cell phone. 3 And in Carpenter v. United States , police collected 12,898 data points from one person's cell phone location information, again without a warrant. 4 In each case, a criminal defendant challenged the police conduct in an adversarial hearing, and the Supreme Court ruled that the conduct violated the Fourth Amendment.",body_text,text,0.8298039215686275,3,22,michigan_law_review_law_enforcement_privilege
"And yet, that is exactly what is happening under an obscure but powerful common-lawdoctrine called the 'law enforcement privilege.' This evidentiary privilege empowers police and prosecutors to rely on the results of secret investigative methods while concealing how those methods work from the defendants against whom they are used. The privilege is designed to apply to methods that would become ineffective if generally known. It is a qualified privilege, meaning that courts first decide whether the privilege applies and then balance the competing interests in secrecy and disclosure in any given case. 5 Though not always invoked and not always upheld, the privilege has been cited in over eleven hundred federal opinions in the past forty years and has almost certainly successfully concealed police conduct in many more discovery disputes that did not culminate in written opinions. 6",body_text,text,0.8946808510638298,5,23,michigan_law_review_law_enforcement_privilege
"These landmark rulings, and many more like them, have defined the modern Fourth Amendment. None of them would exist if the police conduct at issue had been secret. If police had concealed their warrant fraud, trespassory wiretapping, cell phone searches, and bulk location tracking from these defendants, these tactics could have continued indefinitely. The criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. If police can use claims of secrecy to systematically thwart defense access to evidence, judicial review will fail.",body_text,text,1.0,4,24,michigan_law_review_law_enforcement_privilege
"Mapp v. Ohio, 367 U.S. 643, 645 (1961).",footnote,list_item,1.0,0,26,michigan_law_review_law_enforcement_privilege
"Katz v. United States, 389 U.S. 347, 348-49, 356 (1967).",footnote,list_item,0.9821428571428571,1,27,michigan_law_review_law_enforcement_privilege
"Riley v. California, 573 U.S. 373, 378-79 (2014).",footnote,list_item,0.9795918367346939,2,28,michigan_law_review_law_enforcement_privilege
"Carpenter v. United States, 138 S. Ct. 2206, 2212 (2018).",footnote,list_item,1.0,3,29,michigan_law_review_law_enforcement_privilege
"Tuite v. Henry, 181 F.R.D. 175, 176-77 (D.D.C. 1998).",footnote,list_item,0.9811320754716981,4,30,michigan_law_review_law_enforcement_privilege
See infra notes 80-87 and accompanying text.,footnote,list_item,0.9772727272727273,5,31,michigan_law_review_law_enforcement_privilege
See infra notes 297-319 and accompanying text.,footnote,list_item,0.9782608695652174,6,35,michigan_law_review_law_enforcement_privilege
See infra notes 320-333 and accompanying text.,footnote,list_item,0.9782608695652174,7,36,michigan_law_review_law_enforcement_privilege
