text,html_label,docling_label,similarity,html_index,pdf_index,document
"The Biden Administration's American Rescue Plan Act allotted almost $220 billion to state, local, and tribal governments to help combat the COVID-19 pandemic. This money, the Coronavirus State and Local Fiscal Recovery Fund, gave recipients wide spending discretion to address their struggling economies. But the legislation had one key limitation: Recipients could not use the money to 'directly or indirectly' cut their taxes. If a recipient violated this 'Offset Provision,' the Department of the Treasury might recoup the funds.",body_text,text,0.9492481203007519,1,20,michigan_law_review_spending_clause_standing
"Nearly two-dozen states alleged that the Offset Provision was unduly coercive and ambiguous, violating the Spending Clause. However, with no threatened recoupment looming, it was unclear whether the states had standing to sue at all. The five circuit courts that heard these cases did not reach consensus on the standing issue. Numerous opinions across six cases offered differing conceptions of 'sovereign' injuries and applied Massachusetts v. EPA 's command for 'special solicitude' to the state plaintiffs inconsistently.",body_text,text,0.9380362249761678,2,21,michigan_law_review_spending_clause_standing
"The Offset Provision cases provide the first opportunity to study the intersection of the Spending Clause and state standing. With no precedent on when states can challenge congressional spending legislation, the cases navigated standing's incoherent doctrine to craft new rules. The Offset Provision cases offer two novel categories of sovereign injuries-in-fact that states allegedly suffer in Spending Clause cases: the 'Spending Contract' and 'Tax Power' injuries. The former relates to an unconstitutionally ambiguous or coercive federal offer, while the latter describes an impermissible regulatory subject matter.",body_text,text,0.9838709677419355,3,22,michigan_law_review_spending_clause_standing
"The Offset Provision cases define the terms of federalism's future battleground. The Spending Contract and Tax Power injuries provide enterprising state attorneys general with the weapons to dismantle disfavored federal policy. Instead of adhering to standing doctrine's core separation-of-powers principles, a majority of the involved circuit courts have enabled states to readily air their policy grievances in federal court. Because Congress increasingly relies on its spending power to pass legislation, when states can and cannot challenge fed-",body_text,text,0.8348623853211009,4,23,michigan_law_review_spending_clause_standing
"* Thank you to my peers and friends in the Volume 122 Notes Office-Hannah Cohen Smith, Kassie Fotiadis, Ashley Munger, Katie Osborn, and Jordan Schuler-for making me a better writer and more empathetic person. Thank you to our successors, the Volume 123 Notes Office, for their incredible edits. Thank you to my research advisors-Evan Caminker and Daniel Deacon-for countless office hours discussing ridiculous spending hypotheticals. Thank you to my dad for his nearly illegible redline and my mother for her writing talent. And thank you to Grayson Metzger for her edits, support, and motivation to submit (and resubmit) this Note.",body_text,footnote,0.9936808846761453,124,24,michigan_law_review_spending_clause_standing
"American Rescue Plan Act of 2021, Pub. L. No. 117-2, 135 Stat. 4.",footnote,list_item,1.0,0,30,michigan_law_review_spending_clause_standing
"See Giovanni Russonello, What Does $1.9 Trillion Buy? , N.Y. TIMES (Apr. 29, 2021), https://nytimes.com/2021/03/10/us/politics/whats-in-covid-bill.html [perma.cc/5VJX-A7GE].",footnote,list_item,0.967930029154519,1,31,michigan_law_review_spending_clause_standing
"42 U.S.C. §§ 802(a), (c)(1).",footnote,list_item,1.0,2,32,michigan_law_review_spending_clause_standing
42 U.S.C. §§ 802-806.,footnote,list_item,0.9523809523809523,3,33,michigan_law_review_spending_clause_standing
42 U.S.C. § 802(c)(2)(A).,footnote,list_item,1.0,4,34,michigan_law_review_spending_clause_standing
"See infra Section I.A; U.S. CONST. art. I, § 8, cl. 1.",footnote,list_item,0.9259259259259259,5,36,michigan_law_review_spending_clause_standing
"See infra Section I.A; Missouri v. Yellen, 538 F. Supp. 3d 906 (E.D. Mo. 2021); Arizona v. Yellen, 550 F. Supp. 3d 791 (D. Ariz. 2021); West Virginia v. U.S. Dep't of Treasury, 571 F. Supp. 3d 1229 (N.D. Ala. 2021); Kentucky v. Yellen, 563 F. Supp. 3d 647 (E.D. Ky. 2021); Texas v. Yellen, 597 F. Supp. 3d 1005 (N.D. Tex. 2022); Ohio v. Yellen, 539 F. Supp. 3d 802 (S.D. Ohio 2021).",footnote,list_item,0.9973821989528796,6,37,michigan_law_review_spending_clause_standing
"See, e.g. , Missouri v. Yellen, 39 F.4th 1063, 1069-70 (8th Cir. 2022).",footnote,list_item,0.9787234042553191,7,38,michigan_law_review_spending_clause_standing
"See, e.g. , Arizona v. Yellen, 34 F.4th 841, 848 (9th Cir. 2022).",footnote,list_item,0.9922480620155039,8,39,michigan_law_review_spending_clause_standing
"See, e.g. , Kentucky v. Yellen, 54 F.4th 325, 329 (6th Cir. 2022).",footnote,list_item,0.9923664122137404,9,40,michigan_law_review_spending_clause_standing
"12. See Pennhurst State Sch. & Hosp. v. Halderman, 451 U.S. 1, 17 (1981); South Dakota v. Dole, 483 U.S. 203, 207, 211 (1987); Nat'l Fed'n of Indep. Bus. v. Sebelius, 567 U.S. 519, 58081 (2012).",footnote,footnote,0.9766233766233766,10,45,michigan_law_review_spending_clause_standing
"13. Massachusetts v. EPA, 549 U.S. 497, 519-20 (2007).",footnote,footnote,0.9423076923076923,11,46,michigan_law_review_spending_clause_standing
"See United States v. Texas, 143 S. Ct. 1964, 1977 (2023) (Gorsuch, J., concurring).",footnote,list_item,1.0,12,47,michigan_law_review_spending_clause_standing
"15. See Steve Vladeck, 16. When Can States Sue the Federal Government? , ONE FIRST (Feb. 27, 2023), https://stevevladeck.com/p/16-when-can-states-sue-the-federal [perma.cc/XE9LNM97] (noting the frequency of state challenges to Biden administration policies); Our Story: About the Alliance , GOVERNORS SAFEGUARDING DEMOCRACY, https://govsfordemocracy.org/about-us [perma.cc/Z5FE-YKW5] (reflecting the same litigious ambition of Democratic Governors J.B. Pritzker and Jared Polis in the second Trump administration).",footnote,footnote,0.9247311827956989,13,48,michigan_law_review_spending_clause_standing
"16. United States v. Texas, 143 S. Ct. at 1977 (Gorsuch, J., concurring).",footnote,footnote,0.971830985915493,14,49,michigan_law_review_spending_clause_standing
"Missouri v. Yellen, 39 F.4th 1063, 1070 (8th Cir. 2022); Kentucky v. Yellen, 54 F.4th 325, 329 (6th Cir. 2022); Ohio v. Yellen, 53 F.4th 983, 993 (6th Cir. 2022). The Sixth Circuit in Kentucky v. Yellen held that Tennessee had standing for a compliance cost injury. 54 F.4th at 342.",footnote,list_item,1.0,15,50,michigan_law_review_spending_clause_standing
"Arizona v. Yellen, 34 F.4th 841, 852 (9th Cir. 2022); West Virginia ex rel. Morrisey v. U.S. Dep't of the Treasury, 59 F.4th 1124, 1136 (11th Cir. 2023); Texas v. Yellen, 105 F.4th 755, 767 (5th Cir. 2024).",footnote,list_item,0.9951456310679612,16,51,michigan_law_review_spending_clause_standing
"19. Morrisey , 59 F.4th at 1148-49; Texas v. Yellen, 105 F.4th at 774.",footnote,footnote,0.9481481481481482,17,52,michigan_law_review_spending_clause_standing
"Spending Clause. The Offset Provision cases produced two general categories of sovereign injuries, styled here as the 'Spending Contract' injury and the 'Tax Power' injury. The Spending Contract injury, the asserted basis for standing in the Fifth, Ninth, and Eleventh Circuits, 20 focuses on the offer : Congress offends state sovereignty when it offers federal funds with coercive or ambiguous spending conditions. 21 The Tax Power injury-a 'plus factor' for standing in the Ninth and Eleventh Circuits-focuses on the subject matter : States can challenge congressional exercises of the Spending Clause that constrain certain sovereign prerogatives, like the power to tax. 22",body_text,text,0.7875457875457875,10,53,michigan_law_review_spending_clause_standing
"Although it is true that states suffer some form of sovereign injury when Congress exceeds its spending power, most of the Offset Provision decisions are simply too broad. An expansive Spending Contract injury incentivizes states to hunt for ambiguous provisions in legislative text and enjoin imagined enforcement merely because the ambiguity exists at the quasi-contractual offer stage. Furthermore, the Tax Power injury might significantly limit the use of the Spending Clause, granting standing if policy touches something-anything-'sovereign' enough. These injuries offer two new standing weapons to enterprising state attorneys general seeking to oppose federal spending policy: (1) searching and destroying legislative ambiguity, or (2) quarantining state tax policies from federal influence. Activist states and their chief prosecutors, already relying on 'dubious' and 'lawless' standing theories to circumvent decades of Article III limitations, 23 leave the fate of consequential policy decisions in the hands of an unelected judiciary. And unlike other forms of federal policymaking, the Spending Clause allows states to retain their agency and reject what Congress offers them. Because Congress often relies on its spending power for modern legislation, 24 an expansive 'welcome' mat into federal court risks further turning the judiciary into the arbiter of policy battles. 25",body_text,text,0.84472049689441,11,55,michigan_law_review_spending_clause_standing
See infra Section I.A.,footnote,list_item,1.0,18,56,michigan_law_review_spending_clause_standing
