text,html_label,docling_label,similarity,html_index,pdf_index,document
"Large corporations facing extensive tort liabilities have often gone into bankruptcy, forcing tort plaintiffs to accept pennies on the dollar as compensation for their injuries. Bankruptcy painfully illustrates the social fact that the compensatory properties of tort law depend on the availability of compensatory resources. Although this feature of tort law is self-evident, no one has adequately analyzed whether it matters for substantive tort doctrine, and if so, how.",body_text,text,1.0,1,20,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Wealth would seem to be substantively irrelevant given the rule that excludes evidence concerning the defendant's financial resources when determining breach or compensatory damages. The antecedent tort duty, however, depends on the burden it would impose on the ordinary duty-bearer across the general class of cases the duty governs. The reasonableness of this burden is affected by social facts such as per capita wealth, the replacement of debtor's prison with bankruptcy, the availability of liability insurance, and the social meaning of monetary damages. These normatively relevant facts are largely absent from modern accounts of tort law, even though they contract or expand the scope of substantive tort duties for noncontroversial reasons grounded in widely recognized tort values. An extended historical and doctrinal analysis confirms as much, showing how the scarcity of compensatory resources has shaped the basic structure of tort law-why it employs a default rule of negligence liability, sometimes supplemented by strict liability, while also being limited for wide swaths of negligently caused harms involving economic loss and emotional distress.",body_text,text,0.9974271012006861,2,21,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Accounting for the availability of compensatory resources reveals normative properties of substantive tort law that are often quite different from the ones modern tort theories depict, including the relation between tort law and criminal law and the vital role deterrence plays in a rights-based tort system. An adequate account of tort law must comprehend how the scarcity of compensatory resources alters substantive tort doctrine in principled ways.",body_text,text,1.0,3,22,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"* Sheila Lubetsky Birnbaum Professor of Civil Litigation, New York University School of Law. Copyright 2024 Mark A. Geistfeld. I'm grateful for the many helpful comments I received from Barry Adler, participants in the Yale Private Law Colloquium, and my colleagues at the NYU Law Faculty Workshop. Financial support was provided by the Filomen D'Agostino and Max E. Greenberg Research Fund of the New York University School of Law.",body_text,footnote,0.9953703703703703,230,25,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"To be sure, this kind of problem supplies the subject matter of economics, which seeks to identify the efficient allocation of scarce resources. But the scarcity of compensatory resources does not entail the need to formulate tort rules in an efficient manner. Scarcity can be normatively relevant for other reasons, though the question remains open because no one has seriously pursued this line of analysis.",body_text,text,1.0,6,27,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Perhaps because it is so obvious, this property of tort law has been largely ignored. 'Compensation of persons injured by wrongdoing is one of the generally accepted aims of tort law.' 5 Compensation is a guiding concern of tort law, yet no one has rigorously analyzed whether substantive tort law should be affected by the scarcity of compensatory resources, and if so, how.",body_text,text,0.8804733727810651,5,28,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"1. See Abbe R. Gluck, Elizabeth Chamblee Burch & Adam S. Zimmerman, Against Bankruptcy: Public Litigation Values Versus the Endless Quest for Global Peace in Mass Litigation , 133 YALE L.J.F. 525, 527-28 (2024) (describing the 'unprecedented number' of tort defendants, many of which 'are not even financially distressed,' that have filed for bankruptcy 'to compensate for what their court filings call the 'failure' of traditional litigation to expeditiously extinguish all lawsuits'); see also Luke Sperduto, Three and a Half Rules for Tort Claims in (and out of) Chapter 11 , 95 AM. BANKR. L.J. 127, 129-30 (2021) ('When a corporation files for bankruptcy due to tort liabilities, tort claimants often recover a smaller share of what they are owed than the company's secured creditors. This is because tort claims are general unsecured claims, which are subordinate to secured claims under state law and the United States Bankruptcy Code.').",footnote,footnote,0.9463621879978757,0,30,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"2. Harrington v. Purdue Pharma L.P., 144 S. Ct. 2071, 2098 (2024) (Kavanaugh, J., dissenting). For further discussion of this case, see infra notes 186-187 and accompanying text.",footnote,footnote,0.9858356940509915,1,31,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"4. Ryan Hampton, The Sacklers Are Walking Off into the Sunset. Reform the System , N.Y. TIMES (Sept. 11, 2021), https://nytimes.com/2021/09/11/opinion/purdue-sacklers-opioids-oxycontin-settlement.html [perma.cc/F46C-KET2].",footnote,footnote,0.9727272727272728,2,33,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Instead of tackling these issues, Abraham and Sharkey sidestep them by arguing that courts pretend to abide by these tort principles while ignoring them: '[C]ourts often honor the frequently followed fiction that common-law decisions are to be based on precedent and principle, not on policy considerations. Mentioning the availability of liability insurance as a factor in decisions about the proper scope of tort liability would conflict with this fiction.' 10",body_text,text,0.9522821576763485,9,36,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"6. Kenneth S. Abraham & Catherine M. Sharkey, The Glaring Gap in Tort Theory , 133 YALE L.J. 2165, 2169 (2024).",footnote,footnote,0.9541284403669725,4,39,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"8. Ira S. Bushey & Sons, Inc. v. United States, 398 F.2d 167, 171 (2d Cir. 1968) (citation omitted) (discussing the proper formulation of vicarious liability); see also, e.g. , FED. R. EVID. 411 ('Evidence that a person was or was not insured against liability is not admissible to prove whether the person acted negligently or otherwise wrongfully.').",footnote,footnote,0.94,5,41,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"9. Cf. Ernest J. Weinrib, The Insurance Justification and Private Law , 14 J. LEGAL STUD. 681, 683 (1985) ('Attention to activity and passivity in the context of a given harm precludes consideration of the litigants' wealth, virtue, or need: whatever the relevance of these factors for distribution or moral assessment, they are not elements in the parties' immediate interaction as such.').",footnote,footnote,0.8868894601542416,6,42,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"10. Abraham & Sharkey, supra note 6, at 2243.",footnote,footnote,0.9534883720930233,7,43,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"After identifying the relevant noncontroversial tort principles, Part I explains why courts can defensibly consider matters like insolvency and liability insurance when formulating substantive tort doctrine. To further establish the baseline proposition that substantive tort law depends on the general availability of compensatory resources, Part II asks what the common law would look like under conditions of unlimited compensatory resources and perfect injury compensation. This thought experiment, though obviously unrealistic, employs the historical practice common among ancient societies in the state of nature to compensate injuries with a 'social currency' that is normatively different from the ordinary money which greases market exchange. In a world where injuries can always be fairly compensated with social currency, there is no normative concern about the prevention of injury. Without any injurycausing behavior to punish, punitive damages disappear, and the criminal law serves only to sanction those who shirk their compensatory obligations. The substantive structure of the common law would be radically transformed from its present incarnation, providing further support for the baseline proposition that the general availability of compensatory resources has substantive implications for tort law.",body_text,text,0.9867474441499432,12,45,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"As I will try to demonstrate, insofar as there is a 'glaring gap' in tort theory, it involves the failure to recognize how the social fact of scarce compensatory resources fundamentally structures tort law for reasons of common-law principle. The scarcity of compensatory resources has always substantively mattered within the common law. The argument proceeds in five parts.",body_text,text,0.9653333333333334,11,46,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Part III introduces the problem of scarce compensatory resources. Following the transition from the state of nature, the newly emergent state enforced legal obligations with ordinary money for paying taxes and the like. 12 By utilizing ordinary money as a form of social currency for enforcing legal obligations within the realm of injury compensation, the common law imbued the monetary damages remedy with a duality of normative meaning that persists to this day-it is both crassly commercial and a normative measure of fair compensation. Two different scarcity problems inhere within this medium for redressing injury.",body_text,text,0.9301277235161532,13,47,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"11. Cf. Weinrib, supra note 9, at 681-82 (observing that 'the courts' tailoring of liability rules to the operation of insurance would be regarded as bizarre' in Canada, an approach which conforms to 'the conception of tort law that is prevalent in non-American common-law jurisdictions').",footnote,footnote,0.9372822299651568,8,48,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"First, money is a poor substitute for bodily injury-there is not enough money to compensate for a lost life, and money does not perfectly replace broken bones or fully correct for the fundamental alteration of one's life. Recognizing this problem, the common law treats premature death and other bodily injuries as irreparable harms that are best prevented ex ante instead of being compensated ex post with the inherently inadequate monetary damages remedy. The default rule of negligence liability accordingly centers on the equitable prevention of irreparable injury. The normative importance of injury prevention, in turn, justifies both punitive damages and criminal punishment for culpable forms of injury-causing behavior. The compensatory limitations of tort liability accordingly shape the criminal law, contradicting the conventional account that treats tort law as the civilized outgrowth of the punitive practices that organize the criminal law.",body_text,text,0.997907949790795,14,50,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Part IV shows how these two problems of resource scarcity have influenced substantive tort doctrine. The relevant tort principles are not the products of any particular rationale for tort liability, such as allocative efficiency or corrective justice. They instead are embedded within the normative calculus that courts necessarily and openly apply when developing substantive tort law in a principled manner. Social facts involving the general availability of compensatory resources, including the spread of liability insurance, factor into this normative calculus in ways that predictably shape substantive tort law's reach, causing it to either contract or expand.",body_text,text,0.9985007496251874,16,51,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"As previously discussed, compensatory resources are also scarce because defendants often do not have enough money to satisfy their tort judgments. Under the early common law, a judgment that rendered the defendant insolvent was not simply a financial matter. The compensatory obligation embodied the normative debt of social currency the defendant owed the plaintiff, and so insolvency involved a moral failure that merited punishment. 13 Debtor's prison-a prospect tort defendants faced in many states until the early twentieth century 14 -supplied a powerful normative reason for sharply limiting tort liability. Extensive liabilities for ordinary negligence did not justify a prison sentence; tort liability had to be proportional to the defendant's culpability. The subsequent emergence of modern bankruptcy law eliminated the burden of criminal punishment from this normative calculus. In principle, the transformation of debtor's prison into modern bankruptcy could expand the scope of substantive tort liability, a dynamic that has never adequately factored into the leading accounts of tort law.",body_text,text,0.7648183556405354,15,52,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
13. See infra notes 108-114 and accompanying text.,footnote,footnote,0.9375,10,54,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"To identify the relevant tort principles, we must first define the basic normative problem any court confronts when developing substantive tort law in a principled manner. By first spelling out the necessary rudiments of the normative calculus for solving these problems, we can then start to figure out how substantive tort law could, in principle, be affected by the availability of compensatory resources.",body_text,text,1.0,18,58,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"The foundational need for all legal rules, according to Karl Llewellyn, plausibly stems from the demand for a neutral third party to mediate the conflicting interests of the parties in a dispute: 'I should indeed be tempted to argue that the differentiation of anything we can perceive as law begins with this.' 15 The conflicting interests at the heart of legal disputes is underscored by Guido Calabresi and Douglas Melamed's influential analysis of legal entitlements:",body_text,text,0.9006750241080038,19,60,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
