text,html_label,docling_label,similarity,html_index,pdf_index,document
"abstract. For generations, scholars have called on Congress to counter the Department of Justice's Office of Legal Counsel, which offers legal advice that bolsters presidential power. They argue that a 'congressional Office of Legislative Counsel (OLC)' could safeguard Congress's prerogatives in the face of executive and judicial aggrandizement. Recently, these calls have prompted Congress to consider creating such a body. But participants in this conversation have assumed that nothing like a congressional OLC has ever existed on Capitol Hill.",body_text,text,0.9471766848816029,0,3,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"This Article corrects the record. It provides the first analysis of five hundred opinions and memoranda showing that Congress had something like a congressional OLC for a half-century. From 1919 to 1969, the two Offices of the Legislative Counsel-one in the Senate and one in the House of Representatives-developed a system for resolving lawmakers' constitutional questions using a hierarchy of precedential opinions, nonprecedential memoranda, and briefs. When these Offices constructed constitutional meaning, they put a thumb on the scale for congressional power with a novel reasonable-doubt standard designed to vindicate Article I power. Lawyers in Congress used these opinions to construct constitutional meaning, establish drafting conventions, flesh out Congress's role in the administrative state, and build up Congress's hard and soft powers.",body_text,text,0.9941383352872216,1,5,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"The Columbia Triumvirate's actions provide an important example of institution building amid today's 'congressional declinism.' Like many Americans now, the Columbia Triumvirate looked at Capitol Hill with anguish. Their agenda depended on the construction of a new and implicit governing paradigm. While the opinions are important historical artifacts, their very existence is the more consequential discovery. Ultimately, this Article provides a thick history of the opinions-drafting practice to help us better understand institutional development within Congress. This Article simultaneously aims to help us rediscover the spirit of institutional innovation that gripped the Columbia Triumvirate. If today we are unsatisfied with Congress, we should imagine and build the institutions that will help our national legislature maintain its place of primacy.",body_text,text,0.9930151338766007,3,6,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"author. Ph.D. Candidate, Yale Law School. I thank Jenné Ayers, Josh Chafetz, Jesse Cross, Blake Emerson, Bill Eskridge, Nick Parrillo, Noah Rosenblum, Stephen Skowronek, Chad Squitieri, Allen Sumrall, and Alex Zhang. Thanks go to the families of Thomas I. Parkinson, Clayton E. Turney, and Thomas R. Mulroney, who provided new documents and fresh insights into the lawyers described in this Article. I am grateful to the Oscar M. Ruebhausen Fund for financially supporting my research. The research behind this Article would have been impossible without the phenomenal assistance of Adam Berenbak of the National Archive's Center for Legislative Archives.",body_text,text,0.9984732824427481,4,11,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"Finally, I appreciate the tireless efforts of the Yale Law Journal editors, who elevated this Article in ways that would have been impossible without them. Thank you all for taking a chance on a young scholar with an admittedly unusual piece of legal scholarship.",body_text,text,1.0,5,12,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"On May 27, 1929, Senator David Reed (R-PA) strode onto the Senate floor near the pinnacle of his institutional prestige. 1 Reed, a decorated veteran of the Meuse-Argonne offensive, personified the postwar period's jingoistic patriotism. 2 Five years earlier, Reed helped codify the national zeitgeist with the 1924 Immigration Act (the Johnson-Reed Act). 3 The Act sharply limited the flow of new immigrants. 4 It fit within Reed's project, which emphasized the reification of Anglo-American political and cultural power.",body_text,text,0.9922928709055877,6,25,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"Reed arrived on the floor to discuss measures that would further limit the role of immigrants in American life. Having restricted immigration to a trickle, nativists looked forward to the 1930 census as an opportunity. 5 The Senate was debating a provision that would exclude noncitizens from the census count and curb their political influence. 6 Because the law implicated the same nativist feelings that were behind the 1924 Immigration Act, all eyes fell on Reed.",body_text,text,0.9978540772532188,7,26,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"1 . 71 Cong. Rec. 1958 (1929). Senator Reed was little more than one year away from gracing the cover of Time . Time , July 21, 1930, https://content.time.com/time/covers/0,16641 ,19300721,00.html [https://perma.cc/6JT6-7A8E]. As Time documented, the period was maybe the height of Reed's prestige after he took the lead in negotiating the London Naval Treaty. The Congress: Treaty Debate: The First Week , Time (July 21, 1930), https://time.com /archive/6745390/the-congress-treaty-debate-first-week [https://perma.cc/Q9K3-ZLEX]; see also Sunday Star (D.C.), Dec. 22, 1929 (carrying a picture of Reed and his colleagues on the American delegation in anticipation of the London conference). But in this period, Reed's political prestige was tied closely to the reigning political establishment. Reed was ultimately swept aside by the New Deal, which precipitated his failed reelection race in 1934 and his growing sympathies with fascism. See Ira Katznelson, Fear Itself: The New Deal and the Origins of Our Time 12 (2013) ('If this country ever needed a Mussolini, it needs one now.' (quoting 75 Cong. Rec. 9644 (1932) (statement of Sen. Reed))).",body_text,list_item,0.9925601750547046,32,28,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"2 . See David A. Reed, Opinion, America of the Melting Pot Comes to an End , N.Y. Times, Apr. 27, 1924, at 3, 3 (comparing the United States to a collapsing Roman Empire and calling for limits in new immigration).",body_text,list_item,0.9881235154394299,33,29,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"3 . See Immigration Act of 1924, ch. 190, 43 Stat. 153.",footnote,list_item,0.9622641509433962,3,30,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"4 . See Jia Lynn Yang, One Mighty and Irresistible Tide: The Epic Struggle over American Immigration , 1924-1965, at 69 (2020) ('Quotas from the 1924 law, true to their design, severely restricted immigration.').",body_text,list_item,0.9785202863961814,35,31,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
