text,html_label,docling_label,similarity,html_index,pdf_index,document
"abstract. Each day, the news brings stories of military attacks on schools, hospitals, apartment buildings, electrical facilities, and other critical civilian infrastructure. The militaries attacking these objects often seek to justify the attacks by claiming that the civilian objects are being used by militants. Objects that are believed to have both military and civilian use are often referred to as 'dual-use' objects. Even though the term has become common, international law does not recognize a 'dual-use' object as a legally meaningful category. Rather, the postwar Geneva Conventions that lie at the core of modern international humanitarian law establish a bright line between 'military objectives' that are considered legitimate targets of military force, and civilians and 'civilian objects, ' which are to be strictly protected.",body_text,text,0.9899109792284867,0,3,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"Weshow in this Article that the targeting of dual-use objects over the last several decades has blurred this line, placing civilians at great risk. The United States has played a critical role in the increasingly expansive targeting of dual-use objects. Indeed, most accounts of the origins of dualuse targeting start with the 1991 Gulf War, in which the U.S.-led coalition responded to Iraq's occupation of Kuwait with airstrikes on Iraq's electrical infrastructure and bridges. The Article reviews the history of dual-use targeting and presents an original dataset and primary-source evidence from the sites of U.S. airstrikes in Iraq and Syria from 2014 to 2018 to illustrate the wide range of dual-use objects that the U.S. military has struck. It draws on ground reporting and research to show the true costs of this dual-use targeting for civilians living in areas of conflict. The United States is far from alone in targeting dual-use objects, but we focus on it because it shapes the law of armed conflict by projecting force around the world, providing legal justifications for its use of force, and setting the standards by which other states are measured. Finally, this Article recommends that states engaging in military operations collect better information about dual-use objects so that they can make better-informed targeting decisions. We also offer several recommendations for clarifying international humanitarian law to prevent further erosion of the protections the law provides to civilians during war.",body_text,text,0.9980327868852459,1,4,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"excellent research assistance, and to Meghna Melkote and Katherine French for editorial assistance. Our thanks to Federica Du Pasquier, Laurence R. Helfer, Zachary Liscow, Samuel Moyn, Nicholas Mull, Ian Park, John Fabian Witt, and participants in the Yale Law School faculty workshop for their very helpful feedback. Our thanks to the team at Feeling Data & Hampshire Analytics for their outstanding data visualizations. This Article is informed by interviews, conducted by Oona A. Hathaway on background, with U.S. military officials. After consultation with Yale University's Institutional Review Board (IRB), these interviews were determined not to be subject to IRB review under IRB Protocol ID 2000035963. This Article is also informed by field research, surveys, and interviews conducted by Mara R. Revkin and approved by Yale University under IRB Protocol IDs 2000022022 and 1506016040 and by Duke University under IDs 2023-0565 and 2023-0560. Revkin's work on this Article was supported by the Economic and Social Research Council UK [Grant Reference: ES/X01097X/1; SBE-UKRI: Cumulative Civilian Harm in War] and National Science Foundation Award No. 2336310. This project was also supported by the Oscar M. Ruebhausen Fund at Yale Law School. A detailed Appendix, together with the data, R code, and instructions needed to replicate results reported in this Article, is available at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CGGQTY. In addition, dynamic versions of the data visualizations are available at https://dualuse.law.yale.edu.",body_text,text,0.8472296933835395,2,10,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"In April 2024, Israeli troops withdrew from al-Shifa Hospital, the largest medical complex in Gaza, leaving it in ruins. 1 The Israel Defense Forces (IDF) claimed that Hamas had established a headquarters inside the hospital and that the operation had killed hundreds of militants, though independent reporting cast doubt on those claims. 2 The raids and bombings around the complex also killed large numbers of civilians, including patients and medical staff. 3 Al-Shifa is far from alone, as the conflict 'has seen hospitals targeted with an intensity and overtness rarely seen in modern warfare.' 4 In December 2024, the Office of the United Nations High Commissioner for Human Rights reported that attacks by the IDF had resulted 'in the killing of medical staff, patients and IDPs' located in and around the facilities, 'pushing the healthcare system to the point of almost complete collapse.' 5 In early May 2025, the World Health Organization assessed that there had been 686 attacks on health facilities, damaging at least",body_text,text,0.8672340425531915,3,22,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"1 . Lorenzo Tondo, Israeli Forces Withdraw from Gaza's al-Shifa Hospital After Two-Week Raid Leaving Facility in Ruins , Guardian (Apr. 1, 2024), https://www.theguardian.com/world/2024 /apr/01/israeli-forces-withdraw-from-gaza-al-shifa-hospital-after-two-week-raid [https:// perma.cc/7XTU-3HN5].",body_text,list_item,0.9845626072041166,17,23,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"2 . Id. ; Matthew Mpoke Bigg & Hiba Yazbek, Israel's Raid on al-Shifa Hospital Grows into One of the Longest of Gaza War , N.Y. Times (Mar. 21, 2024), https://www.nytimes.com/2024 /03/21/world/middleeast/israel-al-shifa-hospital-raid-gaza.html [https://perma.cc/7NEKB8KB]; Louisa Loveluck, Evan Hill, Jonathan Baran, Jarrett Ley & Ellen Nakashima, The Case of al-Shifa: Investigating the Assault on Gaza's Largest Hospital , Wash. Post (Dec. 21, 2023), https://www.washingtonpost.com/world/2023/12/21/al-shifa-hospital-gaza-hamas-israel [https://perma.cc/TWH9-8JXC].",body_text,list_item,0.9884444444444445,18,24,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"4 . Isabel Debre, Julia Frankel & Lee Keath, Still Wrecked from Past Israeli Raids, Hospitals in Northern Gaza Come Under Attack Again , AP News (Nov. 3, 2024, 12:28 AM EDT), https://apnews .com/world-news/still-wrecked-from-past-israeli-raids-hospitals-in-northern-gaza-comeunder-attack-again-00000192eebfd414a79fffbf88cc0000 [https://perma.cc/6TJP-7P7L].",body_text,list_item,0.9900990099009901,20,26,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"5 . Thematic Report: Attacks on Hospitals During the Escalation of Hostilities in Gaza (7 October 2023 30 June 2024) , United Nations Hum. Rts. Off. of the High Comm'r 1 (Dec. 31, 2024), https://www.ohchr.org/sites/default/files/documents/countries/opt/20241231-attacks-hospitals-gaza-en.pdf [https://perma.cc/ZJH9-T2UA]. Israel responded to the report, claiming that it was 'one of the many examples of the inherent obsession of OHCHR with vilifying Israel. ' Israel's Initial Comments to OHCHR 4th Thematic Report , Mission Permanente D'Israël 1 (Dec. 2024), https://www.un.org/unispal/wp-content/uploads/2024/12/israel-comments-gaza-hospitals-report-2024.pdf [https://perma.cc/9Z5P-SRTF]. However, independent reporting has arrived at similar conclusions regarding the scale of destruction of the medical sector in Gaza. See, e.g. , Frances Vinall & Mohamad El Chamaa, Mapping the Damage to Gaza's Hospitals: Battered, Abandoned and Raided , Wash. Post (May 21, 2024, 5:02 AM EDT), https://www.washingtonpost.com/world/2024/05/21/gaza-hospitals-attacksbombed-israel-war [https://perma.cc/P5LE-CJHV].",body_text,list_item,0.9899817850637522,21,27,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"Throughout its war in Ukraine, Russia has attacked electrical facilities in the country. A study of the war identified 223 instances of Russian strikes on Ukraine's power infrastructure over seven months. 8 The impact on Ukraine's civilians has been devastating, leaving millions without electricity, water, or heat in life-threatening winter temperatures. 9 After a strike on a power station in Kyiv in April 2024, Putin explained that 'in this way we will affect Ukraine's military industrial complex and in a very direct way.' 10",body_text,text,0.9877474081055608,4,29,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"6 . oPt Emergency Situation Update: Issue 58, 7 Oct 2023 7 May 2025 , World Health Organization [WHO] 1 , https://www.emro.who.int/images/stories/Sitrep_58s.pdf [https:// perma.cc/54SV-7NE2].",body_text,list_item,0.9761273209549072,22,31,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
