text,html_label,docling_label,similarity,html_index,pdf_index,document
"abstract. For incarcerated people litigating pro se, the civil discovery process is vitally important. When imprisoned litigants lack meaningful access to discovery, their cases become swearing contests they are bound to lose, and wrongdoing in prison goes unaddressed. Yet for these same plaintiffs, civil discovery is defunct. The vast majority of incarcerated plaintiffs, including those with promising or meritorious claims, are unable to navigate either to or through litigation's discovery phase. Part diagnosis and part treatment, this Article is the first to explore in depth how the discovery process fails those pursuing civil-rights claims against their jailers, revealing both a crisis in prison litigation and a failure of our procedural regime.",body_text,text,0.9986807387862797,0,3,yale_law_journal_The_Prison_Discovery_Crisis
"The Article then scrutinizes the dockets and filings of two hundred recent federal cases arising out of two prisons in two quite different districts: Angola in the Middle District of Louisiana and Menard Correctional Center in the Southern District of Illinois. This research reveals differences between the districts' case-management decisions and cultures, resulting in startling disparities in prison litigants' discovery prospects. Incarcerated litigants' current chances of evidencing and vindicating claims may be largely contingent on the district in which their prison sits-what some incarcerated people call 'justice by jurisdiction. ' Arguing that this situation is both untenable and preventable, the Article suggests multiple concrete avenues for reform.",body_text,text,0.991508817766166,2,4,yale_law_journal_The_Prison_Discovery_Crisis
"Relying on both case research and extensive interviews with federal judges, staff attorneys, prison-rights lawyers, formerly incarcerated people, and prison officials, the Article chronicles prison discovery's written and unwritten rules and their failures. It begins with the Federal Rules of Civil Procedure, which map awkwardly or not at all onto prison litigation. It then discusses the much broader amalgam of practical impediments to evidence gathering in prison. These include information asymmetries, resource disparities, and hostility between prison defendants-who create and control most of the evidence relevant to incarcerated people's claims-and plaintiffs.",body_text,text,0.9821162444113264,1,5,yale_law_journal_The_Prison_Discovery_Crisis
"author. Law Clerk, U.S. Court of Appeals for the Eighth Circuit. The views expressed in this piece are my own and do not reflect those of my employer. I am deeply grateful to the formerly incarcerated people, prison officials, judges, and others who agreed to talk with me for this project. For feedback on drafts, I am indebted to Maureen Carroll, Nathan Cummings, Nora Freeman Engstrom, Brianne Holland-Stergar, Amalia Kessler, Margo Schlanger, Joanna Schwartz, David Sklansky, Joshua Stein, and Sergio Valente. For helpful conversations, I want to thank Haller Jackson, Emma Kaufman, Alan Lepp, Martin Martinez, Debbie Mukamal, Norm Spaulding, Robert Weisberg, and Samuel Weiss. Thanks too to the Deborah L. Rhode Center Fellows and those at the Ninth Annual Civil Procedure Workshop at U.C. Law San Francisco for feedback; to Tom",body_text,text,0.8713389121338913,3,6,yale_law_journal_The_Prison_Discovery_Crisis
"'I can't fight what I can't see, and I can't see what you won't show me. '",body_text,text,0.9115646258503401,4,23,yale_law_journal_The_Prison_Discovery_Crisis
"On May 17, 2017, Willie Berry, Jr. sued Nicholas Sanders, a prison guard at Louisiana State Penitentiary (commonly known as Angola). According to Berry's neatly handwritten complaint, Sanders was called to Berry's cell on July 12, 2016, to 'manage a minutes-earlier unruly conflict' between Berry and a nurse named Tequila Parker. 2 Berry had spilled a cup of water on Parker's leg after a pill envelope she tried to hand him slipped to the floor. 3",body_text,text,0.9866071428571429,6,26,yale_law_journal_The_Prison_Discovery_Crisis
"Sanders arrived and demanded that Berry strip. 4 As Berry did so, Sanders sprayed his naked body with 'burning chemicals' for three to four seconds. 5 And while Berry gagged and writhed on the ground, Sanders yelled: 'Bitch, I'm going to make you feel fire, for throwing a cup of water at my baby!' 6 Berry yelled for Sanders to activate his body camera, which Angola required guards to use during 'serious incidents.' 7 Sanders did not.",body_text,text,0.9793103448275862,7,27,yale_law_journal_The_Prison_Discovery_Crisis
"Five hours passed before Berry could wash the chemicals off his body and get into new clothes. 8 Cleaned up, Berry had finally returned to his cell when Sanders came for a second visit. 9 This time, it was 'to confer.' 10",body_text,text,0.9840546697038725,8,28,yale_law_journal_The_Prison_Discovery_Crisis
"'[T]hat was my baby you got into it with, and I had to show out . . . for her,' Sanders said. 11 Then, he made an offer: he would sneak Berry additional food trays and tone down a disciplinary report he was writing about the incident. 12",body_text,text,0.8146853146853147,9,29,yale_law_journal_The_Prison_Discovery_Crisis
"1 . Telephone Interview with Kimberly Haven (July 16, 2024) (on file with author). Kimberly Haven is now a nationally recognized policy strategist and consultant advancing justice and equity reform.",body_text,list_item,0.9897959183673469,38,30,yale_law_journal_The_Prison_Discovery_Crisis
"2 . Complaint at 11, Berry v. Sanders, No. 17-cv-00318 (M.D. La. May 17, 2017), ECF No. 1 [hereinafter Berry Complaint].",body_text,list_item,0.9830508474576272,39,31,yale_law_journal_The_Prison_Discovery_Crisis
"3 . Trial Transcript at 55, Berry , No. 17-cv-00318 (M.D. La. June 2, 2022), ECF No. 145.",footnote,list_item,0.9710982658959537,3,32,yale_law_journal_The_Prison_Discovery_Crisis
"4 . Berry v. Sanders, No. 17-cv-00318, 2019 WL 577434, at *2 (M.D. La. Jan. 16, 2019).",footnote,list_item,0.9761904761904762,4,33,yale_law_journal_The_Prison_Discovery_Crisis
"6 . Berry Complaint, supra note 2, at 12.",footnote,list_item,0.9487179487179487,5,35,yale_law_journal_The_Prison_Discovery_Crisis
"Berry declined. 14 His burns remained painful enough the next day that he returned to the doctor, who prescribed pain medication. 15 And two weeks later, he filed a grievance against Sanders. 16 Months passed without a response. 17",body_text,text,0.9912663755458515,10,43,yale_law_journal_The_Prison_Discovery_Crisis
"Then, around 11:00 AM on October 13, 2016, Sanders returned to Berry's cell, having gotten word of Berry's grievance. 18 Sanders ordered Berry to be 'restrained for a cell inspection, ' and once Berry was handcuffed to his cell's bars, Sanders entered and punched him repeatedly. 19 Sanders made no official record of the incident. 20",body_text,text,0.9789156626506024,11,44,yale_law_journal_The_Prison_Discovery_Crisis
"Two months later, Berry filed his complaint pro se. 21 He alleged excessive force, retaliation, and denial of equal protection in violation of the First, Eighth, and Fourteenth Amendments. 22 He added some state tort claims, and, in addition to damages, he sought an injunction to force the prison to have 'all stationary cameras, that are already fixated on the walls of the Camp J lockdown units, able[] to record, just as other cameras do throughout most of LSP's units.' 23",body_text,text,0.9905362776025236,12,45,yale_law_journal_The_Prison_Discovery_Crisis
"24 . Ruling and Order at 1-2, Berry v. Sanders, No. 17-cv-00318 (M.D. La. Aug. 11, 2017), ECF No. 5.",footnote,list_item,0.9743589743589743,6,58,yale_law_journal_The_Prison_Discovery_Crisis
