pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"in her article, something rots in law enforcement and it's the search warrant: the breonna taylor case , 1 professor blanche bong cook, a legal scholar and former prosecutor, digs deeply into the events leading to breonna taylor's death at the hands of the louisville metro police department ('lmpd'). cook shows that the central factual premise for searching taylor's apartment for her ex-boyfriend's drugs-namely, that the ex-boyfriend received packages there-was almost certainly a lie; 2 that even with that lie, the judge should not have found probable cause to believe that drugs would be found in taylor's apartment; 3 that the judge also had no legitimate grounds to authorize the police to force their way into taylor's residence without first knocking and announcing themselves; 4 and that the subsequent police account of the circumstances of their invasion of taylor's residence was almost certainly another lie, facilitated both by their failure to wear cameras or to turn them on at the time of the search, and by the later opportunity-conventionally afforded the police-to get their lies straight before answering questions. 5","in her article, something rots in law enforcement and it’s the search warrant: the breonna taylor case , [1] professor blanche bong cook, a legal scholar and former prosecutor, digs deeply into the events leading to breonna taylor’s death at the hands of the louisville metro police department (“lmpd”). cook shows that the central factual premise for searching taylor’s apartment for her ex-boyfriend’s drugs-namely, that the ex-boyfriend received packages there-was almost certainly a lie; [2] that even with that lie, the judge should not have found probable cause to believe that drugs would be found in taylor’s apartment; [3] that the judge also had no legitimate grounds to authorize the police to force their way into taylor’s residence without first knocking and announcing themselves; [4] and that the subsequent police account of the circumstances of their invasion of taylor’s residence was almost certainly another lie, facilitated both by their failure to wear cameras or to turn them on at the time of the search, and by the later opportunity-conventionally afforded the police-to get their lies straight before answering questions. [5]",text,unknown,body-text,0.988,✗
"† an invited response to blanche bong cook, something rots in law enforcement and it's the search warrant: the breonna taylor case , 102 b.u. l. r ev . 1 (2022).","an invited response to blanche bong cook, something rots in law enforcement and it’s the search warrant: the breonna taylor case , 102 b.u. l. rev. 1 (2022).",footnote,unknown,body-text,0.981,✗
"1 blanche bong cook, something rots in law enforcement and it's the search warrant: the breonna taylor case , 102 b.u. l. r ev . 1 (2022).","[1] blanche bong cook, something rots in law enforcement and it’s the search warrant: the breonna taylor case , 102 b.u. l. rev. 1 (2022).",footnote,unknown,body-text,0.978,✗
"6 andrew wolfson, darcy costello & tessa duvall, louisville agrees to $12 million settlement, police reforms in breonna taylor lawsuit , c ourier j. (jan. 24, 2021, 4:14 pm), https://www.courier-journal.com/story/news/local/breonna-taylor/2020/09/15/breonnataylor-shooting-city-louisville-settles-family/5792731002/ [https://perma.cc/78u6-2hvg].","[6] andrew wolfson, darcy costello & tessa duvall, louisville agrees to $12 million settlement, police reforms in breonna taylor lawsuit , courier j. (jan. 24, 2021, 4:14 pm), https://www.courier-journal.com/story/news/local/breonna-taylor/2020/09/15/breonna-taylor-shooting-city-louisville-settles-family/5792731002/ [https://perma.cc/78u6-2hvg].",footnote,unknown,body-text,0.994,✗
"7 press release, u.s. dep't of just., current and former louisville, kentucky police officers charged with federal crimes related to death of breonna taylor (aug. 4, 2022) (available at https://www.justice.gov/opa/pr/current-and-former-louisville-kentucky-policeofficers-charged-federal-crimes-related-death [https://perma.cc/j4nm-88gz]). previously, the state charged one of the officers, brett hankinson, with wantonly endangering taylor's neighbors by shooting blindly into the building; he was tried and acquitted in march 2022. steve almasy, aaron cooper & eric levenson, ex-officer brett hankison was found not guilty of endangering breonna taylor's neighbors in a botched raid , cnn (mar. 4, 2022, 8:41 am), https://www.cnn.com/2022/03/03/us/brett-hankison-trial-closing/index.html [https://perma.cc/qge9-mpmf].","[7] press release, u.s. dep’t of just., current and former louisville, kentucky police officers charged with federal crimes related to death of breonna taylor (aug. 4, 2022) (available at https://www.justice.gov/opa/pr/current-and-former-louisville-kentucky-police-officers-charged-federal-crimes-related-death [https://perma.cc/j4nm-88gz]). previously, the state charged one of the officers, brett hankinson, with wantonly endangering taylor’s neighbors by shooting blindly into the building; he was tried and acquitted in march 2022. steve almasy, aaron cooper & eric levenson, ex-officer brett hankison was found not guilty of endangering breonna taylor’s neighbors in a botched raid , cnn (mar. 4, 2022, 8:41 am), https://www.cnn.com/2022/03/03/us/brett-hankison-trial-closing/index.html [https://perma.cc/qge9-mpmf].",footnote,unknown,body-text,0.995,✗
"8 cook, supra note 1, at at 4-5.","[8] cook, supra note 1, at at 4-5.",footnote,unknown,body-text,0.970,✗
"10 as it was, the state brought charges against only one of the police officers; a public protest in louisville followed. rukmini callimachi et al., fired officer is indicted in breonna taylor case; protesters wanted stronger charges , n.y. t imes , sept. 23, 2020.","[10] as it was, the state brought charges against only one of the police officers; a public protest in louisville followed. rukmini callimachi et al., fired officer is indicted in breonna taylor case; protesters wanted stronger charges , n.y. times, sept. 23, 2020.",footnote,unknown,body-text,0.992,✗
"11 cook, supra note 1, at 7 ('a confluence of the war on drugs, the subsequent militarization of policing, and the supreme court's gradual erosion of fourth amendment protections facilitated taylor's death.').","[11] cook, supra note 1, at 7 (“a confluence of the war on drugs, the subsequent militarization of policing, and the supreme court’s gradual erosion of fourth amendment protections facilitated taylor’s death.”).",footnote,unknown,body-text,0.976,✗
"cook is right that the remedies for fourth amendment violations are inadequate, neither deterring wrongful searches and seizures nor compensating for them. but the larger story she tells also illustrates that in the court's hands, the right itself has been interpreted too ungenerously. the problem is not just with the fourth amendment right to be secure in one's home, which cook targets.","cook is right that the remedies for fourth amendment violations are inadequate, neither deterring wrongful searches and seizures nor compensating for them. but the larger story she tells also illustrates that in the court’s hands, the right itself has been interpreted too ungenerously. the problem is not just with the fourth amendment right to be secure in one’s home, which cook targets.",text,unknown,body-text,0.995,✗
"the fourth amendment also promises people '[t]he right . . . to be secure in their persons . . . against unreasonable searches and seizures.' 17 the court's decisions, even if complied with, would not make people of color 'secure in their persons.' noting that '[b]eing killed by police is a leading cause of death among young men of color,' 18 cook recounts a history of police violence that inflicts a cultural trauma on the black community. 19 this history makes it reasonable for people of color to fear any encounter with the police, and certainly one involving a stop, arrest, or search. that is why black children are customarily given 'the talk' about what to do when stopped by the police. 20","the fourth amendment also promises people “[t]he right . . . to be secure in their persons . . . against unreasonable searches and seizures.” [17] the court’s decisions, even if complied with, would not make people of color “secure in their persons.” noting that “[b]eing killed by police is a leading cause of death among young men of color,” [18] cook recounts a history of police violence that inflicts a cultural trauma on the black community. [19] this history makes it reasonable for people of color to fear any encounter with the police, and certainly one involving a stop, arrest, or search. that is why black children are customarily given “the talk” about what to do when stopped by the police. [20]",text,unknown,body-text,0.982,✗
