pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"the transformative name, image, and likeness ( ' nil ' ) era of college athletics is in its infancy yet one cannot overstate its impact on college athletics. while student-athletes have largely benefited from ncaa rules changes permitting their newfound ability to earn remuneration from their nil, uncertainty exists regarding the rules and enforcement of them.","the transformative name, image, and likeness (“nil”) era of college athletics is in its infancy yet one cannot overstate its impact on college athletics. while student-athletes have largely benefited from ncaa rules changes permitting their newfound ability to earn remuneration from their nil, uncertainty exists regarding the rules and enforcement of them.",text,unknown,body-text,0.989,✗
"while the ncaa ' s guidelines regulating student-athletes ' use of their nil are minimalist, they contain some restrictions applicable to student-athletes, university staff members, universities, and universities ' athletics supporters. despite repeated threats, the ncaa has yet to enforce its nil restrictions, resulting in confusion and upheaval. ncaa legislation requires universities to monitor their compliance with all ncaa rules, however, and the ncaa will, at some point, enforce its nil restrictions and penalize those who violate them. thus, universities must monitor their compliance with ncaa nil restrictions.","while the ncaa’s guidelines regulating student-athletes’ use of their nil are minimalist, they contain some restrictions applicable to student-athletes, university staff members, universities, and universities’ athletics supporters. despite repeated threats, the ncaa has yet to enforce its nil restrictions, resulting in confusion and upheaval. ncaa legislation requires universities to monitor their compliance with all ncaa rules, however, and the ncaa will, at some point, enforce its nil restrictions and penalize those who violate them. thus, universities must monitor their compliance with ncaa nil restrictions.",text,unknown,body-text,0.992,✗
"scholars and the national media have written extensively about the ncaa ' s nil restrictions and their effects. lacking from this discourse, however, is recognition and examination of universities ' responsibility to monitor compliance with the restrictions. this article fills that void. to do so, part i details the ncaa ' s enforcement and infractions processes through which it enforces its myriad rules and explains universities ' efforts, including monitoring, to comply with ncaa rules on their campuses. part ii describes the ncaa ' s nil restrictions and suggests reasonable activities that universities should undertake to monitor compliance with them. doing so would not only fulfill universities ' monitoring responsibilities but help foster compliance with nil regulations on campuses.","scholars and the national media have written extensively about the ncaa’s nil restrictions and their effects. lacking from this discourse, however, is recognition and examination of universities’ responsibility to monitor compliance with the restrictions. this article fills that void. to do so, part i details the ncaa’s enforcement and infractions processes through which it enforces its myriad rules and explains universities’ efforts, including monitoring, to comply with ncaa rules on their campuses. part ii describes the ncaa’s nil restrictions and suggests reasonable activities that universities should undertake to monitor compliance with them. doing so would not only fulfill universities’ monitoring responsibilities but help foster compliance with nil regulations on campuses.",text,unknown,body-text,0.987,✗
" assistant professor of recreation and sport management at the university of arkansas, fayetteville (j.d., university of iowa college of law). prior to entering academia, lens worked on baylor university ' s athletics compliance staff for eight years. in addition to his academic duties, lens consults for college athletics conferences and university athletics departments regarding legal and ncaa matters. the views this article expresses are the author ' s and not necessarily representative of the university of arkansas or baylor university.","* assistant professor of recreation and sport management at the university of arkansas, fayetteville (j.d., university of iowa college of law). prior to entering academia, lens worked on baylor university’s athletics compliance staff for eight years. in addition to his academic duties, lens consults for college athletics conferences and university athletics departments regarding legal and ncaa matters. the views this article expresses are the author’s and not necessarily representative of the university of arkansas or baylor university.",footnote,unknown,body-text,0.991,✗
"for decades, the national collegiate athletic association ( ' ncaa ' ) 1 strictly enforced its numerous constraints on collegiate student-athletes ' ability to earn remuneration from their names, images, and likenesses. 2 when it eliminated many of these restrictions on july 1, 2021, the ncaa ushered in a new era for college athletics. 3 this transcendent, seismic pivot 4 permitted student-athletes to accept remuneration for endorsements and autographs, for example. 5","for decades, the national collegiate athletic association (“ncaa”) [1] strictly enforced its numerous constraints on collegiate student-athletes’ ability to earn remuneration from their names, images, and likenesses. [2] when it eliminated many of these restrictions on july 1, 2021, the ncaa ushered in a new era for college athletics. [3] this transcendent, seismic pivot [4] permitted student-athletes to accept remuneration for endorsements and autographs, for example. [5]",text,unknown,body-text,0.978,✗
"student-athletes ' newfound freedoms paid off -literally -in the first year of the name, image, and likeness ( ' nil ' ) era. 6 student-athletes received just under a billion dollars for nil activities in that time frame, an amount which some expect to increase in the future. 7 on the individual level, nineteen-year old university of texas football student-athlete quinn ewers ' nil earnings total nearly $4 million, for example. 8 women student-athletes have also benefited, as evidenced by university of connecticut ( ' uconn ' ) women ' s basketball student-athlete paige bueckers. bueckers will miss the 2022-23 women ' s basketball season due to a knee injury but will return to play for uconn in 202324 in lieu of beginning her professional basketball career, as remaining a uconn student-athlete will provide more lucrative nil opportunities than available in the women ' s national basketball association ( ' wnba ' ). 9 in fact, bueckers '","student-athletes’ newfound freedoms paid off-literally-in the first year of the name, image, and likeness (“nil”) era. [6] student-athletes received just under a billion dollars for nil activities in that time frame, an amount which some expect to increase in the future. [7] on the individual level, nineteen-year old university of texas football student-athlete quinn ewers’ nil earnings total nearly $4 million, for example. [8] women student-athletes have also benefited, as evidenced by university of connecticut (“uconn”) women’s basketball student-athlete paige bueckers. bueckers will miss the 2022-23 women’s basketball season due to a knee injury but will return to play for uconn in 2023-24 in lieu of beginning her professional basketball career, as remaining a uconn student-athlete will provide more lucrative nil opportunities than available in the women’s national basketball association (“wnba”). [9] in fact, bueckers’ array of nil arrangements will generate more compensation for her than the base salary she would earn as the number one overall wnba draft selection. [10]",text,unknown,body-text,0.898,✗
"1 the ncaa is the most powerful regulatory body in college athletics. w. burlette carter, student-athlete welfare in a restructured ncaa , 2 va. j. sports & l. 1, 3 (2000).","[1] the ncaa is the most powerful regulatory body in college athletics. w. burlette carter, student-athlete welfare in a restructured ncaa , 2 va. j. sports & l. 1, 3 (2000).",footnote,unknown,body-text,0.994,✗
"2 tim tucker, nil timeline: how we got here and what ' s next, atlanta j.-const. (mar. 18, 2022), http://ajc.com/sports/georgia-bulldogs/nil-timeline-how-we-got-here-andwhats-next/eol7r3cssnhk5dkmaf6stq6kz4/ [https://perma.cc/hxg2-muyl].","[2] tim tucker, nil timeline: how we got here and what’s next, atlanta j.-const. (mar. 18, 2022), http://ajc.com/sports/georgia-bulldogs/nil-timeline-how-we-got-here-and-whats-next/eol7r3cssnhk5dkmaf6stq6kz4/ [https://perma.cc/hxg2-muyl].",footnote,unknown,body-text,0.985,✗
"4 ross dellenger, ' it ' s going to be a clusterf --: ' the new era of college sports is here. is anyone ready? sports illustrated (july 1, 2021), http://si.com/college/2021/07/01/ncaa-athletes-profit-nil-daily-cover (quoting university of miami football student-athlete d ' eriq king as describing the ncaa ' s elimination of the restrictions as ' long overdue ' ); see also dennis dodd, ncaa unlikely to meet constitution deadline as hot-button nil issue disrupts college athletics, cbs sports (may 5, 2022), http://cbssports.com/college-football/news/ncaa-unlikely-to-meet-constitution-deadline-ashot-button-nil-issue-disrupts-college-athletics/ [https://perma.cc/22xw-t3e2] (identifying nil as ' maybe the single biggest factor that will shape college athletics going forward ' ).","[4] ross dellenger, ‘it’s going to be a clusterf--:’ the new era of college sports is here. is anyone ready? sports illustrated (july 1, 2021), http://si.com/college/2021/07/01/ncaa-athletes-profit-nil-daily-cover (quoting university of miami football student-athlete d’eriq king as describing the ncaa’s elimination of the restrictions as “long overdue”); see also dennis dodd, ncaa unlikely to meet constitution deadline as hot-button nil issue disrupts college athletics, cbs sports (may 5, 2022), http://cbssports.com/college-football/news/ncaa-unlikely-to-meet-constitution-deadline-as-hot-button-nil-issue-disrupts-college-athletics/ [https://perma.cc/22xw-t3e2] (identifying nil as “maybe the single biggest factor that will shape college athletics going forward”).",footnote,unknown,body-text,0.977,✗
"5 tucker, supra note 2.","[5] tucker, supra note 2.",footnote,unknown,body-text,0.958,✗
