pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
" assistant professor of law, northeastern university school of law; j.d., columbia law school; b.a., yale university. many thanks to student editors julie antonellis and prasanna rajasekaran for their outstanding editorial support.","* assistant professor of law, northeastern university school of law; j.d., columbia law school; b.a., yale university. many thanks to student editors julie antonellis and prasanna rajasekaran for their outstanding editorial support.",footnote,unknown,body-text,0.996,✗
"1 washington v. maryland, 287 a.3d 301, 308 (md. 2022). detective noesi ' testified that he was assigned to the northwest district action team, ' a narcotics team ' whose ' main focus is pretty much driving around hot areas . . . , high-crime areas and enforc[ing] drug distribution and handgun violations. '' id. at 310.","[1] washington v. maryland, 287 a.3d 301, 308 (md. 2022). detective noesi “testified that he was assigned to the northwest district action team, ‘a narcotics team’ whose ‘main focus is pretty much driving around hot areas . . . , high-crime areas and enforc[ing] drug distribution and handgun violations.’” id. at 310.",footnote,unknown,body-text,0.970,✗
"2 this incident notably occurred less than two months after the widely publicized police killing of george floyd in minneapolis, minnesota. see evan hill et al., how george floyd was killed in police custody , n.y. times (may 31, 2020), https://www.nytimes.com/2020 /05/31/us/george-floyd-investigation.html.","[2] this incident notably occurred less than two months after the widely publicized police killing of george floyd in minneapolis, minnesota. see evan hill et al., how george floyd was killed in police custody , n.y. times (may 31, 2020), https://www.nytimes.com/2020 /05/31/us/george-floyd-investigation.html.",footnote,unknown,body-text,0.997,✗
"4 on december 14, 2022, a state constitutional amendment took effect, renaming the ' court of appeals of maryland ' as the ' supreme court of maryland. ' maryland judiciary, press release, voter-approved constitutional change renames high courts to supreme and appellate court of maryland (dec. 14, 2022), https://www.courts.state.md.us/media/news /2022/pr20221214 [https://perma.cc/q96y-a6yz].","[4] on december 14, 2022, a state constitutional amendment took effect, renaming the “court of appeals of maryland” as the “supreme court of maryland.” maryland judiciary, press release, voter-approved constitutional change renames high courts to supreme and appellate court of maryland (dec. 14, 2022), https://www.courts.state.md.us/media/news /2022/pr20221214 [https://perma.cc/q96y-a6yz].",footnote,unknown,body-text,0.982,✗
"the conclusion that, despite detectives' failure to articulate facts that initiated their pursuit, mr. washington's flight in a high -crime area supplied them with reasonable suspicion for a search, highlights a criminal procedure paradox. how can flight from police be three things simultaneously: (1) constitutionally protected; (2) a reasonable, fear-based reaction of young black men in baltimore; and yet (3) a factor generating criminal suspicion for a stop or frisk?","the conclusion that, despite detectives’ failure to articulate facts that initiated their pursuit, mr. washington’s flight in a high-crime area supplied them with reasonable suspicion for a search, highlights a criminal procedure paradox. how can flight from police be three things simultaneously: (1) constitutionally protected; (2) a reasonable, fear-based reaction of young black men in baltimore; and yet (3) a factor generating criminal suspicion for a stop or frisk?",text,unknown,body-text,0.995,✗
"substantial empirical data confirms that black americans are disproportionately stopped, searched, arrested, and likely to be subject to the use of force by police. 7 courts must critically evaluate police assertions of suspicious behaviors and question facially race-neutral reasoning because this reasoning has consistently led to unjust results.","substantial empirical data confirms that black americans are disproportionately stopped, searched, arrested, and likely to be subject to the use of force by police. [7] courts must critically evaluate police assertions of suspicious behaviors and question facially race-neutral reasoning because this reasoning has consistently led to unjust results.",text,unknown,body-text,0.997,✗
i. wardlow ' s open question,i. wardlow ’s open question,section_header,unknown,body-text,0.945,✗
"the framework surrounding the legal issue in washington -whether a young black man's unprovoked flight from police constitutes reasonable suspicion under the fourth amendment -is widely known. before conducting an investigative stop, police must have 'reasonable suspicion' that an individual is committing or about to commit a crime. 8 this suspicion must be more than a 'mere hunch,' and based on specific and articulable facts. 9","the framework surrounding the legal issue in washington -whether a young black man’s unprovoked flight from police constitutes reasonable suspicion under the fourth amendment-is widely known. before conducting an investigative stop, police must have “reasonable suspicion” that an individual is committing or about to commit a crime. [8] this suspicion must be more than a “mere hunch,” and based on specific and articulable facts. [9]",text,unknown,body-text,0.983,✗
"6 the court contrasted mr. washington ' s ' headlong flight from police, ' which contributed to suspicion, with ' leaving the area in a reasonable manner to passively avoid police. ' washington , 287 a.3d at 316. the court found that detective rodriguez had reasonable suspicion pursuant to both the fourth amendment, and article 26 of the maryland declaration of rights. id. at 309.","[6] the court contrasted mr. washington’s “headlong flight from police,” which contributed to suspicion, with “leaving the area in a reasonable manner to passively avoid police.” washington , 287 a.3d at 316. the court found that detective rodriguez had reasonable suspicion pursuant to both the fourth amendment, and article 26 of the maryland declaration of rights. id. at 309.",footnote,unknown,body-text,0.976,✗
"7 see justin nix, bradley a. campbell, edward h. byers, & geoffrey p. alpert, a bird ' s eye view of civilians killed by police in 2015 , 16 criminology & pub. pol ' y 309, 325-26, 328-29 (2017); radley balko, there ' s overwhelming evidence that the criminal justice system is racist. here ' s the proof. , wash. post (june 10, 2020), https://www.washingtonpost.com/graphics/2020/opinions/systemic-racism-police-evidencecriminal-justice-system/.","[7] see justin nix, bradley a. campbell, edward h. byers, & geoffrey p. alpert, a bird’s eye view of civilians killed by police in 2015 , 16 criminology & pub. pol’y 309, 325-26, 328-29 (2017); radley balko, there’s overwhelming evidence that the criminal justice system is racist. here’s the proof. , wash. post (june 10, 2020), https://www.washingtonpost.com/graphics/2020/opinions/systemic-racism-police-evidence-criminal-justice-system/.",footnote,unknown,body-text,0.979,✗
"sufficient to support a terry stop. 10 there, mr. wardlow looked at the uniformed police officers as they drove by him and fled. he was ultimately followed, cornered, stopped, and searched. the court concluded that '[h]eadlong flightwherever it occurs -is the consummate act of evasion: it is not necessarily indicati ve of wrongdoing, but it is certainly suggestive of such.' 11 justice stevens clarified that any per se rule about flight from police in a high-crime area was unwarranted. he cautioned that flight from police may not reflect criminality '[a]mong some citize ns, particularly minorities and those residing in high crime areas, there is . . . the possibility that the fleeing person is entirely innocent, but, with or without justification, believes that contact with police can itself be dangerous, apart from any c riminal activity associated with the officer's sudden presence.' 12","in illinois v. wardlow , the supreme court concluded that flight from police in a high-crime neighborhood was suggestive of wrongdoing and could be sufficient to support a terry stop. [10] there, mr. wardlow looked at the uniformed police officers as they drove by him and fled. he was ultimately followed, cornered, stopped, and searched. the court concluded that “[h]eadlong flight-wherever it occurs-is the consummate act of evasion: it is not necessarily indicative of wrongdoing, but it is certainly suggestive of such.” [11] justice stevens clarified that any per se rule about flight from police in a high-crime area was unwarranted. he cautioned that flight from police may not reflect criminality “[a]mong some citizens, particularly minorities and those residing in high crime areas, there is . . . the possibility that the fleeing person is entirely innocent, but, with or without justification, believes that contact with police can itself be dangerous, apart from any criminal activity associated with the officer’s sudden presence.” [12]",text,unknown,body-text,0.913,✗
"fast forward twenty-two years. the parties in washington sharply disagreed on wardlow 's application. the state argued that wardlow indicated that washington's flight from police in a high -crime area provided the detective with reasonable suspicion, 13 while mr. washington insisted that wardlow concluded that unprovoked flight from police was merely one factor to consider in the reasonable suspicion calculus. moreover, in the decades since wardlow , mr. washington explained that it was reasonable for a young black man 'to distrust the police in baltimore,' and that his flight from officers should not be considered as support for reasonable suspicion. 14 ultimately, the court explained that it was applying wardlow as it always had, in holding that flight from police in a high-crime area is relevant to the totality of circumstances but does not per se establish reasonable suspicion. 15","fast forward twenty-two years. the parties in washington sharply disagreed on wardlow ’s application. the state argued that wardlow indicated that washington’s flight from police in a high-crime area provided the detective with reasonable suspicion, [13] while mr. washington insisted that wardlow concluded that unprovoked flight from police was merely one factor to consider in the reasonable suspicion calculus. moreover, in the decades since wardlow , mr. washington explained that it was reasonable for a young black man “to distrust the police in baltimore,” and that his flight from officers should not be considered as support for reasonable suspicion. [14] ultimately, the court explained that it was applying wardlow as it always had, in holding that flight from police in a high-crime area is relevant to the totality of circumstances but does not per se establish reasonable suspicion. [15]",text,unknown,body-text,0.992,✗
"12 id. at 132 (stevens, j., concurring in part and dissenting in part).","[12] id. at 132 (stevens, j., concurring in part and dissenting in part).",footnote,unknown,body-text,0.986,✗
"13 washington v. maryland, 287 a.3d 301, 312 (md. 2022) (citing wardlow , 528 u.s. at 125) ( ' [t]he defendant ' s presence in an area of heavy narcotics trafficking and his unprovoked flight upon noticing police created reasonable suspicion justifying a terry stop. ' ).","[13] washington v. maryland, 287 a.3d 301, 312 (md. 2022) (citing wardlow , 528 u.s. at 125) (“[t]he defendant’s presence in an area of heavy narcotics trafficking and his unprovoked flight upon noticing police created reasonable suspicion justifying a terry stop.”).",footnote,unknown,body-text,0.974,✗
"16 see seth w. stoughton, kyle mclean, justin nix, & geoffrey alpert, policing suspicion: qualified immunity and ' clearly established ' standards of proof , 112 j. crim. l. & criminology 37, 47-48 (2022).","[16] see seth w. stoughton, kyle mclean, justin nix, & geoffrey alpert, policing suspicion: qualified immunity and “clearly established” standards of proof , 112 j. crim. l. & criminology 37, 47-48 (2022).",footnote,unknown,body-text,0.980,✗
