pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"international investment law provides stability for investors, helps capital flow across the globe, and can be a critical tool for sustainable development. this regime, however, has become increasingly controversial, in part due to its inability to reconcile investor obligations with competing human rights obligations. international investment treaties provide substantive guarantees to investors, including submission to binding arbitration in the event of breach. when found in breach of one of these guarantees, international investment arbitral tribunal awards are often in the hundreds of millions of dollars, potentially creating 'regulatory chill' for states that may otherwise take affirmative action to protect human rights out of concern that regulation may run afoul of their treaties' international investment provisions.","international investment law provides stability for investors, helps capital flow across the globe, and can be a critical tool for sustainable development. this regime, however, has become increasingly controversial, in part due to its inability to reconcile investor obligations with competing human rights obligations. international investment treaties provide substantive guarantees to investors, including submission to binding arbitration in the event of breach. when found in breach of one of these guarantees, international investment arbitral tribunal awards are often in the hundreds of millions of dollars, potentially creating “regulatory chill” for states that may otherwise take affirmative action to protect human rights out of concern that regulation may run afoul of their treaties’ international investment provisions.",text,unknown,body-text,0.996,✗
"some legal scholars have posited a fiduciary theory of statehood, whereby a state owes a fiduciary duty to its people, much like that in domestic corporate law. this note proposes looking to the fiduciary theory of statehood for a path forward. it then advocates for its implementation through three approaches: (1) the contractual approach (treaty drafting), (2) the judicial approach (interpretative methods for existing treaties), and (3) the atmospheric approach (norm diffusion among stakeholders). the fiduciary theory not only provides a principled method to prioritize human rights but also enhances the legitimacy of the international investment legal regime. this framework offers a timely, pragmatic solution as the international community actively reconsiders the balance between investor protection and state sovereignty.","some legal scholars have posited a fiduciary theory of statehood, whereby a state owes a fiduciary duty to its people, much like that in domestic corporate law. this note proposes looking to the fiduciary theory of statehood for a path forward. it then advocates for its implementation through three approaches: (1) the contractual approach (treaty drafting), (2) the judicial approach (interpretative methods for existing treaties), and (3) the atmospheric approach (norm diffusion among stakeholders). the fiduciary theory not only provides a principled method to prioritize human rights but also enhances the legitimacy of the international investment legal regime. this framework offers a timely, pragmatic solution as the international community actively reconsiders the balance between investor protection and state sovereignty.",text,unknown,body-text,1.000,✗
"* j.d. candidate, may 2026, university of michigan law school. thank you to professor steven ratner for invaluable feedback on numerous drafts of this piece and to professor julian arato for first introducing me to international investment law. i am grateful to the vol. 124 notes team-luke pomrenke, suji kim, jacob c. león, ruben m. piñuelas, haley m. rogers, and dustin r. smith-for their excellent edits and improvements. to my family (mom, dad, clay, and uncle si) and friends, thank you for all your love and support. finally, to my grandfather, dennis britt, thank you for inspiring my love for the law. all errors are my own.","* j.d. candidate, may 2026, university of michigan law school. thank you to profes sor steven ratner for invaluable feedback on numerous drafts of this piece and to professor julian arato for first introducing me to international investment law. i am grateful to the vol. 124 notes team-luke pomrenke, suji kim, jacob c. león, ruben m. piñuelas, haley m. rogers, and dustin r. smith-for their excellent edits and improvements. to my family (mom, dad, clay, and uncle si) and friends, thank you for all your love and support. finally, to my grandfather, dennis britt, thank you for inspiring my love for the law. all errors are my own.",footnote,unknown,body-text,0.999,✗
"part i of this note evaluates the current international investment law landscape, its advantages, and its relationship with human rights. part ii introduces the fiduciary theory and explores its moral, philosophical, and legal justifications. it then demonstrates how this theory is applied to international investment law. finally, part iii presents three different contexts for implementing the theory in practice, emphasizing why this is a critical moment for reform.","part i of this note evaluates the current international investment law landscape, its advantages, and its relationship with human rights. part ii introduces the fiduciary theory and explores its moral, philosophical, and legal justifications. it then demonstrates how this theory is applied to international investment law. finally, part iii presents three different contexts for implementing the theory in practice, emphasizing why this is a critical moment for reform.",text,unknown,body-text,1.000,✗
"argentina is subject to both international obligations, i.e. human rights and treaty obligation, and must respect both of them equally. under the circumstances of these cases, argentina's human rights obligations and its investment treaty obligations are not inconsistent, contradictory, or mutually exclusive. thus, as discussed above, argentina could have respected both types of obligations. viewing each treaty as a whole, the tribunal does not find that any of them excluded the defense of necessity. 42","argentina is subject to both international obligations, i.e. human rights and treaty obligation, and must respect both of them equally. under the circumstances of these cases, argentina’s human rights obligations and its investment treaty obligations are not inconsistent, contradictory, or mutually exclusive. thus, as discussed above, argentina could have respected both types of obligations. viewing each treaty as a whole, the tribunal does not find that any of them excluded the defense of necessity. 42 id. ¶ 262.",text,unknown,body-text,0.987,✗
"suez and interagua v. argentina , investment dispute settlement navigator , unctad, https://investmentpolicy.unctad.org/investment-dispute-settlement/cases/120/suez-and-interagua-v-argentina [perma.cc/fc7v-8hge]. indeed, there are numerous cases with similar necessity defenses and competing obligations in argentina alone. for additional examples, please see cms gas transmission co. v. argentine republic, icsid case no arb/01/8, award (may 12, 2005), https://icsidfiles.worldbank.org/icsid/icsidblobs/onlineawards/c4/dc50 4_en.pdf [perma.cc/5sfj-a4qg]; azurix corp v. argentine republic, icsid case no arb/01/12, award (july 14, 2006), https://icsidfiles.worldbank.org/icsid/icsidblobs/onlineawards/c5/dc507_en.pdf [perma.cc/tee4-aywr]; siemens a.g. v. argentine republic, icsid case no arb/02/8, award (feb. 6, 2007), https://www.italaw.com/sites/default/files/case-documents/ita0790.pdf [perma.cc/k358-gpyv]; sempra energy international v. argentine republic, icsid case no arb/02/16, award (sep. 28, 2007), https://icsidfiles.worldbank.org/icsid/icsidblobs/onlineawards/c8/dc694_en.pdf [perma.cc/734a-wmx4].","the tribunal proceeded to award the investors over $225 million. 43 suez and interagua v. argentina , investment dispute settlement navigator , unctad , https://investmentpolicy.unctad.org/investment-dispute-settlement/cases/120/suez-and-inter-agua-v-argentina [ perma.cc/fc7v-8hge ]. indeed, there are numerous cases with similar necessity defenses and competing obligations in argentina alone. for additional examples, please see cms gas transmission co. v. argentine republic, icsid case no arb/01/8, award (may 12, 2005), https://icsidfiles.worldbank.org/icsid/icsidblobs/onlineawards/c4/dc504_en.pdf [ perma.cc/5sfj-a4qg ]; azurix corp v. argentine republic, icsid case no arb/01/12, award (july 14, 2006), https://icsidfiles.worldbank.org/icsid/icsidblobs/on-lineawards/c5/dc507_en.pdf [ perma.cc/tee4-aywr ]; siemens a.g. v. argentine republic, icsid case no arb/02/8, award (feb. 6, 2007), https://www.italaw.com/sites/default/files/case-documents/ita0790.pdf [ perma.cc/k358-gpyv ]; sempra energy international v. argentine republic, icsid case no arb/02/16, award (sep. 28, 2007), https://icsidfiles.world-bank.org/icsid/icsidblobs/onlineawards/c8/dc694_en.pdf [ perma.cc/734a-wmx4 ].",list_item,unknown,body-text,0.964,✗
"these numbers are especially alarming considering that developing countries serve as respondents in almost 80% of investor-state arbitrations. 47 at first, this seems logical. after all, are these not the countries predominantly seeking foreign investment? but the data shows that investors disproportionately levy claims against these countries relative to the foreign investment the countries attract. latin american countries received 9.3% of global fdi in 2022, yet they were subject to 27.5% of all investor claims. 48 in the same year, african countries received 5.4% of fdi but were respondents in 16.2% of all claims. 49 not only are these countries disproportionately sued, but they also have lower rates of success in proceedings: developed countries won 53.6% of all cases lodged against them, while developing countries won a mere 33.3% of claims. 50","these numbers are especially alarming considering that developing countries serve as respondents in almost 80% of investor-state arbitrations. 47 ryan stephan, is investment arbitration beneficial for developing countries? an empirical analysis , daily jus (june 27, 2024), https://dailyjus.com/world/2024/06/is-investment-arbitration-beneficial-for-developing-countries-an-empirical-analysis [ perma.cc/fr7z-rg7s ]. at first, this seems logical. after all, are these not the countries predominantly seeking foreign investment? but the data shows that investors disproportionately levy claims against these countries relative to the foreign investment the countries attract. latin american countries received 9.3% of global fdi in 2022, yet they were subject to 27.5% of all investor claims. 48 id. in the same year, african countries received 5.4% of fdi but were respondents in 16.2% of all claims. 49 id. not only are these countries disproportionately sued, but they also have lower rates of success in proceedings: developed countries won 53.6% of all cases lodged against them, while developing countries won a mere 33.3% of claims. 50 id.",text,unknown,body-text,0.859,✗
"the fiduciary theory of sovereignty contends that the state's power is derived from the collective interests of its population. 74 in a fiduciary relationship, one party (the trustee) is given management power over another party (the beneficiary), allowing the trustee party to make choices on behalf of the beneficiary party. 75 to constrain this relationship, certain duties are placed on the trustee to ensure that they act to further the beneficiary's best interests. 76 this relationship exists in many contexts, but is perhaps most recognizable in corporate governance, discussed in greater detail later in this section.","the fiduciary theory of sovereignty contends that the state’s power is derived from the collective interests of its population. 74 for a more in-depth articulation of this theory, including its implications outside of international investment law, see generally fiduciaries of humanity , supra note 26. in a fiduciary relationship, one party (the trustee) is given management power over another party (the beneficiary), allowing the trustee party to make choices on behalf of the beneficiary party. 75 id. at 18. to constrain this relationship, certain duties are placed on the trustee to ensure that they act to further the beneficiary’s best interests. 76 id. at 19-22. this relationship exists in many contexts, but is perhaps most recognizable in corporate governance, discussed in greater detail later in this section.",text,unknown,body-text,0.861,✗
"applying this fiduciary relationship to the state, all actions that a state takes must be in furtherance of its population's best interests and well-being. the state's consideration of obligations toward its people and their human rights is not a derogation of sovereignty. under a fiduciary theory, strengthening human rights protections reinforces sovereignty by giving the state a more effective 'shield' with which to undertake its fiduciary obligations. 77","applying this fiduciary relationship to the state, all actions that a state takes must be in furtherance of its population’s best interests and well-being. the state’s consideration of obligations toward its people and their human rights is not a derogation of sovereignty. under a fiduciary theory, strengthening human rights protections reinforces sovereignty by giving the state a more effective “shield” with which to undertake its fiduciary obligations. 77 see lafont, sovereignty , supra note 25, at 436-42.",text,unknown,body-text,0.938,✗
"immanuel kant's political philosophy, familiar in other legal contexts and exemplified by the parent-child relationship, illustrates the normative underpinnings of the fiduciary relationship. kant's standard makes evident the types of relationships where fiduciary duties emerge. thus, equipped with a standard for identifying these obligations, the relationship between directors and shareholders in domestic corporate law-the paradigmatic examplecan be clearly analogized to the state and its citizenry. the philosophical explanation and the analogy to corporate law clarify how the fiduciary relationship works and why it should be applied to sovereign states.","immanuel kant’s political philosophy, familiar in other legal contexts and exemplified by the parent-child relationship, illustrates the normative underpinnings of the fiduciary relationship. kant’s standard makes evident the types of relationships where fiduciary duties emerge. thus, equipped with a standard for identifying these obligations, the relationship between directors and shareholders in domestic corporate law-the paradigmatic examplecan be clearly analogized to the state and its citizenry. the philosophical explanation and the analogy to corporate law clarify how the fiduciary relationship works and why it should be applied to sovereign states.",text,unknown,body-text,0.997,✗
