pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"you can't question a secret you haven't been told. the criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. if police can use claims of secrecy to systematically thwart criminal defendants' access to evidence, judicial review will fail. and yet that is exactly what is happening under a common-law doctrine called the 'law enforcement privilege.' the privilege empowers police and prosecutors to rely on the results of secret investigative methods while withholding information from the defense about how those methods work. it risks perpetuating unconstitutional conduct, enabling wrongful convictions, and rendering fourth amendment, sixth amendment, brady , and statutory discovery laws moot. at the same time, it has a non-frivolous policy rationale. if all police investigative methods were public information, then more people committing crimes could evade detection.","you can’t question a secret you haven’t been told. the criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. if police can use claims of secrecy to systematically thwart criminal defendants’ access to evidence, judicial review will fail. and yet that is exactly what is happening under a common-law doctrine called the “law enforcement privilege.” the privilege empowers police and prosecutors to rely on the results of secret investigative methods while withholding information from the defense about how those methods work. it risks perpetuating unconstitutional conduct, enabling wrongful convictions, and rendering fourth amendment, sixth amendment, brady, and statutory discovery laws moot. at the same time, it has a non-frivolous policy rationale. if all police investigative methods were public information, then more people committing crimes could evade detection.",text,unknown,body-text,0.994,✗
"how can a better balance be struck? this article argues that current law enforcement privilege doctrine creates a dangerously boundless police secrecy power because of a subtle conceptual collapse: the policy rationale itself is mistakenly used as the test for assessing claims of privilege. the article recommends that courts instead evaluate privilege claims by reference to the marginal risk of leaking posed by in-court disclosure. specifically, judges should demand to know what conditions law enforcement previously imposed on access to the information. the answer to that question can be adjudicated publicly without jeopardizing a legitimate privilege claim and will help judges detect mistaken, exaggerated, pretextual, or fraudulent claims to the privilege. further, even when law enforcement has taken care with the information, if a court-ordered protective order can match or exceed the safeguards that law enforcement itself previously maintained, then judges should default to ordering disclosure. the article concludes by suggesting a theory of the role of confidentiality in privilege law.","how can a better balance be struck? this article argues that current law enforcement privilege doctrine creates a dangerously boundless police secrecy power because of a subtle conceptual collapse: the policy rationale itself is mistakenly used as the test for assessing claims of privilege. the article recommends that courts instead evaluate privilege claims by reference to the marginal risk of leaking posed by in-court disclosure. specifically, judges should demand to know what conditions law enforcement previously imposed on access to the information. the answer to that question can be adjudicated publicly without jeopardizing a legitimate privilege claim and will help judges detect mistaken, exaggerated, pretextual, or fraudulent claims to the privilege. further, even when law enforcement has taken care with the information, if a court-ordered protective order can match or exceed the safeguards that law enforcement itself previously maintained, then judges should default to ordering disclosure. the article concludes by suggesting a theory of the role of confidentiality in privilege law.",text,unknown,body-text,1.000,✗
"* professor of law, columbia law school. thank you to elena chachko, edward cheng, colleen chien, bryan choi, catherine crump, judge jeremy fogel, mark gergen, aziz huq, edward imwinkelried, orin kerr, christina koningisor, ronald lee, anna lvovsky, erin murphy, ngozi okidegbe, neil richards, daniel richman, andrea roth, pam samuelson, paul schwartz, elisabeth semel, jonathan shaub, jonathan simon, maneka sinha, judge stephen smith, molly van houweling, rory van loo, charles weisselberg, and ben wizner for helpful comments on prior drafts. this article benefited greatly from presentations at berkeley, columbia, denver, fordham, irvine, pennsylvania, vanderbilt, and yale law schools, as well as the privacy law scholar's conference and the decarceration scholar's workshop. thank you to my wonderful team of research assistants, alexa daugherty, izzy simon, cheyenne smith, tyler takemoto, and daniela wertheimer; to gilad edelman for invaluable editorial guidance; and to the editors of the michigan law review for their careful and insightful editorial input.","* professor of law, columbia law school. thank you to elena chachko, edward cheng, colleen chien, bryan choi, catherine crump, judge jeremy fogel, mark gergen, aziz huq, edward imwinkelried, orin kerr, christina koningisor, ronald lee, anna lvovsky, erin murphy, ngozi okidegbe, neil richards, daniel richman, andrea roth, pam samuelson, paul schwartz, elisabeth semel, jonathan shaub, jonathan simon, maneka sinha, judge stephen smith, molly van houweling, rory van loo, charles weisselberg, and ben wizner for helpful comments on prior drafts. this article benefited greatly from presentations at berkeley, columbia, denver, fordham, irvine, pennsylvania, vanderbilt, and yale law schools, as well as the privacy law scholar’s conference and the decarceration scholar’s workshop. thank you to my wonderful team of research assistants, alexa daugherty, izzy simon, cheyenne smith, tyler takemoto, and daniela wertheimer; to gilad edelman for invaluable editorial guidance; and to the editors of the michigan law review for their careful and insightful editorial input.",footnote,unknown,body-text,0.998,✗
"and yet, that is exactly what is happening under an obscure but powerful common-lawdoctrine called the 'law enforcement privilege.' this evidentiary privilege empowers police and prosecutors to rely on the results of secret investigative methods while concealing how those methods work from the defendants against whom they are used. the privilege is designed to apply to methods that would become ineffective if generally known. it is a qualified privilege, meaning that courts first decide whether the privilege applies and then balance the competing interests in secrecy and disclosure in any given case. 5 though not always invoked and not always upheld, the privilege has been cited in over eleven hundred federal opinions in the past forty years and has almost certainly successfully concealed police conduct in many more discovery disputes that did not culminate in written opinions. 6","and yet, that is exactly what is happening under an obscure but powerful common-law doctrine called the “law enforcement privilege.” this evidentiary privilege empowers police and prosecutors to rely on the results of secret investigative methods while concealing how those methods work from the defendants against whom they are used. the privilege is designed to apply to methods that would become ineffective if generally known. it is a qualified privilege, meaning that courts first decide whether the privilege applies and then balance the competing interests in secrecy and disclosure in any given case. 5 tuite v. henry, 181 f.r.d. 175, 176-77 (d.d.c. 1998). though not always invoked and not always upheld, the privilege has been cited in over eleven hundred federal opinions in the past forty years and has almost certainly successfully concealed police conduct in many more discovery disputes that did not culminate in written opinions. 6 see infra notes 80-87 and accompanying text.",text,unknown,body-text,0.945,✗
"these landmark rulings, and many more like them, have defined the modern fourth amendment. none of them would exist if the police conduct at issue had been secret. if police had concealed their warrant fraud, trespassory wiretapping, cell phone searches, and bulk location tracking from these defendants, these tactics could have continued indefinitely. the criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. if police can use claims of secrecy to systematically thwart defense access to evidence, judicial review will fail.","these landmark rulings, and many more like them, have defined the modern fourth amendment. none of them would exist if the police conduct at issue had been secret. if police had concealed their warrant fraud, trespassory wiretapping, cell phone searches, and bulk location tracking from these defendants, these tactics could have continued indefinitely. the criminal legal system depends on fair and open proceedings to expose and regulate unlawful and unconstitutional police conduct through the courts. if police can use claims of secrecy to systematically thwart defense access to evidence, judicial review will fail.",text,unknown,body-text,1.000,✗
"constitutionality is one thing; accuracy is another. the law enforcement privilege risks entrenching investigative methods and forms of evidence that are flawed or inaccurate by preventing defendants from putting them to the test. the privilege (like privileges generally) applies to every stage of a case, from pretrial suppression motions to post-conviction proceedings. 40 hence, the privilege can block adversarial scrutiny of investigative methods even when the results of those methods are introduced as part of the government's case-in-chief at trial. it is worth emphasizing this point: the privilege is not just an issue at suppression hearings; it also reaches substantive evidence of guilt or innocence. when the results of a method are ultimately introduced at trial, the method veers from investigative to forensic. 41 in such circumstances, the law enforcement privilege still applies. hence, the law enforcement privilege also risks propagating flawed or fraudulent forensic methods and unreliable evidence at trial.","constitutionality is one thing; accuracy is another. the law enforcement privilege risks entrenching investigative methods and forms of evidence that are flawed or inaccurate by preventing defendants from putting them to the test. the privilege (like privileges generally) applies to every stage of a case, from pretrial suppression motions to post-conviction proceedings. 40 see fed. r. evid . 1101(c). hence, the privilege can block adversarial scrutiny of investigative methods even when the results of those methods are introduced as part of the government’s case-in-chief at trial. it is worth emphasizing this point: the privilege is not just an issue at suppression hearings; it also reaches substantive evidence of guilt or innocence. when the results of a method are ultimately introduced at trial, the method veers from investigative to forensic. 41 see andrew guthrie ferguson, why digital policing is different , 83 ohio st. l.j. 817, 841-42 (2022) (noting gray area between investigative and forensic technologies). in such circumstances, the law enforcement privilege still applies. hence, the law enforcement privilege also risks propagating flawed or fraudulent forensic methods and unreliable evidence at trial.",text,unknown,body-text,0.912,✗
"part iii turns from positive to normative. it offers a skeptical account of existing arguments against the privilege, drawing from litigation documents and the small amount of prior scholarship on the topic. it begins by debunking the current scholarly consensus that there was no privilege for law enforcement methods at common law. that view is almost certainly wrong and invites a naïve underestimation of the privilege's intractability. next, part iii considers prior arguments that the privilege should be abolished entirely or should not apply to information possessed by private entities. while these arguments may well rally a pro-transparency community around a shared set of beliefs, they have important limitations and are unlikely to satisfy skeptics.","part iii turns from positive to normative. it offers a skeptical account of existing arguments against the privilege, drawing from litigation documents and the small amount of prior scholarship on the topic. it begins by debunking the current scholarly consensus that there was no privilege for law enforcement methods at common law. that view is almost certainly wrong and invites a naïve underestimation of the privilege’s intractability. next, part iii considers prior arguments that the privilege should be abolished entirely or should not apply to information possessed by private entities. while these arguments may well rally a pro-transparency community around a shared set of beliefs, they have important limitations and are unlikely to satisfy skeptics.",text,unknown,body-text,0.999,✗
"this article aims to fill that gap in the literature. it uses primary sources that include eighteenth-century trial transcripts, twenty-first-century pacer filings, and police-vendor contracts recently released to the public. part i explains the equities on both sides of the privilege. part ii details how the privilege currently works in practice, culminating in a critique that the requirements for asserting a threshold claim to the privilege are so vague as to be effectively meaningless.","this article aims to fill that gap in the literature. it uses primary sources that include eighteenth-century trial transcripts, twenty-first-century pacer filings, and police-vendor contracts recently released to the public. part i explains the equities on both sides of the privilege. part ii details how the privilege currently works in practice, culminating in a critique that the requirements for asserting a threshold claim to the privilege are so vague as to be effectively meaningless.",text,unknown,body-text,1.000,✗
"the law enforcement privilege offers valuable safeguards for effective, lawful, and constitutional investigative methods. at the same time, it invites overclaiming and abuse; empowers police to conceal misconduct and evade accountability; and undermines the truth-seeking process of the courts. a privilege that risky should have clear constraints in law. in the memorable words of judge learned hand writing about a case in which the fbi sought to conceal records of illegal wiretapping:","the law enforcement privilege offers valuable safeguards for effective, lawful, and constitutional investigative methods. at the same time, it invites overclaiming and abuse; empowers police to conceal misconduct and evade accountability; and undermines the truth-seeking process of the courts. a privilege that risky should have clear constraints in law. in the memorable words of judge learned hand writing about a case in which the fbi sought to conceal records of illegal wiretapping:",text,unknown,body-text,1.000,✗
"this approach sets out a basic floor for transparency: the privilege should not afford greater secrecy within the courts than law enforcement has imposed outside them. while this proposal might seem obvious once articulated, it is a far cry from existing doctrine. courts rarely inquire into the conditions of prior dissemination. more broadly, in developing this proposal, this article articulates a general theory of confidentiality's role in privilege law as a whole.","this approach sets out a basic floor for transparency: the privilege should not afford greater secrecy within the courts than law enforcement has imposed outside them. while this proposal might seem obvious once articulated, it is a far cry from existing doctrine. courts rarely inquire into the conditions of prior dissemination. more broadly, in developing this proposal, this article articulates a general theory of confidentiality’s role in privilege law as a whole.",text,unknown,body-text,0.998,✗
