pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"the biden administration's american rescue plan act allotted almost $220 billion to state, local, and tribal governments to help combat the covid-19 pandemic. this money, the coronavirus state and local fiscal recovery fund, gave recipients wide spending discretion to address their struggling economies. but the legislation had one key limitation: recipients could not use the money to 'directly or indirectly' cut their taxes. if a recipient violated this 'offset provision,' the department of the treasury might recoup the funds.","the biden administration’s american rescue plan act allotted almost $220 billion to state, local, and tribal governments to help combat the covid-19 pandemic. this money, the coronavirus state and local fiscal recovery fund, gave recipients wide spending discretion to address their struggling economies. but the legislation had one key limitation: recipients could not use the money to “directly or indirectly” cut their taxes. if a recipient violated this “offset provision,” the department of the treasury might recoup the funds.",text,unknown,body-text,0.991,✗
"nearly two-dozen states alleged that the offset provision was unduly coercive and ambiguous, violating the spending clause. however, with no threatened recoupment looming, it was unclear whether the states had standing to sue at all. the five circuit courts that heard these cases did not reach consensus on the standing issue. numerous opinions across six cases offered differing conceptions of 'sovereign' injuries and applied massachusetts v. epa 's command for 'special solicitude' to the state plaintiffs inconsistently.","nearly two-dozen states alleged that the offset provision was unduly coercive and ambiguous, violating the spending clause. however, with no threatened recoupment looming, it was unclear whether the states had standing to sue at all. the five circuit courts that heard these cases did not reach consensus on the standing issue. numerous opinions across six cases offered differing conceptions of “sovereign” injuries and applied massachusetts v. epa ’s command for “special solicitude” to the state plaintiffs inconsistently.",text,unknown,body-text,0.990,✗
"the offset provision cases provide the first opportunity to study the intersection of the spending clause and state standing. with no precedent on when states can challenge congressional spending legislation, the cases navigated standing's incoherent doctrine to craft new rules. the offset provision cases offer two novel categories of sovereign injuries-in-fact that states allegedly suffer in spending clause cases: the 'spending contract' and 'tax power' injuries. the former relates to an unconstitutionally ambiguous or coercive federal offer, while the latter describes an impermissible regulatory subject matter.","the offset provision cases provide the first opportunity to study the intersection of the spending clause and state standing. with no precedent on when states can challenge congressional spending legislation, the cases navigated standing’s incoherent doctrine to craft new rules. the offset provision cases offer two novel categories of sovereign injuries-in-fact that states allegedly suffer in spending clause cases: the “spending contract” and “tax power” injuries. the former relates to an unconstitutionally ambiguous or coercive federal offer, while the latter describes an impermissible regulatory subject matter.",text,unknown,body-text,0.992,✗
"* thank you to my peers and friends in the volume 122 notes office-hannah cohen smith, kassie fotiadis, ashley munger, katie osborn, and jordan schuler-for making me a better writer and more empathetic person. thank you to our successors, the volume 123 notes office, for their incredible edits. thank you to my research advisors-evan caminker and daniel deacon-for countless office hours discussing ridiculous spending hypotheticals. thank you to my dad for his nearly illegible redline and my mother for her writing talent. and thank you to grayson metzger for her edits, support, and motivation to submit (and resubmit) this note.","* thank you to my peers and friends in the volume 122 notes office-hannah cohen smith, kassie fotiadis, ashley munger, katie osborn, and jordan schuler-for making me a better writer and more empathetic person. thank you to our successors, the volume 123 notes office, for their incredible edits. thank you to my research advisors-evan caminker and daniel deacon-for countless office hours discussing ridiculous spending hypotheticals. thank you to my dad for his nearly illegible redline and my mother for her writing talent. and thank you to grayson metzger for her edits, support, and motivation to submit (and resubmit) this note.",footnote,unknown,body-text,1.000,✗
"responding to the covid-19 pandemic and the ensuing economic crisis, congress passed the american rescue plan act (arpa). 1 the $1.9 trillion arpa was meant to do more than stop the bleeding-it contained unemployment insurance, food assistance, child tax credit funding, and more programs meant to usher in a new era of robust public spending. 2 one such arpa program, the coronavirus state and local fiscal recovery funds (cslfrf), provided certain non-federal government entities almost $220 billion to 'mitigate the fiscal effects' of the pandemic. 3 the cslfrf empowered states and local governments to spend on programs of their own choosing 4 -granting recipients wide discretion, but not a blank check. indeed, the program contained one key limitation: the tax 'offset provision.' recipients could spend the new money on nearly anything, but they could not use it to 'directly or indirectly offset' their taxes. 5 if they did, the department of the treasury (treasury) could 'recoup' the impermissibly spent funds. 6","responding to the covid-19 pandemic and the ensuing economic crisis, congress passed the american rescue plan act (arpa). 1 american rescue plan act of 2021, pub. l. no. 117-2, 135 stat. 4. the $1.9 trillion arpa was meant to do more than stop the bleeding-it contained unemployment insurance, food assistance, child tax credit funding, and more programs meant to usher in a new era of robust public spending. 2 see giovanni russonello, what does .9 trillion buy? , n.y. times (apr. 29, 2021), https://nytimes.com/2021/03/10/us/politics/whats-in-covid-bill.html [ perma.cc/5vjx-a7ge ]. one such arpa program, the coronavirus state and local fiscal recovery funds (cslfrf), provided certain non-federal government entities almost $220 billion to “mitigate the fiscal effects” of the pandemic. 3 42 u.s.c. §§ 802(a), (c)(1). the cslfrf empowered states and local governments to spend on programs of their own choosing 4 42 u.s.c. §§ 802-806. -granting recipients wide discretion, but not a blank check. indeed, the program contained one key limitation: the tax “offset provision.” recipients could spend the new money on nearly anything, but they could not use it to “directly or indirectly offset” their taxes. 5 42 u.s.c. § 802(c)(2)(a). if they did, the department of the treasury (treasury) could “recoup” the impermissibly spent funds. 6 id. § 802(e).",text,unknown,body-text,0.854,✗
"although it is true that states suffer some form of sovereign injury when congress exceeds its spending power, most of the offset provision decisions are simply too broad. an expansive spending contract injury incentivizes states to hunt for ambiguous provisions in legislative text and enjoin imagined enforcement merely because the ambiguity exists at the quasi-contractual offer stage. furthermore, the tax power injury might significantly limit the use of the spending clause, granting standing if policy touches something-anything-'sovereign' enough. these injuries offer two new standing weapons to enterprising state attorneys general seeking to oppose federal spending policy: (1) searching and destroying legislative ambiguity, or (2) quarantining state tax policies from federal influence. activist states and their chief prosecutors, already relying on 'dubious' and 'lawless' standing theories to circumvent decades of article iii limitations, 23 leave the fate of consequential policy decisions in the hands of an unelected judiciary. and unlike other forms of federal policymaking, the spending clause allows states to retain their agency and reject what congress offers them. because congress often relies on its spending power for modern legislation, 24 an expansive 'welcome' mat into federal court risks further turning the judiciary into the arbiter of policy battles. 25","although it is true that states suffer some form of sovereign injury when congress exceeds its spending power, most of the offset provision decisions are simply too broad. an expansive spending contract injury incentivizes states to hunt for ambiguous provisions in legislative text and enjoin imagined enforcement merely because the ambiguity exists at the quasi-contractual offer stage. furthermore, the tax power injury might significantly limit the use of the spending clause, granting standing if policy touches something-anything-“sovereign” enough. these injuries offer two new standing weapons to enterprising state attorneys general seeking to oppose federal spending policy: (1) searching and destroying legislative ambiguity, or (2) quarantining state tax policies from federal influence. activist states and their chief prosecutors, already relying on “dubious” and “lawless” standing theories to circumvent decades of article iii limitations, 23 see vladeck, supra note 15; steve vladeck, bonus 35: the lawlessness of missouri’s standing in biden v. nebraska, one first (july 13, 2023) [hereinafter vladeck, lawlessness ], https://stevevladeck.com/p/bonus-35-the-lawlessness-of-missouris [ perma.cc/6urz-ev56 ]. leave the fate of consequential policy decisions in the hands of an unelected judiciary. and unlike other forms of federal policymaking, the spending clause allows states to retain their agency and reject what congress offers them. because congress often relies on its spending power for modern legislation, 24 see jonathan s. gould, a republic of spending , 123 mich. l. rev. 209, 211, 213 (2024). an expansive “welcome” mat into federal court risks further turning the judiciary into the arbiter of policy battles. 25 see stephen i. vladeck, states’ rights and state standing , 46 u. rich. l. rev. 845, 872 (2012).",text,unknown,body-text,0.855,✗
"part i outlines the offset provision and provides doctrinal background for the spending clause, standing, and special solicitude. part ii dives into the cases themselves, defining and explaining the spending contract and tax power injuries. part iii demonstrates the danger of the circuit courts' expansive approach to spending clause standing and prescribes better rules for future cases-ones that do not rely on special solicitude or illusory, novel theories of injury.","part i outlines the offset provision and provides doctrinal background for the spending clause, standing, and special solicitude. part ii dives into the cases themselves, defining and explaining the spending contract and tax power injuries. part iii demonstrates the danger of the circuit courts’ expansive approach to spending clause standing and prescribes better rules for future cases-ones that do not rely on special solicitude or illusory, novel theories of injury.",text,unknown,body-text,0.998,✗
"though largely incoherent, there are consistent, basic principles within the supreme court's standing jurisprudence. among other things, a plaintiff in federal court must demonstrate a concrete and particularized injury-infact. 28 the offset provision cases considered whether the states met that requirement. at times, state plaintiffs have survived article iii scrutiny by alleging unique injuries via a 'special solicitude' that courts have drawn from their sovereign status. 29 but nearly two decades after massachusetts v. epa , what 'special solicitude' means remains unclear. this part introduces the offset provision controversy and the sparse spending clause case law before drilling into the current state of standing doctrine.","though largely incoherent, there are consistent, basic principles within the supreme court’s standing jurisprudence. among other things, a plaintiff in federal court must demonstrate a concrete and particularized injury-in-fact. 28 lujan v. defs. of wildlife, 504 u.s. 555 (1992). the offset provision cases considered whether the states met that requirement. at times, state plaintiffs have survived article iii scrutiny by alleging unique injuries via a “special solicitude” that courts have drawn from their sovereign status. 29 see, e.g. , massachusetts v. epa, 549 u.s. 497, 519-20 (2007). but nearly two decades after massachusetts v. epa , what “special solicitude” means remains unclear. this part introduces the offset provision controversy and the sparse spending clause case law before drilling into the current state of standing doctrine.",text,unknown,body-text,0.922,✗
"a state or territory shall not use the funds provided under this section . . . to either directly or indirectly offset a reduction in the net tax revenue of such state or territory resulting from a change in law, regulation, or administrative interpretation during the covered period that reduces any tax . . . or delays the imposition of any tax or tax increase. 42","a state or territory shall not use the funds provided under this section . . . to either directly or indirectly offset a reduction in the net tax revenue of such state or territory resulting from a change in law, regulation, or administrative interpretation during the covered period that reduces any tax . . . or delays the imposition of any tax or tax increase. 42 id. § 802(c)(2)(a).",text,unknown,body-text,0.973,✗
"that clarification did not deter the states, which pursued litigation anyway. following its final rule, the treasury argued that the state plaintiffs lacked standing for a pre-enforcement injunction. specifically, the treasury argued that because the states had not alleged a course of conduct that would violate the final rule's interpretation of the offset provision, the states faced no imminent injury as required by article iii. 61 this and the treasury's other arguments have yielded mixed results. 62 for the first time, federal courts had to answer the question: when do states have standing to challenge under the spending clause?","that clarification did not deter the states, which pursued litigation anyway. following its final rule, the treasury argued that the state plaintiffs lacked standing for a pre-enforcement injunction. specifically, the treasury argued that because the states had not alleged a course of conduct that would violate the final rule’s interpretation of the offset provision, the states faced no imminent injury as required by article iii. 61 e.g. , west virginia ex rel. morrisey v. u.s. dep’t of the treasury, 59 f.4th 1124, 1135 (11th cir. 2023). this and the treasury’s other arguments have yielded mixed results. 62 see infra figure 1. for the first time, federal courts had to answer the question: when do states have standing to challenge under the spending clause?",text,unknown,body-text,0.907,✗
