pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"large corporations facing extensive tort liabilities have often gone into bankruptcy, forcing tort plaintiffs to accept pennies on the dollar as compensation for their injuries. bankruptcy painfully illustrates the social fact that the compensatory properties of tort law depend on the availability of compensatory resources. although this feature of tort law is self-evident, no one has adequately analyzed whether it matters for substantive tort doctrine, and if so, how.","large corporations facing extensive tort liabilities have often gone into bankruptcy, forcing tort plaintiffs to accept pennies on the dollar as compensation for their injuries. bankruptcy painfully illustrates the social fact that the compensatory properties of tort law depend on the availability of compensatory resources. although this feature of tort law is self-evident, no one has adequately analyzed whether it matters for substantive tort doctrine, and if so, how.",text,unknown,body-text,1.000,✗
"wealth would seem to be substantively irrelevant given the rule that excludes evidence concerning the defendant's financial resources when determining breach or compensatory damages. the antecedent tort duty, however, depends on the burden it would impose on the ordinary duty-bearer across the general class of cases the duty governs. the reasonableness of this burden is affected by social facts such as per capita wealth, the replacement of debtor's prison with bankruptcy, the availability of liability insurance, and the social meaning of monetary damages. these normatively relevant facts are largely absent from modern accounts of tort law, even though they contract or expand the scope of substantive tort duties for noncontroversial reasons grounded in widely recognized tort values. an extended historical and doctrinal analysis confirms as much, showing how the scarcity of compensatory resources has shaped the basic structure of tort law-why it employs a default rule of negligence liability, sometimes supplemented by strict liability, while also being limited for wide swaths of negligently caused harms involving economic loss and emotional distress.","wealth would seem to be substantively irrelevant given the rule that excludes evidence concerning the defendant’s financial resources when determining breach or compensatory damages. the antecedent tort duty, however, depends on the burden it would impose on the ordinary duty-bearer across the general class of cases the duty governs. the reasonableness of this burden is affected by social facts such as per capita wealth, the replacement of debtor’s prison with bankruptcy, the availability of liability insurance, and the social meaning of monetary damages. these normatively relevant facts are largely absent from modern accounts of tort law, even though they contract or expand the scope of substantive tort duties for noncontroversial reasons grounded in widely recognized tort values. an extended historical and doctrinal analysis confirms as much, showing how the scarcity of compensatory resources has shaped the basic structure of tort law-why it employs a default rule of negligence liability, sometimes supplemented by strict liability, while also being limited for wide swaths of negligently caused harms involving economic loss and emotional distress.",text,unknown,body-text,0.998,✗
"accounting for the availability of compensatory resources reveals normative properties of substantive tort law that are often quite different from the ones modern tort theories depict, including the relation between tort law and criminal law and the vital role deterrence plays in a rights-based tort system. an adequate account of tort law must comprehend how the scarcity of compensatory resources alters substantive tort doctrine in principled ways.","accounting for the availability of compensatory resources reveals normative properties of substantive tort law that are often quite different from the ones modern tort theories depict, including the relation between tort law and criminal law and the vital role deterrence plays in a rights-based tort system. an adequate account of tort law must comprehend how the scarcity of compensatory resources alters substantive tort doctrine in principled ways.",text,unknown,body-text,1.000,✗
"* sheila lubetsky birnbaum professor of civil litigation, new york university school of law. copyright 2024 mark a. geistfeld. i'm grateful for the many helpful comments i received from barry adler, participants in the yale private law colloquium, and my colleagues at the nyu law faculty workshop. financial support was provided by the filomen d'agostino and max e. greenberg research fund of the new york university school of law.","* sheila lubetsky birnbaum professor of civil litigation, new york university school of law. copyright 2024 mark a. geistfeld. i’m grateful for the many helpful comments i received from barry adler, participants in the yale private law colloquium, and my colleagues at the nyu law faculty workshop. financial support was provided by the filomen d’agostino and max e. greenberg research fund of the new york university school of law.",footnote,unknown,body-text,0.995,✗
"to be sure, this kind of problem supplies the subject matter of economics, which seeks to identify the efficient allocation of scarce resources. but the scarcity of compensatory resources does not entail the need to formulate tort rules in an efficient manner. scarcity can be normatively relevant for other reasons, though the question remains open because no one has seriously pursued this line of analysis.","to be sure, this kind of problem supplies the subject matter of economics, which seeks to identify the efficient allocation of scarce resources. but the scarcity of compensatory resources does not entail the need to formulate tort rules in an efficient manner. scarcity can be normatively relevant for other reasons, though the question remains open because no one has seriously pursued this line of analysis.",text,unknown,body-text,1.000,✗
"perhaps because it is so obvious, this property of tort law has been largely ignored. 'compensation of persons injured by wrongdoing is one of the generally accepted aims of tort law.' 5 compensation is a guiding concern of tort law, yet no one has rigorously analyzed whether substantive tort law should be affected by the scarcity of compensatory resources, and if so, how.","perhaps because it is so obvious, this property of tort law has been largely ignored. “compensation of persons injured by wrongdoing is one of the generally accepted aims of tort law.” 5 dan b. dobbs, paul t. hayden & ellen m. bublick, the law of torts § 13, at 26-27 (2d ed. 2011). compensation is a guiding concern of tort law, yet no one has rigorously analyzed whether substantive tort law should be affected by the scarcity of compensatory resources, and if so, how.",text,unknown,body-text,0.882,✗
"instead of tackling these issues, abraham and sharkey sidestep them by arguing that courts pretend to abide by these tort principles while ignoring them: '[c]ourts often honor the frequently followed fiction that common-law decisions are to be based on precedent and principle, not on policy considerations. mentioning the availability of liability insurance as a factor in decisions about the proper scope of tort liability would conflict with this fiction.' 10","instead of tackling these issues, abraham and sharkey sidestep them by arguing that courts pretend to abide by these tort principles while ignoring them: “[c]ourts often honor the frequently followed fiction that common-law decisions are to be based on precedent and principle, not on policy considerations. mentioning the availability of liability insurance as a factor in decisions about the proper scope of tort liability would conflict with this fiction.” 10 abraham & sharkey, supra note 6, at 2243.",text,unknown,body-text,0.952,✗
"after identifying the relevant noncontroversial tort principles, part i explains why courts can defensibly consider matters like insolvency and liability insurance when formulating substantive tort doctrine. to further establish the baseline proposition that substantive tort law depends on the general availability of compensatory resources, part ii asks what the common law would look like under conditions of unlimited compensatory resources and perfect injury compensation. this thought experiment, though obviously unrealistic, employs the historical practice common among ancient societies in the state of nature to compensate injuries with a 'social currency' that is normatively different from the ordinary money which greases market exchange. in a world where injuries can always be fairly compensated with social currency, there is no normative concern about the prevention of injury. without any injurycausing behavior to punish, punitive damages disappear, and the criminal law serves only to sanction those who shirk their compensatory obligations. the substantive structure of the common law would be radically transformed from its present incarnation, providing further support for the baseline proposition that the general availability of compensatory resources has substantive implications for tort law.","after identifying the relevant noncontroversial tort principles, part i explains why courts can defensibly consider matters like insolvency and liability insurance when formulating substantive tort doctrine. to further establish the baseline proposition that substantive tort law depends on the general availability of compensatory resources, part ii asks what the common law would look like under conditions of unlimited compensatory resources and perfect injury compensation. this thought experiment, though obviously unrealistic, employs the historical practice common among ancient societies in the state of nature to compensate injuries with a “social currency” that is normatively different from the ordinary money which greases market exchange. in a world where injuries can always be fairly compensated with social currency, there is no normative concern about the prevention of injury. without any injury-causing behavior to punish, punitive damages disappear, and the criminal law serves only to sanction those who shirk their compensatory obligations. the substantive structure of the common law would be radically transformed from its present incarnation, providing further support for the baseline proposition that the general availability of compensatory resources has substantive implications for tort law.",text,unknown,body-text,0.998,✗
"as i will try to demonstrate, insofar as there is a 'glaring gap' in tort theory, it involves the failure to recognize how the social fact of scarce compensatory resources fundamentally structures tort law for reasons of common-law principle. the scarcity of compensatory resources has always substantively mattered within the common law. the argument proceeds in five parts.","as i will try to demonstrate, insofar as there is a “glaring gap” in tort theory, it involves the failure to recognize how the social fact of scarce compensatory resources fundamentally structures tort law for reasons of common-law principle. the scarcity of compensatory resources has always substantively mattered within the common law. the argument proceeds in five parts.",text,unknown,body-text,0.995,✗
"part iii introduces the problem of scarce compensatory resources. following the transition from the state of nature, the newly emergent state enforced legal obligations with ordinary money for paying taxes and the like. 12 by utilizing ordinary money as a form of social currency for enforcing legal obligations within the realm of injury compensation, the common law imbued the monetary damages remedy with a duality of normative meaning that persists to this day-it is both crassly commercial and a normative measure of fair compensation. two different scarcity problems inhere within this medium for redressing injury.","part iii introduces the problem of scarce compensatory resources. following the transition from the state of nature, the newly emergent state enforced legal obligations with ordinary money for paying taxes and the like. 12 see robert skidelsky, money and government: the past and future of economics 23-27 (2018). by utilizing ordinary money as a form of social currency for enforcing legal obligations within the realm of injury compensation, the common law imbued the monetary damages remedy with a duality of normative meaning that persists to this day-it is both crassly commercial and a normative measure of fair compensation. two different scarcity problems inhere within this medium for redressing injury.",text,unknown,body-text,0.932,✗
