pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"as a new supreme court majority settles into a new era of constitutional adjudication, the justices will confront important methodological questions. how are they to go about interpreting the constitution? in the second amendment case of united states v. rahimi , 1 many of the justices wrote separately to debate broader methodological questions about constitutional interpretation. they expressed a shared desire to turn away from judicial ' balancing ' of interests in adjudicating constitutional rights in favor of founding era understandings. that is a healthy instinct, but founding era understandings may in truth lead to balancing, so maintaining an originalist approach and an opposition to balancing is trickier than it seems. in future cases the justices may need to resolve this tension by emphasizing the presumption of constitutionality, by making greater","as a new supreme court majority settles into a new era of constitutional adjudication, the justices will confront important methodological questions. how are they to go about interpreting the constitution? in the second amendment case of united states v. rahimi , 1 many of the justices wrote separately to debate broader methodological questions about constitutional interpretation. they expressed a shared desire to turn away from judicial “balancing” of interests in adjudicating constitutional rights in favor of founding era understandings. that is a healthy instinct, but founding era understandings may in truth lead to balancing, so maintaining an originalist approach and an opposition to balancing is trickier than it seems. in future cases the justices may need to resolve this tension by emphasizing the presumption of constitutionality, by making greater use of the principles of general law, or by crafting more rule-like doctrines for adjudication.",text,unknown,body-text,0.944,✗
"william baude is the harry kalven, jr. professor of law at the university of chicago law school.","william baude is the harry kalven, jr. professor of law at the university of chicago law school.",footnote,unknown,body-text,1.000,✗
"author ' s note: thanks to sam bray, jud campbell, justin driver, sherif girgis, genevieve lakier, robert leider, haley proctor, richard re, steve sachs, francisco urbina, and participants in the notre dame law school faculty colloquium for helpful comments; to will horvath for helpful research assistance; and to the stuart c. and joann nathan faculty fund for research support.","author’s note: thanks to sam bray, jud campbell, justin driver, sherif girgis, genevieve lakier, robert leider, haley proctor, richard re, steve sachs, francisco urbina, and participants in the notre dame law school faculty colloquium for helpful comments; to will horvath for helpful research assistance; and to the stuart c. and joann nathan faculty fund for research support.",footnote,unknown,body-text,0.995,✗
"the question presented in rahimi had a straightforward answer that the court got right. what is more signi /unifb01 cant, however, is what the justices had to say about problems of constitutional interpretation that go well beyond the question presented in rahimi , and well beyond the second amendment.","the question presented in rahimi had a straightforward answer that the court got right. what is more significant, however, is what the justices had to say about problems of constitutional interpretation that go well beyond the question presented in rahimi , and well beyond the second amendment.",text,unknown,body-text,0.983,✗
18 u.s.c. § 922(g)(8)(c)(i) makes it a federal crime for a person to possess a gun if he is the subject of a domestic violence restraining order that ' includes a /unifb01 nding that such a person represents a credible threat to the physical safety of [a covered] intimate partner or child. ' 2,18 u.s.c. § 922(g)(8)(c)(i) makes it a federal crime for a person to possess a gun if he is the subject of a domestic violence restraining order that “includes a finding that such a person represents a credible threat to the physical safety of [a covered] intimate partner or child.” 2,text,unknown,body-text,0.974,✗
"the second amendment to the constitution says that ' [a] well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed. ' 3 in district of columbia v. heller , 4 the supreme court interpreted the second amendment to protect an individual right not limited to service in an organized militia. and in new york state ri /unifb02 e and pistol association, inc. v. bruen , 5 the court concluded that the scope of that individual right should be derived from historical practice.","the second amendment to the constitution says that “[a] well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.” 3 in district of columbia v. heller , 4 the supreme court interpreted the second amendment to protect an individual right not limited to service in an organized militia. and in new york state rifle and pistol association, inc. v. bruen , 5 the court concluded that the scope of that individual right should be derived from historical practice.",text,unknown,body-text,0.985,✗
"in rahimi , the court concluded that section 922(g)(8)(c)(i) was consistent with the second amendment as interpreted in heller and bruen . 6 in my view, this was straightforwardly correct, for three reasons that professor robert leider and i sketched out shortly before rahimi was decided. 7","in rahimi , the court concluded that section 922(g)(8)(c)(i) was consistent with the second amendment as interpreted in heller and bruen . 6 in my view, this was straightforwardly correct, for three reasons that professor robert leider and i sketched out shortly before rahimi was decided. 7",text,unknown,body-text,1.000,✗
3 u.s. const. amend. ii.,3 u.s. const. amend. ii.,footnote,unknown,body-text,1.000,✗
"7 see william baude & robert leider, the general-law right to bear arms , 99 notre dame l. rev. 1467, 1509 -14 (2024).","7 see william baude & robert leider, the general-law right to bear arms , 99 notre dame l. rev. 1467, 1509-14 (2024).",footnote,unknown,body-text,0.996,✗
"second , bruen ' s references to historical and analogical reasoning were a call for courts to perform a version of that general law inquiry -an inquiry into ' the law of the past ' 9 -to understand the principles under which a legislature could regulate the right to keep and bear arms. 10","second , bruen ’s references to historical and analogical reasoning were a call for courts to perform a version of that general law inquiry-an inquiry into “the law of the past” 9 -to understand the principles under which a legislature could regulate the right to keep and bear arms. 10",text,unknown,body-text,0.983,✗
"third , there was strong historical evidence that one such principle was that legislatures could limit the use of weapons by those who had been proven to be dangerous, as then-judge barrett had argued in a prominent dissenting opinion in the seventh circuit. 11","third , there was strong historical evidence that one such principle was that legislatures could limit the use of weapons by those who had been proven to be dangerous, as then-judge barrett had argued in a prominent dissenting opinion in the seventh circuit. 11",text,unknown,body-text,1.000,✗
