pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
"onits surface, the supreme court ' s decision in harrington v. purdue pharma l.p. 1 is about whether the text of the united states bankruptcy code gives courts the authority to approve nonconsensual third-party releases in chapter 11. 2 section 1123(b)(6) of the code allows chapter 11 plans of reorganization to ' include any other appropriate provision not inconsistent with the applicable provisions of this title. ' 3 the question posed to the court in purdue was whether that language encompasses nonconsensual third-party releases. the","on its surface, the supreme court’s decision in harrington v. purdue pharma l.p. 1 is about whether the text of the united states bankruptcy code gives courts the authority to approve nonconsensual third-party releases in chapter 11. 2 section 1123(b)(6) of the code allows chapter 11 plans of reorganization to “include any other appropriate provision not inconsistent with the applicable provisions of this title.” 3 the question posed to the court in purdue was whether that language encompasses nonconsensual third-party releases. the majority concluded it does not. justice kavanaugh, writing for a four-justice dissent, disagreed.",text,unknown,body-text,0.907,✗
anthony j. casey is the donald m. ephraim professor of law and economics at the university of chicago law school and the faculty director of the center on law and finance. joshua c. macey is an associate professor of law at yale law school.,anthony j. casey is the donald m. ephraim professor of law and economics at the university of chicago law school and the faculty director of the center on law and finance. joshua c. macey is an associate professor of law at yale law school.,footnote,unknown,body-text,1.000,✗
"authors ' note: the richard weil faculty research fund and the paul h. leffmann fund provided generous research support to casey. we are grateful to william baude for his excellent comments and to kelly bu, emma lotts, and elaine wang for their excellent research assistance.","authors’ note: the richard weil faculty research fund and the paul h. leffmann fund provided generous research support to casey. we are grateful to william baude for his excellent comments and to kelly bu, emma lotts, and elaine wang for their excellent research assistance.",footnote,unknown,body-text,0.995,✗
2 id. at 209. nonconsensual third-party releases are court orders that release nondebtor third parties from claims of liability when not all claimholders consent to the release. these releases are often provided as part of a settlement in exchange for contributions from the party bene /unifb01 tting from the releases. the orders often include channeling injunctions that prevent the claimholders from bringing their claims against the nondebtors and force them instead to bring their claims exclusively against a settlement fund.,2 id. at 209. nonconsensual third-party releases are court orders that release nondebtor third parties from claims of liability when not all claimholders consent to the release. these releases are often provided as part of a settlement in exchange for contributions from the party benefitting from the releases. the orders often include channeling injunctions that prevent the claimholders from bringing their claims against the nondebtors and force them instead to bring their claims exclusively against a settlement fund.,footnote,unknown,body-text,0.991,✗
"although both the majority and dissent anchored their arguments in the text of section 1123, non-textual concerns featured prominently in both opinions. for his part, justice kavanaugh emphasized that bankruptcy law is designed to address the kind of collectiveaction problems that arise in mass tort cases like purdue . 4 he further argued that third-party releases are an important tool in facilitating a collective resolution. 5 the majority, by contrast, expressed concern that bankruptcy courts operate as if they have a ' roving commission to resolve all such problems that happen [their] way, blind to the role other mechanisms (legislation, class actions, multi-district litigation, consensual settlements, among others) play in addressing them. ' 6","although both the majority and dissent anchored their arguments in the text of section 1123, non-textual concerns featured prominently in both opinions. for his part, justice kavanaugh emphasized that bankruptcy law is designed to address the kind of collective-action problems that arise in mass tort cases like purdue . 4 he further argued that third-party releases are an important tool in facilitating a collective resolution. 5 the majority, by contrast, expressed concern that bankruptcy courts operate as if they have a “roving commission to resolve all such problems that happen [their] way, blind to the role other mechanisms (legislation, class actions, multi-district litigation, consensual settlements, among others) play in addressing them.” 6",text,unknown,body-text,0.995,✗
"a version of this concern has long troubled courts and academics, who have argued that bankruptcy courts exercise too much discretion and too much power. these critiques typically refer to a concept of ' bankruptcy exceptionalism. ' often the concern is that a non-article iii tribunal (the bankruptcy court) wields article iii powers. 7 as we explain in part i, we are skeptical that there is anything exceptional about these powers. all courts exercise discretion and /unifb01 ll gaps, and bankruptcy court discretion is /unifb01 rmly rooted in the text of the bankruptcy code and subject to de novo review in an article iii tribunal. 8 still, since the code was enacted, the concern that bankruptcy courts possess too much authority and too much discretion has been the basis of numerous constitutional decisions limiting the power of bankruptcy courts.","a version of this concern has long troubled courts and academics, who have argued that bankruptcy courts exercise too much discretion and too much power. these critiques typically refer to a concept of “bankruptcy exceptionalism.” often the concern is that a non-article iii tribunal (the bankruptcy court) wields article iii powers. 7 as we explain in part i, we are skeptical that there is anything exceptional about these powers. all courts exercise discretion and fill gaps, and bankruptcy court discretion is firmly rooted in the text of the bankruptcy code and subject to de novo review in an article iii tribunal. 8 still, since the code was enacted, the concern that bankruptcy courts possess too much authority and too much discretion has been the basis of numerous constitutional decisions limiting the power of bankruptcy courts.",text,unknown,body-text,0.986,✗
"4 purdue pharma l.p. , 603 u.s. at 227 -28 (kavanaugh, j., dissenting).","4 purdue pharma l.p. , 603 u.s. at 227-28 (kavanaugh, j., dissenting).",footnote,unknown,body-text,0.993,✗
6 id. at 220 (majority opinion).,6 id. at 220 (majority opinion).,footnote,unknown,body-text,1.000,✗
"8 the discretion of the bankruptcy courts is quite routine and provided for by the text of the bankruptcy code. sometimes the code allocates discretion to the courts by using broad language (like ' appropriate ' ). other times it invokes the language of equity (like ' fair and equitable ' ). there is nothing particularly exceptional about these grants of discretion. as justice scalia wrote more than twenty/unifb01 ve years ago, drafting a law requires a decision about whether to set ex ante rules or to leave matters to ex post judicial discretion. and a court announcing a judicial doctrine must decide how much discretion to leave to future courts. see generally antonin scalia, the rule of law as a law of rules , 56 u. chi. l. rev. 1175 (1989).","8 the discretion of the bankruptcy courts is quite routine and provided for by the text of the bankruptcy code. sometimes the code allocates discretion to the courts by using broad language (like “appropriate”). other times it invokes the language of equity (like “fair and equitable”). there is nothing particularly exceptional about these grants of discretion. as justice scalia wrote more than twenty-five years ago, drafting a law requires a decision about whether to set ex ante rules or to leave matters to ex post judicial discretion. and a court announcing a judicial doctrine must decide how much discretion to leave to future courts. see generally antonin scalia, the rule of law as a law of rules , 56 u. chi. l. rev. 1175 (1989).",footnote,unknown,body-text,0.984,✗
"issues, at least not directly. with regard to article iii, the second circuit, in af /unifb01 rming the use of third-party releases, had decided that de novo review by an article iii court was required but noted it was providing that review. 9 thus, the question before the supreme court was not whether a bankruptcy court could approve the releases, but whether an article iii court hearing bankruptcy cases could. and yet, the majority repeatedly framed its inquiry as being about the power of bankruptcy courts. 10","an important but misunderstood feature of the purdue decision, however, is that the supreme court did not address any constitutional issues, at least not directly. with regard to article iii, the second circuit, in affirming the use of third-party releases, had decided that de novo review by an article iii court was required but noted it was providing that review. 9 thus, the question before the supreme court was not whether a bankruptcy court could approve the releases, but whether an article iii court hearing bankruptcy cases could. and yet, the majority repeatedly framed its inquiry as being about the power of bankruptcy courts. 10",text,unknown,body-text,0.877,✗
