pdf_text,html_text,docling_label,docling_layer,ground_truth_label,match_score,label_match
jack goldsmith is the learned hand professor of law at harvard law school.,jack goldsmith is the learned hand professor of law at harvard law school.,footnote,unknown,body-text,1.000,✗
"author ' s note : i thank payvand ahdout, william baude, robert bauer, matthew gluck, john harrison, martin lederman, trevor morrison, saikrishna prakash, zachary price, robert reinstein, shalev roisman, thomas schmidt, adrian vermeule, edward whelan, alex whiting, and university of virginia workshop participants for comments, and daniel brickhill, lev cohen, annabelle hutchinson, nicholas nelson, coy ozias, akhil rajasekar, mark thomas, and jeremiah vroegop for research assistance. this article draws in part on a constitution day lecture delivered at the university of michigan law school on september 17, 2024.","author’s note : i thank payvand ahdout, william baude, robert bauer, matthew gluck, john harrison, martin lederman, trevor morrison, saikrishna prakash, zachary price, robert reinstein, shalev roisman, thomas schmidt, adrian vermeule, edward whelan, alex whiting, and university of virginia workshop participants for comments, and daniel brickhill, lev cohen, annabelle hutchinson, nicholas nelson, coy ozias, akhil rajasekar, mark thomas, and jeremiah vroegop for research assistance. this article draws in part on a constitution day lecture delivered at the university of michigan law school on september 17, 2024.",footnote,unknown,body-text,0.997,✗
"1 motion to dismiss indictment based on presidential immunity at 1, united states v. trump, 704 f. supp. 3d 196 (d.d.c. 2023) (no. 23-cr-00257), ecf no. 74.","1 motion to dismiss indictment based on presidential immunity at 1, united states v. trump, 704 f. supp. 3d 196 (d.d.c. 2023) (no. 23-cr-00257), ecf no. 74.",footnote,unknown,body-text,1.000,✗
"2 trump , 704 f. supp. 3d 196, aff ' d , 91 f.4th 1173 (d.c. cir. 2024). for laudatory commentary, see, for example, scott r. anderson, quinta jurecic, anna bower, natalie k. orpett & benjamin wittes, not so immune: the d.c. circuit ' s forceful rejection of trump ' s claim of absolute presidential immunity , lawfare (feb. 6, 2024, 6:24 pm), https://www.lawfaremedia.org/article /not-so-immune-the-d.c.-circuit-s-forceful-rejection-of-trump-s-claim-of-absolute-presiden tial-immunity; george t. conway iii, an airtight ruling against trump , atlantic (feb. 6, 2024), https://www.theatlantic.com/ideas/archive/2024/02/dc-circuit-court-ruling-on-trump-im munity/677367; dahlia lithwick & mark joseph stern, the supreme court knows what it must","2 trump , 704 f. supp. 3d 196, aff’d , 91 f.4th 1173 (d.c. cir. 2024). for laudatory commentary, see, for example, scott r. anderson, quinta jurecic, anna bower, natalie k. orpett & benjamin wittes, not so immune: the d.c. circuit’s forceful rejection of trump’s claim of absolute presidential immunity , lawfare (feb. 6, 2024, 6:24 pm), https://www.lawfaremedia.org/article/not-so-immune-the-d.c.-circuit-s-forceful-rejection-of-trump-s-claim-of-absolute-presidential-immunity ; george t. conway iii, an airtight ruling against trump , atlantic (feb. 6, 2024), https://www.theatlantic.com/ideas/archive/2024/02/dc-circuit-court-ruling-on-trump-immunity/677367 ; dahlia lithwick & mark joseph stern, the supreme court knows what it must do with trump’s immunity ploy , slate (feb. 6, 2024, 2:07 pm), https://slate.com/news-and-politics/2024/02/supreme-court-trump-immunity-john-roberts.html .",footnote,unknown,body-text,0.894,✗
"the decision in trump v. united states was not well received. 4 a primary criticism has been that the court ' s ruling portends a ' lawless presidency. ' 5 this criticism, i will argue, rests on a misleading picture of how the criminal law operates inside the executive branch. many factors other than the president ' s vulnerability to criminal law inform executive branch compliance with criminal law. one can certainly imagine a bad-man president after trump engaging in widespread lawless criminal behavior. but, unfortunately, the bad-man president had many tools to skirt the criminal law before trump , to which its uncertain immunity ruling added relatively little.","the decision in trump v. united states was not well received. 4 a primary criticism has been that the court’s ruling portends a “lawless presidency.” 5 this criticism, i will argue, rests on a misleading picture of how the criminal law operates inside the executive branch. many factors other than the president’s vulnerability to criminal law inform executive branch compliance with criminal law. one can certainly imagine a bad-man president after trump engaging in widespread lawless criminal behavior. but, unfortunately, the bad-man president had many tools to skirt the criminal law before trump , to which its uncertain immunity ruling added relatively little.",text,unknown,body-text,0.990,✗
"which is not to say that the decision won ' t impact the presidency. it will, probably in a big way. but its impact will have less to do with the court ' s immunity rulings than with its related rulings on the president ' s exclusive removal power and exclusive power over investigation and prosecution. these rulings, which were novel, expansive, and undertheorized, will play themselves out in litigation about the scope of presidential power for years. this article, however, will mainly explore the slightly more tractable impact of the decision beyond judicial review and inside the executive branch, which will","which is not to say that the decision won’t impact the presidency. it will, probably in a big way. but its impact will have less to do with the court’s immunity rulings than with its related rulings on the president’s exclusive removal power and exclusive power over investigation and prosecution. these rulings, which were novel, expansive, and undertheorized, will play themselves out in litigation about the scope of presidential power for years. this article, however, will mainly explore the slightly more tractable impact of the decision beyond judicial review and inside the executive branch, which will deploy the decision to help the president overcome legal constraints and win disputes with congress.",text,unknown,body-text,0.915,✗
"4 see, e.g. , akhil reed amar, something has gone deeply wrong at the supreme court , atlantic ( july 2, 2024), https://www.theatlantic.com/politics/archive/2024/07/trump-v-united-states -opinion-chief-roberts/678877; richard lempert, trump v. united states: explaining the outrage , brookings ( july 12, 2024), https://www.brookings.edu/articles/trump-v-united-states -explaining-the-outrage; laurence h. tribe, the trump decision reveals deep rot in the system , n.y. times ( july 1, 2024), https://www.nytimes.com/2024/07/01/opinion/supreme-court-trump -immunity.html; neil siegel, high court ' s immunity case protects the president, not democracy , bloomberg l. ( july 5, 2024, 4:30 am edt), https://news.bloomberglaw.com/us-law-week /high-courts-immunity-case-protects-the-president-not-democracy.","4 see, e.g. , akhil reed amar, something has gone deeply wrong at the supreme court , atlantic (july 2, 2024), https://www.theatlantic.com/politics/archive/2024/07/trump-v-united-states-opinion-chief-roberts/678877 ; richard lempert, trump v. united states: explaining the outrage , brookings (july 12, 2024), https://www.brookings.edu/articles/trump-v-united-states-explaining-the-outrage ; laurence h. tribe, the trump decision reveals deep rot in the system , n.y. times (july 1, 2024), https://www.nytimes.com/2024/07/01/opinion/supreme-court-trump-immunity.html ; neil siegel, high court’s immunity case protects the president, not democracy , bloomberg l. (july 5, 2024, 4:30 am edt), https://news.bloomberglaw.com/us-law-week/high-courts-immunity-case-protects-the-president-not-democracy .",footnote,unknown,body-text,0.990,✗
"5 kate shaw, the supreme court creates a lawless presidency , n.y. times ( july 2, 2024), https://www.nytimes.com/2024/07/02/opinion/supreme-court-immunity-trump.html; see also trump , 603 u.s. at 657 -86 (sotomayor, j., dissenting); trump , 603 u.s. at 686 -706 (jackson, j., dissenting); michael stokes paulsen, a lawless court gives us a lawless presidency , pub. discourse ( july 22, 2024), https://www.thepublicdiscourse.com/2024/07/95374; patrick marley, supreme court ' s trump immunity ruling poses risk for democracy, experts say , wash. post ( july 1, 2024), https://www.washingtonpost.com/politics/2024/07/01/supreme-court -immunity-trump-democracy.","5 kate shaw, the supreme court creates a lawless presidency , n.y. times (july 2, 2024), https://www.nytimes.com/2024/07/02/opinion/supreme-court-immunity-trump.html ; see also trump , 603 u.s. at 657-86 (sotomayor, j., dissenting); trump , 603 u.s. at 686-706 (jackson, j., dissenting); michael stokes paulsen, a lawless court gives us a lawless presidency , pub. discourse (july 22, 2024), https://www.thepublicdiscourse.com/2024/07/95374 ; patrick marley, supreme court’s trump immunity ruling poses risk for democracy, experts say , wash. post (july 1, 2024), https://www.washingtonpost.com/politics/2024/07/01/supreme-court-immunity-trump-democracy .",footnote,unknown,body-text,0.990,✗
"part i provides background to trump . it shows that the court ' s consequential rulings about exclusive presidential power were neither raised by trump ' s lawyers in the courts below nor addressed by those courts and were addressed by the supreme court as a matter of /unifb01 rst impression. part i explores how and why this happened, and with what signi /unifb01 cance. part ii analyzes trump , with special emphasis on the exclusive power rulings. it explains the novelty in these rulings and their potentially very broad implications. part iii assesses how trump will impact presidential and executive branch compliance with criminal law and speculates how executive branch lawyers will use the exclusive power rulings in the decision to enhance executive branch power.","part i provides background to trump . it shows that the court’s consequential rulings about exclusive presidential power were neither raised by trump’s lawyers in the courts below nor addressed by those courts and were addressed by the supreme court as a matter of first impression. part i explores how and why this happened, and with what significance. part ii analyzes trump , with special emphasis on the exclusive power rulings. it explains the novelty in these rulings and their potentially very broad implications. part iii assesses how trump will impact presidential and executive branch compliance with criminal law and speculates how executive branch lawyers will use the exclusive power rulings in the decision to enhance executive branch power.",text,unknown,body-text,0.982,✗
"theindictment against trump alleged that he conspired with a justice department of /unifb01 cial and several private persons to overturn the results of the 2020 presidential election through public statements and through communication with and pressure on state of /unifb01 cials, fraudulent state electors, department of justice of /unifb01 cials, vice president mikepence, and the joint session of congress. it alleged that through this conduct trump conspired to defraud the united states in violation of 18 u.s.c. § 371; conspired to obstruct an of /unifb01 cial proceeding in violation of 18 u.s.c. § 1512(k); obstructed and attempted to obstruct an of /unifb01 cial proceeding in violation of 18 u.s.c. §§ 1512(c)(2) and 2; and conspired to deny the rights of persons to vote and have their votes counted in violation of 18 u.s.c. § 241. 6","the indictment against trump alleged that he conspired with a justice department official and several private persons to overturn the results of the 2020 presidential election through public statements and through communication with and pressure on state officials, fraudulent state electors, department of justice officials, vice president mike pence, and the joint session of congress. it alleged that through this conduct trump conspired to defraud the united states in violation of 18 u.s.c. § 371; conspired to obstruct an official proceeding in violation of 18 u.s.c. § 1512(k); obstructed and attempted to obstruct an official proceeding in violation of 18 u.s.c. §§ 1512(c)(2) and 2; and conspired to deny the rights of persons to vote and have their votes counted in violation of 18 u.s.c. § 241. 6",text,unknown,body-text,0.969,✗
