Basename,Jaccard_Similarity,Quality_Category
florida_law_review_vol77_iss1_art4_going-en-banc,1.89,Poor
penn_law_review_default_procedures,1.98,Poor
texas_law_review_federalism-state-democracy,2.10,Poor
florida_law_review_vol76_iss6_art2_originalism-election-law,2.32,Poor
duke_law_journal_discretionary_immigration_detention,2.44,Poor
georgetown_law_journal_a_faster_way_to_yes,2.51,Poor
texas_law_review_mass-incarceration-history,2.86,Poor
texas_law_review_liberty-in-loyalty-fiduciary-law,2.95,Poor
penn_law_review_prosecuting_families,2.96,Poor
usc_law_review_listeners_choices_online,3.06,Poor
florida_law_review_vol77_iss1_art1_artificial-intelligence-privacy,3.26,Poor
duke_law_journal_transnational_corporate_law,3.26,Poor
penn_law_review_original_meaning_of_treaties,3.44,Poor
duke_law_journal_illegal_corporate_cultures,3.47,Poor
northwestern_law_review_healing_power_antitrust,3.48,Poor
penn_law_review_lessons_in_climate_derisking,3.52,Poor
gwu_law_review_the-power-to-vacate-a-rule,3.53,Poor
florida_law_review_vol77_iss1_art2_expressive-discrimination-universities,3.57,Poor
penn_law_review_ancillary_rights,3.62,Poor
penn_law_review_control_and_its_discontents,3.64,Poor
duke_law_journal_burdens_of_proof,3.67,Poor
duke_law_journal_slowing_the_burn,3.69,Poor
gwu_law_review_the-ambiguity-fallacy,3.69,Poor
gwu_law_review_criminal-investors,3.71,Poor
northwestern_law_review_forgotten_fundamental_right_movement,3.73,Poor
indiana_law_journal_discord_and_the_pentagon_s_watchdog_countering_extremism_in_the_u_s_military,3.82,Poor
northwestern_law_review_sec_entrepreneurial_enforcer,3.87,Poor
georgetown_law_journal_the_sheriffs_constitution,3.87,Poor
georgetown_law_journal_selective_enforcement,3.89,Poor
penn_law_review_unwritten_administrative_law,3.92,Poor
penn_law_review_spirit,4.00,Poor
indiana_law_journal_unpacking_open_source_bio,4.00,Poor
indiana_law_journal_moving_slow_and_fixing_things,4.06,Poor
northwestern_law_review_ais_dream_electric_boards,4.09,Poor
gwu_law_review_nondelegation-as-constitutional-symbolism,4.10,Poor
gwu_law_review_coercive-settlements,4.19,Poor
northwestern_law_review_constraining_executive_branch,4.22,Poor
florida_law_review_vol77_iss2_art3_big-cost-small-farms,4.26,Poor
penn_law_review_realism_about_criminal_justice_localism,4.32,Poor
northwestern_law_review_climate_exceptionalism_court,4.32,Poor
gwu_law_review_chenery-ii-revisited,4.36,Poor
georgetown_law_journal_the_new_sexual_deviancy,4.39,Poor
indiana_law_journal_can_ai_as_such_invade_your_privacy_an_experimental_study_of_the_social_element_of_surveillance,4.39,Poor
florida_law_review_vol77_iss2_art6_tribal-courts-general-jurisdiction,4.42,Poor
stanford_law_review_highsmith_company_town,4.43,Poor
florida_law_review_vol76_iss6_art4_maximum-convergence-voting,4.55,Poor
stanford_law_review_weightman_banking_franchise,4.55,Poor
florida_law_review_vol77_iss2_art5_katz-imperfect-circle,4.57,Poor
florida_law_review_vol76_iss6_art5_voting-rights-materiality,4.67,Poor
stanford_law_review_khan_notice_choice_unfairness,4.69,Poor
